role,form,smoothstep,transition_variable,v0_mps,v1_mps,rel_weight,util_k,launch_activation,k_launch_nm,k_unconstrained_nm,k_gate_min_nm,primary_rmse_nm,validation_non_authoritative_rmse_nm,open_floor_validation_rmse_nm,high_transition_rmse_nm,low_speed_yaw_rmse_nm,straightish_rmse_nm,in_place_left_command,in_place_right_command,in_place_extra_opposing_nm,score
non_additive_grid_top,partition_low_ref_same_window,quintic,speed_hypot,0.0,0.08,1.0,0.3,quintic,0.05771872812904492,0.04163767382573335,0.05771872812904492,0.018639682930778115,0.028995057982857963,0.011647592349393625,0.0454022990381,0.03525756020959405,0.014541072654291992,0.6,-0.6,0.05771872812904492,0.043667422669711395
non_additive_grid_top,partition_low_ref_same_window,cubic,speed_hypot,0.0,0.08,0.75,0.4,quintic,0.05771872812904492,0.04659322160953722,0.05771872812904492,0.01839939120921302,0.029080950748472594,0.01082795688868318,0.0454022990381,0.03587941911849861,0.014175718482995401,0.6,-0.6,0.05771872812904492,0.043681227918856494
non_additive_grid_top,partition_low_ref_same_window,cubic,speed_hypot,0.0,0.08,1.0,0.2,quintic,0.05771872812904492,0.03786506171722684,0.05771872812904492,0.018653723268908188,0.029028119210103686,0.013245000288491857,0.0454022990381,0.03515737075225205,0.015058764842100681,0.6,-0.6,0.05771872812904492,0.043704695998396145
non_additive_grid_top,direct_blend,cubic,speed_hypot,0.0,0.08,1.0,0.55,cubic,0.06872624655564535,0.06872624655564535,0.05771872812904492,0.018635141090440798,0.029161121120997807,0.010706131642692195,0.0454022990381,0.036028736881960365,0.014307977240805061,0.6645086868958618,-0.6645086868958618,0.06872624655564535,0.04383212325575005
non_additive_grid_top,partition_low_ref_same_window,cubic,speed_hypot,0.0,0.08,0.75,0.3,cubic,0.05771872812904492,0.04229238015050744,0.05771872812904492,0.01851499736584848,0.029201832725323066,0.011401138254299512,0.0454022990381,0.03602759694622066,0.014406277416671678,0.6,-0.6,0.05771872812904492,0.04383679174269761
non_additive_grid_top,direct_blend,cubic,speed_hypot,0.0,0.08,1.0,0.4,cubic,0.05771872812904492,0.0559902423579514,0.05771872812904492,0.01864161718025447,0.029185827638264297,0.010750284230961065,0.0454022990381,0.036055517843486484,0.014352714461491348,0.6,-0.6,0.05771872812904492,0.04385877259996064
non_additive_grid_top,partition_low_ref_same_window,cubic,speed_hypot,0.0,0.08,0.75,0.3,quintic,0.05771872812904492,0.04165532621941917,0.05771872812904492,0.018547671054252254,0.029229206160530225,0.011554804313648174,0.0454022990381,0.03605581813496956,0.014459344057327472,0.6,-0.6,0.05771872812904492,0.0438739672844259
non_additive_grid_top,direct_blend,cubic,speed_hypot,0.0,0.08,1.0,0.55,quintic,0.06670465651943121,0.06670465651943121,0.05771872812904492,0.01867413242225235,0.029192517012160205,0.010917146480966256,0.0454022990381,0.03606181267003663,0.014377946579978242,0.652661319158299,-0.652661319158299,0.06670465651943121,0.04387521654645592
non_additive_grid_top,direct_blend,cubic,speed_hypot,0.0,0.08,1.0,0.4,quintic,0.05771872812904492,0.054707137286752514,0.05771872812904492,0.018658128930232925,0.02921162386418658,0.010886427757313301,0.0454022990381,0.036079549923929664,0.014401862259379035,0.6,-0.6,0.05771872812904492,0.04388952235087645
non_additive_grid_top,partition_low_ref_same_window,quintic,speed_hypot,0.0,0.08,0.75,0.55,cubic,0.0589866466982144,0.0589866466982144,0.05771872812904492,0.018470288475179227,0.029292597915724635,0.010674955582125037,0.0454022990381,0.03622952348531853,0.014206377358464506,0.6074305360044047,-0.6074305360044047,0.0589866466982144,0.0439141442658984
non_additive_grid_top,partition_low_ref_same_window,quintic,speed_hypot,0.0,0.08,0.75,0.55,quintic,0.05771872812904492,0.05728823876445043,0.05771872812904492,0.01850161065339803,0.02932328594405141,0.010878963343065387,0.0454022990381,0.03626007250475748,0.01427380099359992,0.6,-0.6,0.05771872812904492,0.04395422894769083
non_additive_grid_top,partition_low_ref_same_window,quintic,speed_hypot,0.0,0.08,1.0,0.2,cubic,0.05771872812904492,0.03853286014156541,0.05771872812904492,0.0187814543631104,0.029273209959704817,0.0132480750890134,0.0454022990381,0.03547911309095029,0.015159407409913684,0.6,-0.6,0.05771872812904492,0.04398810607625794
non_additive_grid_top,partition_low_ref_same_window,quintic,speed_hypot,0.0,0.08,0.75,0.4,cubic,0.05771872812904492,0.04838050770565538,0.05771872812904492,0.018500533711586317,0.02936562458042384,0.010809290129598456,0.0454022990381,0.036372705558660054,0.014279627023495115,0.6,-0.6,0.05771872812904492,0.04399624450151973
non_additive_grid_top,direct_blend,quintic,speed_hypot,0.0,0.08,1.0,0.55,cubic,0.06731216284925134,0.06731216284925134,0.05771872812904492,0.01870523998827282,0.029305313255610536,0.010789156567353757,0.0454022990381,0.03620713409996156,0.014394994569004973,0.6562215617215018,-0.6562215617215018,0.06731216284925134,0.04399734505971238
non_additive_grid_top,direct_blend,cubic,speed_hypot,0.0,0.08,1.0,0.3,cubic,0.05771872812904492,0.049441032420937996,0.05771872812904492,0.01870301126745953,0.02930723113091252,0.011366730937544381,0.0454022990381,0.03615310446544998,0.014587515717374051,0.6,-0.6,0.05771872812904492,0.04399859431877037
