vf_mps,yaw_rate_radps,transition_speed_mps,h,launch_extra_only_opposing_nm,left_command,right_command,lr_delta_command,note
0.03,4.711111111,0.0756882136054523,0.9915983685763065,0.00048493147998460834,0.2645858835018167,-0.2645858835018167,0.5291717670036334,grid command omits C moving branch; shows launch partition fade only
0.03,5.355555556,0.08449924410385055,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.03,6.0,0.09344650876303512,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.06,0.2,0.060072477058966026,0.8447679760004555,0.008959794990151084,0.31425214754743025,-0.31425214754743025,0.6285042950948605,grid command omits C moving branch; shows launch partition fade only
0.06,0.844444444,0.06127920417265734,0.861347109296347,0.00800286850283033,0.3086441559220194,-0.3086441559220194,0.6172883118440388,grid command omits C moving branch; shows launch partition fade only
0.06,1.488888889,0.06389280398688534,0.8947104208146999,0.006077180595817885,0.2973588149906412,-0.2973588149906412,0.5947176299812824,grid command omits C moving branch; shows launch partition fade only
0.06,2.133333333,0.0677506539510999,0.9368452883008618,0.0036452096346307715,0.2831064424580703,-0.2831064424580703,0.5662128849161406,grid command omits C moving branch; shows launch partition fade only
0.06,2.777777778,0.07265482085929162,0.9762581476157817,0.0013703495230446147,0.2697748055729057,-0.2697748055729057,0.5395496111458113,grid command omits C moving branch; shows launch partition fade only
0.06,3.422222222,0.07840922170925946,0.9988295176415833,6.755875302529439e-05,0.2621399038069542,-0.2621399038069542,0.5242798076139084,grid command omits C moving branch; shows launch partition fade only
0.06,4.066666667,0.08484102945136635,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.06,4.711111111,0.09180798265284221,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.06,5.355555556,0.09919739035943496,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.06,6.0,0.10692170032318042,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.09,0.2,0.09004833424333844,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.09,0.844444444,0.09085780574080701,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.09,1.488888889,0.09264065199094051,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.09,2.133333333,0.09534228396048465,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.09,2.777777778,0.09888742586444323,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.09,3.422222222,0.10318917602661533,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.09,4.066666667,0.1081572941523946,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.09,4.711111111,0.1137044663976951,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.09,5.355555556,0.11975024949503078,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.09,6.0,0.12622301691846854,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.12,0.2,0.12003625493991388,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.12,0.844444444,0.12064468850320027,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.12,1.488888889,0.12199299324677032,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.12,2.133333333,0.1240570478078601,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.12,2.777777778,0.1268019045365477,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.12,3.422222222,0.1301845077152109,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.12,4.066666667,0.13415662592048003,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.12,4.711111111,0.13866760861421307,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
