candidate_id,split,stage,log_parameter,measurement_dimension,parameter_field,parameter_value_kind,parameter_value,launch_command_signature,count,sum_nis,sum_nis_sq,rms_nis,sqrt_mean_nis,accepted_count,rejected_count,segment_count
candidate_1_algebraic_envelope,all,yaw_launch,yaw_rate_nis,1,drive_command_bin,logged_drive_command_bin,-0.7,"pair=-0.7,0.7;mag=0.7",425,83278.6346361,24900945.2777,242.054662167,13.9982044761,425,0,1
candidate_1_algebraic_envelope,held_out,yaw_launch,yaw_rate_nis,1,drive_command_bin,logged_drive_command_bin,-0.7,"pair=-0.7,0.7;mag=0.7",425,83278.6346361,24900945.2777,242.054662167,13.9982044761,425,0,1
candidate_1_algebraic_envelope,train,SEC_10_STATIC,forward_accel_nis,1,none,none,,,1559,61.2383787364,52.6135440773,0.18370700673,0.198193215891,1559,0,1
candidate_1_algebraic_envelope,train,SEC_10_STATIC,right_accel_nis,1,none,none,,,1559,49.1067144599,50.5467007424,0.180062530551,0.177479166915,1559,0,1
candidate_1_algebraic_envelope,train,SEC_10_STATIC,yaw_rate_nis,1,none,none,,,1559,2040.72388534,15609.0729163,3.16421144533,1.14411338441,1559,0,1
candidate_1_algebraic_envelope,train,SEC_20_LAUNCH,forward_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.25,"pair=0.25,0.25;mag=0.25;linear=0;yaw=0",347,691.258322737,9106.79117062,5.12292445372,1.41141734182,346,1,1
candidate_1_algebraic_envelope,train,SEC_20_LAUNCH,right_accel_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.25,"pair=0.25,0.25;mag=0.25;linear=0;yaw=0",347,181.890414188,363.242036507,1.02313587643,0.724002671251,347,0,1
candidate_1_algebraic_envelope,train,SEC_20_LAUNCH,yaw_rate_nis,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.25,"pair=0.25,0.25;mag=0.25;linear=0;yaw=0",347,1843.2149221,36001.8397925,10.1858578279,2.30474696336,347,0,1
candidate_1_algebraic_envelope,train,SEC_30_STRAIGHT,forward_accel_nis,1,straight_speed_mps,legacy_straight_speed_bin_mps,0.1,"pair=0.351734,0.351734;mag=0.188751;linear=0.10000000149;yaw=-0.0276963133365",33126,220608.47038,34581076.8728,32.3098363186,2.58063505832,31836,1290,1
candidate_1_algebraic_envelope,train,SEC_30_STRAIGHT,right_accel_nis,1,straight_speed_mps,legacy_straight_speed_bin_mps,0.1,"pair=0.351734,0.351734;mag=0.188751;linear=0.10000000149;yaw=-0.0276963133365",33126,61463.3815696,2161620.22044,8.07802510136,1.36214621028,32701,425,1
candidate_1_algebraic_envelope,train,SEC_30_STRAIGHT,yaw_rate_nis,1,straight_speed_mps,legacy_straight_speed_bin_mps,0.1,"pair=0.351734,0.351734;mag=0.188751;linear=0.10000000149;yaw=-0.0276963133365",33126,2517602.71517,8742734224.69,513.734981999,8.71784414127,33126,0,1
candidate_1_algebraic_envelope,train,SEC_50_SMOOTH,forward_accel_nis,1,smooth_speed_mps,legacy_smooth_speed_bin_mps,,,254,0.00372679825056,1.32118243555e-07,2.28068096229e-05,0.0038304613374,254,0,1
candidate_1_algebraic_envelope,train,SEC_50_SMOOTH,right_accel_nis,1,smooth_speed_mps,legacy_smooth_speed_bin_mps,,,254,0.00223986221265,5.71950227965e-08,1.50059073403e-05,0.00296957154618,254,0,1
candidate_1_algebraic_envelope,train,SEC_50_SMOOTH,yaw_rate_nis,1,smooth_speed_mps,legacy_smooth_speed_bin_mps,,,254,1.8656908272,0.0531168979993,0.0144610388861,0.0857043725672,254,0,1
candidate_1_algebraic_envelope,train,launch,yaw_rate_nis,1,drive_command_bin,logged_drive_command_bin,0.25,"pair=0.25,0.25;mag=0.25",546,396.017230555,1411.26366761,1.60771017039,0.851649154915,546,0,1
candidate_1_algebraic_envelope,train,mixed_launch,forward_accel_nis,1,observed_drive_command_pair,observed_drive_command_pair,"-0.4,-0.3","pair=-0.4,-0.3;mag=0.4",1088,1982.04890748,28193.2796425,5.09047550312,1.34971705487,1080,8,1
candidate_1_algebraic_envelope,train,mixed_launch,right_accel_nis,1,observed_drive_command_pair,observed_drive_command_pair,"-0.4,-0.3","pair=-0.4,-0.3;mag=0.4",1088,515.135332102,1777.82790721,1.27829300356,0.688091545042,1088,0,1
candidate_1_algebraic_envelope,train,mixed_launch,yaw_rate_nis,1,observed_drive_command_pair,observed_drive_command_pair,"-0.4,-0.3","pair=-0.4,-0.3;mag=0.4",1088,4984.25617416,114984.404428,10.2802818661,2.14035459846,1088,0,1
candidate_1_algebraic_envelope,train,static,yaw_rate_nis,1,none,none,,,42,6.90009779272,3.32820124848,0.281501131203,0.405324613962,42,0,1
candidate_2_stribeck,all,SEC_10_STATIC,forward_accel_nis,1,none,none,,,1559,59.3902943124,45.240714406,0.170349816302,0.195179715729,1559,0,1
candidate_2_stribeck,all,SEC_10_STATIC,right_accel_nis,1,none,none,,,1559,50.9589783408,56.6966374848,0.190702151971,0.180795367583,1559,0,1
