variant,interpretation,k1,delta_k,k3_radps,stribeck_speed_mps,speed_fade_mps,rel_weight,load_exponent,k2,coarse_exact_launch_rmse_nm,peak_nm,launch_max_abs_command,gate_pass,round_index
standard,meet_x1,0.7204235550868902,0.07150260659312482,0.026871466216220854,0.010440347893586322,0.43333981349631673,0.03388860001664056,1.0,0.791926161680015,0.03905752747090517,0.06571837966466744,0.6459999999999998,True,1
standard,reach_x2,0.00024271973964914618,3.12467770241206,0.3726654056558235,0.035532007454163385,0.5123397971652417,1.5697067845826922,1.0,3.1249204221517095,0.03906420946558368,0.09359903048325337,0.6459999999999998,True,1
standard,meet_x1,0.0015022033847299386,3.1358133389803853,0.061603444014079425,0.012790821156039564,0.03241164295009948,0.1942678205886148,1.0,3.137315542365115,0.03911594103895156,0.06939683564717694,0.6459999999999998,True,1
standard,meet_x1,0.28910917451149837,0.17839510107967907,1.456909107456809,0.002152033357761724,0.03569516419277145,0.21490253739350607,1.0,0.46750427559117747,0.03919316417361682,0.10586182513332636,0.6459999999999998,True,1
standard,reach_x2,0.16691505294946482,0.5056196235331004,0.031126026391826225,0.06256245557135162,0.018250893158741486,-0.35671368362081246,1.0,0.6725346764825653,0.039238200736501,0.0715196729937805,0.6459999999999998,True,1
standard,reach_x2,0.13270845878277127,1.659421371754604,0.4165833421503088,0.00038908276390193754,0.042571768791894796,-1.8563224714198603,1.0,1.7921298305373754,0.039266296473512395,0.09269109845915303,0.6459999999999998,True,1
standard,reach_x2,0.00729501048355673,0.0002149634968203238,0.02019616180220254,0.01264019701038689,0.1790671164715092,0.38475355250259735,1.0,0.0075099739803770535,0.03929919763799642,0.07886414734196728,0.6459999999999998,True,1
standard,meet_x1,0.006076411060941916,0.0010721891067634803,1.7521383765078344,0.013125166619026145,0.12652733041373657,-0.40998307400950473,1.0,0.007148600167705396,0.03930506191040627,0.07293534322389439,0.6459999999999998,True,1
standard,reach_x2,0.0015588160251220878,0.6598421934612988,0.014359294216729162,0.03798887380541873,0.01791090297799243,-0.09242948294787112,1.0,0.6614010094864209,0.03934901947126146,0.06603282410634757,0.6459999999999998,True,1
standard,meet_x1,0.2538904344587788,1.6149470487265554,0.015996528117366963,0.019207524190180125,0.01409854489517504,0.3347980920360314,1.0,1.868837483185334,0.03938066889712349,0.07698699035721895,0.6459999999999998,True,1
standard,meet_x1,0.15378225728203346,0.04382017377535183,1.0057723770313642,0.01568100168638121,2.3278072031954,0.2829181332869686,1.0,0.19760243105738529,0.03953448863006775,0.07018323971867496,0.6459999999999998,True,1
standard,reach_x2,0.20562104067869527,0.21922864180795748,0.659696929736366,0.03142712414361058,0.09818783731734668,2.7951519095565054,1.0,0.4248496824866528,0.039551495030465726,0.11778881083719978,0.6459999999999998,True,1
standard,reach_x2,0.01599003838629708,0.015073127164459247,0.0450087555191769,0.22302170643129202,0.017696166016410025,0.5631655953668102,1.0,0.031063165550756326,0.03962343097248983,0.08012640089539712,0.6459999999999998,True,1
standard,meet_x1,0.0020270949559194427,0.13474118988210823,0.052588767717634884,0.005207710419468256,0.01839746416627363,0.3100997050634122,1.0,0.13676828483802767,0.03964189992722534,0.08659546968886256,0.646,True,1
standard,reach_x2,0.00017543155595893049,0.0019213825221297493,0.16406829632428963,0.474590274574,0.029597508973431684,-0.9675853533282512,1.0,0.00209681407808868,0.039660329386187194,0.08088666434517267,0.6459999999999998,True,1
standard,reach_x2,0.0006742272938536902,0.26257170284037523,0.40858619382712463,0.0860880102546967,0.15939363400037196,1.8071026671975234,1.0,0.2632459301342289,0.03976932871488157,0.0738630887642172,0.6459999999999998,True,1
standard,reach_x2,1.0375675284253283,0.012014007832795201,0.09740993972296065,0.0003202274039723089,0.021822417349228126,0.8455856575724496,1.0,1.0495815362581236,0.03978638252233397,0.08698631605979323,0.6459999999999998,True,1
standard,reach_x2,0.012404828581516054,0.04864758548435038,0.04600964365168062,0.0310044561800431,0.05342312782119255,-0.4428041238450664,1.0,0.06105241406586644,0.0398143879239413,0.06950123685571627,0.6459999999999998,True,1
standard,meet_x1,0.46884553717787214,0.601004220675961,0.10417578749433394,0.013115685891379673,0.010199198757663572,0.4241707620523245,1.0,1.069849757853833,0.03987221665367838,0.09024118331279785,0.6459999999999998,True,1
standard,reach_x2,1.4314538545494988,0.00032120401508604473,0.023645348608696475,0.0014813797699018958,0.022284623491072526,0.6701734795871115,1.0,1.4317750585645848,0.04008863625458848,0.0784694824987728,0.6459999999999998,True,1
standard,reach_x2,0.08,0.45,0.06,0.025,0.64,0.75,1.0,0.53,0.040138057839033035,0.07843004333431068,0.6459999999999998,True,1
standard,reach_x2,0.0007319018904575586,0.14210286442606518,0.005001575446136236,0.017174204186756633,0.24188427349584612,0.5413683649252921,1.0,0.14283476631652273,0.04020586595003763,0.07982942181880148,0.6459999999999998,True,1
standard,reach_x2,0.04042169736514359,0.001166868313153222,0.800138087181895,0.13572499178801814,0.9827877618662192,-2.211812926337005,1.0,0.04158856567829681,0.04022007567780152,0.06943279734280475,0.6459999999999998,True,1
standard,reach_x2,0.007870693677287849,2.3232141098536765,0.15496063076929542,0.038447294097275785,0.042392359217122956,-1.3773324009451677,1.0,2.331084803530964,0.0402695312601877,0.08793495197408163,0.6459999999999998,True,1
standard,reach_x2,0.0012034454673092636,0.20434084963070234,0.004943896100634491,0.022615793865592253,3.4882418429044617,0.15341269096183785,1.0,0.20554429509801161,0.04029594068739822,0.06622443154661099,0.6459999999999998,True,1
standard,reach_x2,0.6543721109907457,0.013171343242097948,0.6717902280407727,0.14353935706592327,0.11653078435468978,0.5029505659780931,1.0,0.6675434542328436,0.040346047246395594,0.06600957650951361,0.6459999999999998,True,1
standard,reach_x2,1.1389280252704213,0.0006737800582332267,0.044304719710535984,0.002385414323688593,0.03414547341478916,-0.47427742306185294,1.0,1.1396018053286545,0.04038954845432975,0.06832015982294778,0.6459999999999998,True,1
standard,meet_x1,0.016831107224499105,0.7756923450583545,0.016732947896546283,0.00024038887378890345,0.010334322470220196,-0.4954016072379206,1.0,0.7925234522828536,0.04040071804358384,0.0983493373068035,0.6459999999999998,True,1
standard,reach_x2,1.2540439895504911,0.0004149038081132807,0.16876251924184615,0.044268105067866895,0.06305981564908811,1.6186729492973564,1.0,1.2544588933586045,0.040506762732847416,0.0898101199424389,0.6459999999999998,True,1
