phase,candidate_id,trial_id,split,stage,log_parameter,count,accepted_count,rms_nis,expected_rms_nis,guarded_rms_nis,under_expected_penalty,inflation_flag,rejected_count,rejected_rate
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_005,validation,SEC_10_STATIC,forward_accel_residual_tail,15001,15001,1.6001622944e-05,1.73205080757,1.73205080757,1.73203480595,true,0,0
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_005,validation,SEC_10_STATIC,right_accel_residual_tail,15001,15001,1.76868830238e-05,1.73205080757,1.73205080757,1.73203312069,true,0,0
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_005,validation,SEC_10_STATIC,yaw_rate_residual_tail,15001,15001,0.0159791107103,1.73205080757,1.73205080757,1.71607169686,true,0,0
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_005,validation,SEC_20_LAUNCH,forward_accel_residual_tail,34859,34671,2.9425345091,1.73205080757,2.9425345091,0,false,188,0.00539315528271
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_005,validation,SEC_20_LAUNCH,right_accel_residual_tail,34859,34854,1.35160955926,1.73205080757,1.73205080757,0.380441248305,false,5,0.000143434980923
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_005,validation,SEC_20_LAUNCH,yaw_rate_residual_tail,34859,34064,4.39359702824,1.73205080757,4.39359702824,0,false,795,0.0228061619668
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_005,validation,SEC_30_STRAIGHT,forward_accel_residual_tail,198756,188118,4.92547361263,1.73205080757,4.92547361263,0,false,10638,0.0535229125158
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_005,validation,SEC_30_STRAIGHT,right_accel_residual_tail,198756,194526,3.21055791765,1.73205080757,3.21055791765,0,false,4230,0.0212823763811
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_005,validation,SEC_30_STRAIGHT,yaw_rate_residual_tail,198756,171660,7.86231922064,1.73205080757,7.86231922064,0,false,27096,0.136327959911
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_005,validation,launch,forward_accel_residual_tail,4556,4511,3.46906919785,1.73205080757,3.46906919785,0,false,45,0.00987708516242
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_005,validation,launch,right_accel_residual_tail,4556,4553,1.69981067311,1.73205080757,1.73205080757,0.03224013446,false,3,0.000658472344162
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_005,validation,launch,yaw_rate_residual_tail,8899,8616,5.4161031168,1.73205080757,5.4161031168,0,false,283,0.0318013259917
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_005,validation,mixed_launch,forward_accel_residual_tail,11944,11711,4.17337425365,1.73205080757,4.17337425365,0,false,233,0.0195077026122
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_005,validation,mixed_launch,right_accel_residual_tail,11944,11907,2.5354767336,1.73205080757,2.5354767336,0,false,37,0.0030977896852
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_005,validation,mixed_launch,yaw_rate_residual_tail,11944,10968,6.55611163569,1.73205080757,6.55611163569,0,false,976,0.0817146684528
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_005,validation,static,forward_accel_residual_tail,30523,30523,0.0560892942207,1.73205080757,1.73205080757,1.67596151335,true,0,0
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_005,validation,static,right_accel_residual_tail,30523,30523,0.0257463704157,1.73205080757,1.73205080757,1.70630443715,true,0,0
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_005,validation,static,yaw_rate_residual_tail,30523,30523,0.844721100248,1.73205080757,1.73205080757,0.887329707321,true,0,0
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_005,validation,yaw_launch,forward_accel_residual_tail,14719,13914,5.04466207438,1.73205080757,5.04466207438,0,false,805,0.0546912154358
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_005,validation,yaw_launch,right_accel_residual_tail,14719,14242,4.05223695111,1.73205080757,4.05223695111,0,false,477,0.0324070928732
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_005,validation,yaw_launch,yaw_rate_residual_tail,33226,15903,5.49521482897,1.73205080757,5.49521482897,0,false,17323,0.52136880756
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_003,held_out,launch,forward_accel_residual_tail,13565,13508,2.97654403264,1.73205080757,2.97654403264,0,false,57,0.00420199041651
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_003,held_out,launch,right_accel_residual_tail,13565,13565,1.1985070998,1.73205080757,1.73205080757,0.533543707765,true,0,0
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_003,held_out,launch,yaw_rate_residual_tail,13565,13020,5.39585873421,1.73205080757,5.39585873421,0,false,545,0.0401769259123
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_003,held_out,static,forward_accel_residual_tail,15503,15503,0.0721974572574,1.73205080757,1.73205080757,1.65985335031,true,0,0
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_003,held_out,static,right_accel_residual_tail,15503,15503,0.020096950572,1.73205080757,1.73205080757,1.711953857,true,0,0
