segment_id,log_id,log_path,schema_kind,stage,family,section_id,section_name,phase_id,phase_name,primitive_id,primitive_name,direction_id,direction_name,speed_bin,speed_bin_label,repeat_index,slot_occurrence_index,parameter,test_value_kind,test_value,fan_duty_cycle,active_command_rows,observed_command_pair_mode,observed_command_pair_distinct_count,observed_command_magnitude_max,observed_command_magnitude_median,left_drive_command_min,left_drive_command_max,right_drive_command_min,right_drive_command_max,cmd_linear_mps_median,cmd_yaw_radps_median,segment_start_row_index,segment_end_row_index,segment_start_time_us,segment_end_time_us,segment_duration_s,active_start_row_index,active_end_row_index,active_start_time_us,active_end_time_us,start_criterion,end_criterion,end_reason,corruption_note
ofnis_000021,mmlog_decode_2026-04-10_18-33-52,TestResults/mmlog_decode_2026-04-10_18-33-52/open_floor_main.csv,legacy_section_phase,SEC_20_LAUNCH,launch,2,SEC_20_LAUNCH,2,launch_pulse,3,OPEN_LOOP_LAUNCH,1,POSITIVE,0.0,NONE,11,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.18,0.800000011920929,244,"[0.18, 0.18]",1,0.18,0.18,0.18000000715255737,0.18000000715255737,0.18000000715255737,0.18000000715255737,0.0,0.0,19334,19778,32759052,33206442,0.44738999999999995,19335,19578,32760728,33005071,last row of preceding reliable stationary run; rows=200; row_index=19135..19334,first reliable stationary run after active command; rows=200; row_index=19579..19778,reliable_stationary,
ofnis_000022,mmlog_decode_2026-04-10_18-33-52,TestResults/mmlog_decode_2026-04-10_18-33-52/open_floor_main.csv,legacy_section_phase,SEC_20_LAUNCH,launch,2,SEC_20_LAUNCH,2,launch_pulse,3,OPEN_LOOP_LAUNCH,2,NEGATIVE,0.0,NONE,12,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.18,0.800000011920929,248,"[-0.18, -0.18]",1,0.18,0.18,-0.18000000715255737,-0.18000000715255737,-0.18000000715255737,-0.18000000715255737,0.0,0.0,19778,20227,33206442,33659331,0.452889,19779,20026,33207449,33455705,last row of preceding reliable stationary run; rows=200; row_index=19579..19778,first reliable stationary run after active command; rows=201; row_index=20027..20227,reliable_stationary,
ofnis_000023,mmlog_decode_2026-04-10_18-33-52,TestResults/mmlog_decode_2026-04-10_18-33-52/open_floor_main.csv,legacy_section_phase,SEC_20_LAUNCH,launch,2,SEC_20_LAUNCH,2,launch_pulse,3,OPEN_LOOP_LAUNCH,1,POSITIVE,0.0,NONE,13,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.18,0.800000011920929,245,"[0.18, 0.18]",1,0.18,0.18,0.18000000715255737,0.18000000715255737,0.18000000715255737,0.18000000715255737,0.0,0.0,20227,20673,33659331,34110605,0.45127399999999995,20228,20472,33660960,33906399,last row of preceding reliable stationary run; rows=201; row_index=20027..20227,first reliable stationary run after active command; rows=201; row_index=20473..20673,reliable_stationary,
ofnis_000024,mmlog_decode_2026-04-10_18-33-52,TestResults/mmlog_decode_2026-04-10_18-33-52/open_floor_main.csv,legacy_section_phase,SEC_20_LAUNCH,launch,2,SEC_20_LAUNCH,2,launch_pulse,3,OPEN_LOOP_LAUNCH,2,NEGATIVE,0.0,NONE,14,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.18,0.800000011920929,245,"[-0.18, -0.18]",1,0.18,0.18,-0.18000000715255737,-0.18000000715255737,-0.18000000715255737,-0.18000000715255737,0.0,0.0,20673,21119,34110605,34560165,0.44955999999999996,20674,20918,34112281,34357603,last row of preceding reliable stationary run; rows=201; row_index=20473..20673,first reliable stationary run after active command; rows=201; row_index=20919..21119,reliable_stationary,
ofnis_000025,mmlog_decode_2026-04-10_18-33-52,TestResults/mmlog_decode_2026-04-10_18-33-52/open_floor_main.csv,legacy_section_phase,SEC_20_LAUNCH,launch,2,SEC_20_LAUNCH,2,launch_pulse,3,OPEN_LOOP_LAUNCH,1,POSITIVE,0.0,NONE,15,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.18,0.800000011920929,247,"[0.18, 0.18]",1,0.18,0.18,0.18000000715255737,0.18000000715255737,0.18000000715255737,0.18000000715255737,0.0,0.0,21119,21567,34560165,35012898,0.452733,21120,21366,34561166,34808473,last row of preceding reliable stationary run; rows=201; row_index=20919..21119,first reliable stationary run after active command; rows=201; row_index=21367..21567,reliable_stationary,
ofnis_000026,mmlog_decode_2026-04-10_18-33-52,TestResults/mmlog_decode_2026-04-10_18-33-52/open_floor_main.csv,legacy_section_phase,SEC_20_LAUNCH,launch,2,SEC_20_LAUNCH,2,launch_pulse,3,OPEN_LOOP_LAUNCH,2,NEGATIVE,0.0,NONE,16,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.18,0.800000011920929,245,"[-0.18, -0.18]",1,0.18,0.18,-0.18000000715255737,-0.18000000715255737,-0.18000000715255737,-0.18000000715255737,0.0,0.0,21567,22012,35012898,35465542,0.452644,21568,21812,35014499,35259847,last row of preceding reliable stationary run; rows=201; row_index=21367..21567,first reliable stationary run after active command; rows=200; row_index=21813..22012,reliable_stationary,
ofnis_000027,mmlog_decode_2026-04-10_18-33-52,TestResults/mmlog_decode_2026-04-10_18-33-52/open_floor_main.csv,legacy_section_phase,SEC_20_LAUNCH,launch,2,SEC_20_LAUNCH,2,launch_pulse,3,OPEN_LOOP_LAUNCH,1,POSITIVE,0.0,NONE,17,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.18,0.800000011920929,244,"[0.18, 0.18]",1,0.18,0.18,0.18000000715255737,0.18000000715255737,0.18000000715255737,0.18000000715255737,0.0,0.0,22012,22457,35465542,35913220,0.44767799999999996,22013,22256,35466641,35710866,last row of preceding reliable stationary run; rows=200; row_index=21813..22012,first reliable stationary run after active command; rows=201; row_index=22257..22457,reliable_stationary,
ofnis_000028,mmlog_decode_2026-04-10_18-33-52,TestResults/mmlog_decode_2026-04-10_18-33-52/open_floor_main.csv,legacy_section_phase,SEC_20_LAUNCH,launch,2,SEC_20_LAUNCH,2,launch_pulse,3,OPEN_LOOP_LAUNCH,2,NEGATIVE,0.0,NONE,18,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.18,0.800000011920929,247,"[-0.18, -0.18]",1,0.18,0.18,-0.18000000715255737,-0.18000000715255737,-0.18000000715255737,-0.18000000715255737,0.0,0.0,22457,22905,35913220,36365494,0.45227399999999995,22458,22704,35914226,36161544,last row of preceding reliable stationary run; rows=201; row_index=22257..22457,first reliable stationary run after active command; rows=201; row_index=22705..22905,reliable_stationary,
ofnis_000029,mmlog_decode_2026-04-10_18-33-52,TestResults/mmlog_decode_2026-04-10_18-33-52/open_floor_main.csv,legacy_section_phase,SEC_20_LAUNCH,launch,2,SEC_20_LAUNCH,2,launch_pulse,3,OPEN_LOOP_LAUNCH,1,POSITIVE,0.0,NONE,19,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.18,0.800000011920929,246,"[0.18, 0.18]",1,0.18,0.18,0.18000000715255737,0.18000000715255737,0.18000000715255737,0.18000000715255737,0.0,0.0,22905,23351,36365494,36814429,0.448935,22906,23151,36366968,36613202,last row of preceding reliable stationary run; rows=201; row_index=22705..22905,first reliable stationary run after active command; rows=200; row_index=23152..23351,reliable_stationary,
ofnis_000030,mmlog_decode_2026-04-10_18-33-52,TestResults/mmlog_decode_2026-04-10_18-33-52/open_floor_main.csv,legacy_section_phase,SEC_20_LAUNCH,launch,2,SEC_20_LAUNCH,2,launch_pulse,3,OPEN_LOOP_LAUNCH,2,NEGATIVE,0.0,NONE,20,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.18,0.800000011920929,248,"[-0.18, -0.18]",1,0.18,0.18,-0.18000000715255737,-0.18000000715255737,-0.18000000715255737,-0.18000000715255737,0.0,0.0,23351,23800,36814429,37267764,0.453335,23352,23599,36815431,37063682,last row of preceding reliable stationary run; rows=200; row_index=23152..23351,first reliable stationary run after active command; rows=201; row_index=23600..23800,reliable_stationary,
