vrel_knee_mps,fwd_knee_mps,bristle_length_m,stribeck_speed_mps,coulomb_fraction,ridge,static_gain_nm,anchor_extra_nm,in_place_max_abs_command,in_place_acceptance_pass,objective_with_gate,objective_score,validation_objective_rb_corrected_rmse_nm,validation_objective_rb_baseline_rmse_nm,primary_rb_corrected_rmse_nm,open_fit_rb_corrected_rmse_nm,straight_rb_corrected_rmse_nm,high_forward_rb_corrected_rmse_nm,low_launch_rb_corrected_rmse_nm
0.05,0.7,0.0005,0.06,0.65,0.03,0.06578288683442375,0.06501335920678508,0.524714973516106,False,10.038371295493778,0.038371295493778705,0.038371295493778705,0.051393686833940286,0.02204392605192415,0.027928390521389547,0.025315117267014534,0.033158550064379656,0.04219568220459453
0.08,0.7,0.0005,0.06,0.65,0.03,0.06578288683442375,0.06501335920678508,0.5823679788194626,False,10.038598239102726,0.038598239102726306,0.038598239102726306,0.051393686833940286,0.022206901584110348,0.02850408634202002,0.02506338031874861,0.032978597433463874,0.04315123935067924
0.05,0.7,0.002,0.06,0.85,0.03,0.06534094109979165,0.06501335920678508,0.5937570877102749,False,10.038694967751196,0.03869496775119544,0.03869496775119544,0.051393686833940286,0.022824352715160996,0.025775225947129384,0.024502713618850043,0.032125560066216356,0.042612156764489324
0.05,0.7,0.002,0.1,0.85,0.03,0.06513219268566735,0.06501335920678508,0.5701183882438184,False,10.039104035492251,0.03910403549225046,0.03910403549225046,0.051393686833940286,0.023107219069924856,0.025852692861559893,0.02477189349971463,0.032187696044732664,0.04298591925250389
0.05,0.7,0.0005,0.1,0.65,0.03,0.06529131473207078,0.06501335920678508,0.4605915735097252,False,10.039168694701303,0.03916869470130247,0.03916869470130247,0.051393686833940286,0.0227415273797893,0.0283361350966683,0.025860953984752105,0.03342409577116563,0.042964446855460685
0.08,0.7,0.0005,0.1,0.65,0.03,0.06529131473207078,0.06501335920678508,0.5168177406235444,False,10.03950582977649,0.03950582977649004,0.03950582977649004,0.051393686833940286,0.02292351626687617,0.028999829413442788,0.025622665940470014,0.033283968382762506,0.04409958017199071
0.05,0.7,0.001,0.06,0.85,0.03,0.06534094109979165,0.06501335920678508,0.5030705919706369,False,10.040500581065876,0.040500581065876305,0.040500581065876305,0.051393686833940286,0.02345602253605045,0.02733525637541435,0.02585936172701821,0.03378848867650402,0.044505038171719025
0.08,0.7,0.001,0.06,0.85,0.03,0.06534094109979165,0.06501335920678508,0.5557495501361356,False,10.040733482530857,0.040733482530857734,0.040733482530857734,0.051393686833940286,0.023586820015142798,0.02774270643964853,0.02558120396814505,0.03360899727769654,0.045371125502147246
0.05,0.7,0.001,0.1,0.85,0.03,0.06513219268566735,0.06501335920678508,0.4805186790768336,False,10.040897242993926,0.04089724299392618,0.04089724299392618,0.051393686833940286,0.023756073634961256,0.02746446957665506,0.026121675926878363,0.03386455999603762,0.044883524790100854
0.08,0.7,0.001,0.1,0.85,0.03,0.06513219268566735,0.06501335920678508,0.5326411145171269,False,10.041172295691922,0.04117229569192175,0.04117229569192175,0.051393686833940286,0.02389149657041189,0.02790019304428785,0.025847821547582115,0.03369866459784362,0.045817223082661604
0.05,0.7,0.0005,0.06,0.85,0.03,0.06534094109979165,0.06501335920678508,0.406657088131255,False,10.041922870220574,0.04192287022057467,0.04192287022057467,0.051393686833940286,0.02437352556269334,0.029835775599199008,0.027368085434075977,0.035925276530179934,0.046088086362634846
0.08,0.7,0.0005,0.06,0.85,0.03,0.06534094109979165,0.06501335920678508,0.45761053490410636,False,10.04219437711099,0.04219437711098961,0.04219437711098961,0.051393686833940286,0.024561886315880996,0.030537541780696446,0.027103415994133333,0.035772032798838505,0.04709220309235834
0.05,0.7,0.0005,0.1,0.85,0.03,0.06513219268566735,0.06501335920678508,0.3838675649319927,False,10.042253953724893,0.042253953724893795,0.042253953724893795,0.051393686833940286,0.024690801766415693,0.030036875885299665,0.027603740728986387,0.03602828959709279,0.04642280017776709
0.08,0.7,0.0005,0.1,0.85,0.03,0.06513219268566735,0.06501335920678508,0.434461027830099,False,10.042573013740226,0.04257301374022591,0.04257301374022591,0.051393686833940286,0.024886921181483744,0.03077824213887544,0.027344941194423558,0.03589348142148984,0.04750381196013556
