vrel_knee_mps,fwd_knee_mps,bristle_velocity_mps,slide_gate_power,ridge,static_ridge,downweighted_fit_weight,anchor_extra_nm,in_place_max_abs_command,in_place_acceptance_pass,objective_with_gate,anchor_constraint_lagrange,objective_score,validation_objective_rb_corrected_rmse_nm,validation_objective_rb_baseline_rmse_nm,primary_rb_corrected_rmse_nm,open_fit_rb_corrected_rmse_nm,straight_rb_corrected_rmse_nm,high_forward_rb_corrected_rmse_nm,low_launch_rb_corrected_rmse_nm
0.08,0.7,0.008,4.0,0.003,0.0,0.0,0.06501335920678508,0.6427570797874715,True,0.043598661769105124,0.0,0.043598661769105124,0.043598661769105124,0.051393686833940286,0.03065343396455624,0.041409716548486915,0.010512506355477309,0.028123918138728,0.07286124515746153
0.08,0.7,0.008,4.0,0.01,0.0,0.0,0.06501335920678508,0.6427570793373538,True,0.043598661868424975,0.0,0.043598661868424975,0.043598661868424975,0.051393686833940286,0.030653432417188143,0.04140972962731449,0.010512510562293766,0.028123927038655905,0.07286124501500404
0.08,0.7,0.008,4.0,0.03,0.0,0.0,0.06501335920678508,0.6427570780514945,True,0.04359866215273653,0.0,0.04359866215273653,0.04359866215273653,0.051393686833940286,0.030653427997108434,0.041409766990115525,0.010512522582789594,0.028123952465545273,0.07286124460822471
0.08,0.7,0.008,4.0,0.1,0.0,0.0,0.06501335920678508,0.6427570735532163,True,0.04359866315412893,0.0,0.04359866315412893,0.04359866315412893,0.051393686833940286,0.030653412538160802,0.04140989769836271,0.010512564666404302,0.028124041442434914,0.07286124318731886
0.05,0.7,0.012,2.0,0.1,0.0,0.0,0.06501335920678508,0.6245260631129594,True,0.04382346639100698,0.0,0.04382346639100698,0.04382346639100698,0.051393686833940286,0.033676001232930956,0.043239362975401256,0.010634696263717809,0.029351685443455202,0.07881527697925032
0.05,0.7,0.012,2.0,0.03,0.0,0.0,0.06501335920678508,0.6245275078374002,True,0.04382349920367365,0.0,0.04382349920367365,0.04382349920367365,0.051393686833940286,0.033676000272499354,0.04323920804087828,0.010634666925406672,0.029351641832274657,0.07881529758619621
0.05,0.7,0.012,2.0,0.01,0.0,0.0,0.06501335920678508,0.6245279208135818,True,0.04382350858497053,0.0,0.04382350858497053,0.04382350858497053,0.051393686833940286,0.03367600000019726,0.0432391637599928,0.010634658550128469,0.029351629373046556,0.07881530347847808
0.05,0.7,0.012,2.0,0.003,0.0,0.0,0.06501335920678508,0.6245280653760217,True,0.04382351186908098,0.0,0.04382351186908098,0.04382351186908098,0.051393686833940286,0.03367599990511296,0.04323914826022521,0.010634655619527143,0.029351625012433477,0.07881530554125822
0.06,0.7,0.012,2.0,0.1,0.0,0.0,0.06501335920678508,0.6329223800999146,True,0.04409737561456968,0.0,0.04409737561456968,0.04409737561456968,0.051393686833940286,0.03393205985680706,0.04369232615323872,0.010642514906707088,0.029326431706973213,0.07917721707873675
0.06,0.7,0.012,2.0,0.03,0.0,0.0,0.06501335920678508,0.6329239073333051,True,0.04409740913941825,0.0,0.04409740913941825,0.04409740913941825,0.051393686833940286,0.033932062661186,0.043692194364187927,0.010642478271007522,0.029326387331161954,0.0791772425018632
0.06,0.7,0.012,2.0,0.01,0.0,0.0,0.06501335920678508,0.632924343906181,True,0.04409741872435549,0.0,0.04409741872435549,0.04409741872435549,0.051393686833940286,0.03393206346493795,0.04369215669777787,0.010642467810143172,0.02932637465415976,0.07917724977055564
