segment_id,log_id,log_path,schema_kind,stage,family,section_id,section_name,phase_id,phase_name,primitive_id,primitive_name,direction_id,direction_name,speed_bin,speed_bin_label,repeat_index,slot_occurrence_index,parameter,test_value_kind,test_value,fan_duty_cycle,active_command_rows,observed_command_pair_mode,observed_command_pair_distinct_count,observed_command_magnitude_max,observed_command_magnitude_median,left_drive_command_min,left_drive_command_max,right_drive_command_min,right_drive_command_max,cmd_linear_mps_median,cmd_yaw_radps_median,segment_start_row_index,segment_end_row_index,segment_start_time_us,segment_end_time_us,segment_duration_s,active_start_row_index,active_end_row_index,active_start_time_us,active_end_time_us,start_criterion,end_criterion,end_reason,corruption_note
ofnis_000001,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,static,static_hold,1,SEC_10_STATIC,1,static,0,MC_NONE,,,0.0,,1,1,none,none,,0.8,0,null,0,,,,,,,,,0,30501,44773845,75274845,30.500999999999998,,,,,static reliable_stationary_run rows=30502,static reliable_stationary_run rows=30502,reliable_stationary,
ofnis_000023,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,yaw_launch,launch,20,SEC_20_YAW_LAUNCH,20,yaw_launch,0,MC_NONE,,,-0.5,,2,1,drive_command_bin,logged_drive_command_bin,-0.5,0.8,1000,"[-0.5, 0.5]",1,0.5,0.5,-0.5,-0.5,0.5,0.5,,,49364,50775,94137845,95548845,1.411,49365,50364,94138845,95137845,last row of preceding reliable stationary run; rows=400; row_index=48965..49364,first reliable stationary run after active command; rows=371; row_index=50405..50775,reliable_stationary,
ofnis_000024,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,yaw_launch,launch,20,SEC_20_YAW_LAUNCH,20,yaw_launch,0,MC_NONE,,,0.5,,3,1,drive_command_bin,logged_drive_command_bin,0.5,0.8,1000,"[0.5, -0.5]",1,0.5,0.5,0.5,0.5,-0.5,-0.5,,,50775,52200,95548845,96973845,1.425,50776,51775,95549845,96548845,last row of preceding reliable stationary run; rows=371; row_index=50405..50775,first reliable stationary run after active command; rows=384; row_index=51817..52200,reliable_stationary,
ofnis_000025,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,yaw_launch,launch,20,SEC_20_YAW_LAUNCH,20,yaw_launch,0,MC_NONE,,,-0.5,,3,1,drive_command_bin,logged_drive_command_bin,-0.5,0.8,1000,"[-0.5, 0.5]",1,0.5,0.5,-0.5,-0.5,0.5,0.5,,,52200,53631,96973845,98404845,1.4309999999999998,52201,53200,96974845,97973845,last row of preceding reliable stationary run; rows=384; row_index=51817..52200,first reliable stationary run after active command; rows=387; row_index=53245..53631,reliable_stationary,
ofnis_000026,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,yaw_launch,launch,20,SEC_20_YAW_LAUNCH,20,yaw_launch,0,MC_NONE,,,0.550000011920929,,1,1,drive_command_bin,logged_drive_command_bin,0.55,0.8,1000,"[0.55, -0.55]",1,0.55,0.55,0.550000011920929,0.550000011920929,-0.550000011920929,-0.550000011920929,,,53631,55095,98404845,99868845,1.464,53632,54631,98405845,99404845,last row of preceding reliable stationary run; rows=387; row_index=53245..53631,first reliable stationary run after active command; rows=413; row_index=54683..55095,reliable_stationary,
ofnis_000027,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,yaw_launch,launch,20,SEC_20_YAW_LAUNCH,20,yaw_launch,0,MC_NONE,,,-0.550000011920929,,1,1,drive_command_bin,logged_drive_command_bin,-0.55,0.8,1000,"[-0.55, 0.55]",1,0.55,0.55,-0.550000011920929,-0.550000011920929,0.550000011920929,0.550000011920929,,,55095,56510,99868845,101283845,1.415,55096,56095,99869845,100868845,last row of preceding reliable stationary run; rows=413; row_index=54683..55095,first reliable stationary run after active command; rows=373; row_index=56138..56510,reliable_stationary,
ofnis_000028,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,yaw_launch,launch,20,SEC_20_YAW_LAUNCH,20,yaw_launch,0,MC_NONE,,,0.550000011920929,,2,1,drive_command_bin,logged_drive_command_bin,0.55,0.8,1000,"[0.55, -0.55]",1,0.55,0.55,0.550000011920929,0.550000011920929,-0.550000011920929,-0.550000011920929,,,56510,57947,101283845,102720845,1.4369999999999998,56511,57510,101284845,102283845,last row of preceding reliable stationary run; rows=373; row_index=56138..56510,first reliable stationary run after active command; rows=396; row_index=57552..57947,reliable_stationary,
ofnis_000029,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,yaw_launch,launch,20,SEC_20_YAW_LAUNCH,20,yaw_launch,0,MC_NONE,,,-0.550000011920929,,2,1,drive_command_bin,logged_drive_command_bin,-0.55,0.8,1000,"[-0.55, 0.55]",1,0.55,0.55,-0.550000011920929,-0.550000011920929,0.550000011920929,0.550000011920929,,,57947,59374,102720845,104147845,1.427,57948,58947,102721845,103720845,last row of preceding reliable stationary run; rows=396; row_index=57552..57947,first reliable stationary run after active command; rows=391; row_index=58984..59374,reliable_stationary,
ofnis_000030,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,yaw_launch,launch,20,SEC_20_YAW_LAUNCH,20,yaw_launch,0,MC_NONE,,,0.550000011920929,,3,1,drive_command_bin,logged_drive_command_bin,0.55,0.8,1000,"[0.55, -0.55]",1,0.55,0.55,0.550000011920929,0.550000011920929,-0.550000011920929,-0.550000011920929,,,59374,60801,104147845,105574845,1.427,59375,60374,104148845,105147845,last row of preceding reliable stationary run; rows=391; row_index=58984..59374,first reliable stationary run after active command; rows=386; row_index=60416..60801,reliable_stationary,
ofnis_000031,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,yaw_launch,launch,20,SEC_20_YAW_LAUNCH,20,yaw_launch,0,MC_NONE,,,-0.550000011920929,,3,1,drive_command_bin,logged_drive_command_bin,-0.55,0.8,1000,"[-0.55, 0.55]",1,0.55,0.55,-0.550000011920929,-0.550000011920929,0.550000011920929,0.550000011920929,,,60801,62222,105574845,106995845,1.421,60802,61801,105575845,106574845,last row of preceding reliable stationary run; rows=386; row_index=60416..60801,first reliable stationary run after active command; rows=383; row_index=61840..62222,reliable_stationary,
ofnis_000032,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,yaw_launch,launch,20,SEC_20_YAW_LAUNCH,20,yaw_launch,0,MC_NONE,,,0.6000000238418579,,1,1,drive_command_bin,logged_drive_command_bin,0.6,0.8,1000,"[0.6, -0.6]",1,0.6,0.6,0.6000000238418579,0.6000000238418579,-0.6000000238418579,-0.6000000238418579,,,62222,63772,106995845,108545845,1.5499999999999998,62223,63222,106996845,107995845,last row of preceding reliable stationary run; rows=383; row_index=61840..62222,first reliable stationary run after active command; rows=414; row_index=63359..63772,reliable_stationary,
