mono_time_us,control_tick_sequence,dt_us,section_id,logger_flags,control_start_us,control_end_us,pwm_latch_us,encoder_latch_us,encoder_read_done_us,ukf_predict_start_us,ukf_predict_end_us,ukf_predict_duration_us,ukf_update_start_us,ukf_update_end_us,ukf_update_duration_us,imu_drdy_us,imu_read_start_us,imu_read_done_us,front_led_on_us,front_adc_on_us,front_led_off_us,front_adc_off_us,front_ready_us,left_led_on_us,left_adc_on_us,left_led_off_us,left_adc_off_us,left_ready_us,right_led_on_us,right_adc_on_us,right_led_off_us,right_adc_off_us,right_ready_us,cycle_counter_start,cycle_counter_end
31957152,49,1007,0,0,31957152,31957945,31957945,31957152,31957153,31957329,31957611,282,31957611,31957900,289,0,31957636,31957656,31957327,31957432,31956470,31957197,31957476,31957476,31957699,31956694,31957284,31957700,31957700,31957774,31956767,31957327,31957774,1994139326,1994615452
31958158,50,1006,0,0,31958158,31958951,31958951,31958158,31958159,31958335,31958617,282,31958617,31958906,289,0,31958642,31958662,31958333,31958438,31957476,31958203,31958482,31958482,31958706,31957700,31958290,31958706,31958706,31958779,31957774,31958333,31958779,1994742906,1995219104
31959164,51,1006,0,0,31959164,31959957,31959957,31959164,31959165,31959341,31959623,282,31959623,31959912,289,0,31959648,31959668,31959340,31959444,31958482,31959209,31959488,31959488,31959712,31958706,31959296,31959712,31959712,31959785,31958779,31959340,31959785,1995346626,1995822580
31960175,52,1011,0,0,31960175,31960968,31960968,31960175,31960176,31960352,31960635,283,31960635,31960923,288,0,31960659,31960679,31960351,31960455,31959488,31960220,31960500,31960500,31960723,31959712,31960307,31960724,31960724,31960797,31959785,31960351,31960797,1995953450,1996428832
31961180,53,1005,0,0,31961180,31961974,31961974,31961180,31961181,31961357,31961640,283,31961640,31961929,289,0,31961665,31961685,31961356,31961461,31960500,31961225,31961505,31961505,31961729,31960724,31961312,31961729,31961729,31961802,31960797,31961356,31961802,1996556350,1997032552
31962186,54,1006,0,0,31962186,31962980,31962980,31962186,31962187,31962363,31962647,284,31962647,31962936,289,0,31962671,31962691,31962362,31962467,31961505,31962231,31962511,31962511,31962735,31961729,31962318,31962735,31962735,31962808,31961802,31962362,31962808,1997160002,1997636488
31963193,55,1007,0,0,31963193,31963987,31963987,31963193,31963194,31963370,31963653,283,31963653,31963942,289,0,31963678,31963698,31963369,31963474,31962511,31963238,31963518,31963518,31963741,31962735,31963325,31963742,31963742,31963816,31962808,31963369,31963816,1997764014,1998240556
31964206,56,1013,0,0,31964206,31964999,31964999,31964206,31964206,31964382,31964665,283,31964665,31964954,289,0,31964690,31964709,31964381,31964486,31963518,31964251,31964530,31964530,31964753,31963742,31964338,31964754,31964754,31964827,31963816,31964381,31964828,1998371614,1998847600
31965212,57,1006,0,0,31965212,31966005,31966005,31965212,31965212,31965388,31965671,283,31965671,31965960,289,0,31965696,31965715,31965387,31965491,31964530,31965257,31965536,31965536,31965759,31964754,31965344,31965760,31965760,31965833,31964828,31965387,31965834,1998975146,1999451248
31966217,58,1005,0,0,31966217,31967011,31967011,31966218,31966218,31966394,31966677,283,31966677,31966966,289,0,31966701,31966721,31966393,31966497,31965536,31966262,31966542,31966542,31966765,31965760,31966349,31966766,31966766,31966839,31965834,31966393,31966839,1999578694,2000054756
