master_time_us,control_tick_sequence,dt_us,section_id,primitive_id,primitive_family,direction_id,phase_id,speed_bin,start_marker_id,mirrored,repeat_index,progress_norm,mode_flags,clipping_flags,saturation_flags,logger_flags,watchdog_flags,measurement_flags,pose_x_m,pose_y_m,pose_yaw_rad,measured_linear_speed_mps,measured_angular_speed_radps,cmd_linear_mps,cmd_angular_radps,left_drive_command,right_drive_command,left_feedforward_command,right_feedforward_command,left_feedback_command,right_feedback_command,left_target_velocity_mps,right_target_velocity_mps,left_launch_assist_floor,right_launch_assist_floor,encoder_timestamp_us,left_encoder_count,right_encoder_count,left_encoder_omega_radps,right_encoder_omega_radps,left_encoder_distance_m,right_encoder_distance_m,left_encoder_velocity_mps,right_encoder_velocity_mps,imu_timestamp_us,imu_status,imu_interrupt_high,accel_bias_valid,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z,imu_temp,gyro_raw_radps,gyro_bias_radps,gyro_radps,accel_body_x_mps2,accel_body_y_mps2,planar_accel_mps2,front_timestamp_us,left_timestamp_us,right_timestamp_us,front_left_obs_class,front_right_obs_class,left_obs_class,right_obs_class,front_left_obs_rho_m,front_right_obs_rho_m,left_obs_rho_m,right_obs_rho_m,front_left_obs_confidence,front_right_obs_confidence,left_obs_confidence,right_obs_confidence,fan_duty_cycle
35964504,3798,1014,1,2,2,0,1,0,0,0,1,0.0,8,0,0,0,0,120,0.22499848902225494,0.2248399406671524,1.5715391635894775,0.0,0.004379998426884413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35964505,0,1,0.0,0.0,0.0,5.872132987860823e-06,0.0,0.0,35965008,3,0,1,10,26,3,-35,57,4107,-7895,0.0036651913542300463,-0.0007148070144467056,0.004379998426884413,-0.2208137810230255,0.01989079639315605,0.22170783579349518,35964828,35965052,35965125,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929
35965513,3799,1009,1,2,2,0,1,0,0,0,1,0.0,8,0,0,0,0,120,0.22499848902225494,0.2248399406671524,1.5715383291244507,0.0,0.019002681598067284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35965513,0,1,0.0,0.0,0.0,5.872132987860823e-06,0.0,0.0,35966016,3,0,1,17,101,15,-56,6,4136,-7895,0.018325956538319588,-0.0006767255254089832,0.019002681598067284,-0.2705209255218506,-0.1019388735294342,0.2890901267528534,35965837,35966061,35966135,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929
35966527,3800,1014,1,2,2,0,1,0,0,0,1,0.0,8,0,0,0,0,120,0.22499848902225494,0.2248399406671524,1.5715380907058716,0.0,0.023841826245188713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35966528,0,1,0.0,0.0,0.0,5.872132987860823e-06,0.0,0.0,35967032,3,0,1,23,96,19,12,-20,3995,-7895,0.02321287989616394,-0.0006289463490247726,0.023841826245188713,-0.1075933650135994,-0.1638239473104477,0.1959964781999588,35966852,35967076,35967150,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929
35967537,3801,1010,1,2,2,0,1,0,0,0,1,0.0,8,0,0,0,0,120,0.22499848902225494,0.2248399406671524,1.5715391635894775,0.0,0.012820558622479439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35967538,0,1,0.0,0.0,0.0,5.872132987860823e-06,0.0,0.0,35968041,3,0,1,-1,55,10,116,12,3766,-7895,0.012217304669320583,-0.0006032538367435336,0.012820558622479439,0.140977680683136,-0.08707913011312485,0.16570298373699188,35967862,35968086,35968160,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929
35968552,3802,1015,1,2,2,0,1,0,0,0,1,0.0,8,0,0,0,0,120,0.22499848902225494,0.2248399406671524,1.571541428565979,0.0,-0.018906544893980026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35968553,0,1,0.0,0.0,0.0,5.872132987860823e-06,0.0,0.0,35969057,3,0,1,-17,-35,-16,171,80,3615,-7895,-0.019547687843441963,-0.0006411427166312933,-0.018906544893980026,0.2720377445220947,0.07548153400421143,0.2823154032230377,35968877,35969101,35969175,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929
35969562,3803,1010,1,2,2,0,1,0,0,0,1,0.0,8,0,0,0,0,120,0.22499848902225494,0.2248399406671524,1.571542501449585,0.0,-0.02990211918950081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35969563,0,1,0.0,0.0,0.0,5.872132987860823e-06,0.0,0.0,35970066,3,0,1,1,-106,-25,144,120,3667,-7895,-0.030543262138962746,-0.0006411427166312933,-0.02990211918950081,0.2070166915655136,0.17085206508636475,0.2684144973754883,35969886,35970110,35970183,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929
35970571,3804,1009,1,2,2,0,1,0,0,0,1,0.0,8,0,0,0,0,120,0.22499848902225494,0.2248399406671524,1.571541428565979,0.0,-0.01886873133480549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35970571,0,1,0.0,0.0,0.0,5.872132987860823e-06,0.0,0.0,35971074,3,0,1,4,-72,-16,59,103,3882,-7895,-0.019547687843441963,-0.0006789558101445436,-0.01886873133480549,0.00361947831697762,0.12991371750831604,0.12996412813663483,35970895,35971119,35971192,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929
35971585,3805,1014,1,2,2,0,1,0,0,0,1,0.0,8,0,0,0,0,120,0.22499848902225494,0.2248399406671524,1.571539282798767,0.0,0.0031161720398813486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35971586,0,1,0.0,0.0,0.0,5.872132987860823e-06,0.0,0.0,35972089,3,0,1,8,15,2,-29,57,4091,-7895,0.0024434609804302454,-0.0006727110012434423,0.0031161720398813486,-0.20653502643108368,0.019804177805781364,0.20748235285282135,35971910,35972134,35972208,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929
35972595,3806,1010,1,2,2,0,1,0,0,0,1,0.0,8,0,0,0,0,120,0.22499848902225494,0.2248399406671524,1.5715382099151611,0.0,0.01896066963672638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35972595,0,1,0.0,0.0,0.0,5.872132987860823e-06,0.0,0.0,35973099,3,0,1,20,96,15,-61,3,4137,-7895,0.018325956538319588,-0.0006347136804834008,0.01896066963672638,-0.28253912925720215,-0.10918942838907242,0.30290377140045166,35972919,35973143,35973217,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929
35973610,3807,1015,1,2,2,0,1,0,0,0,1,0.0,8,0,0,0,0,120,0.22499848902225494,0.2248399406671524,1.571537733078003,0.0,0.023799898102879524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35973611,0,1,0.0,0.0,0.0,5.872132987860823e-06,0.0,0.0,35974115,3,0,1,29,98,19,0,-27,4011,-7895,0.02321287989616394,-0.0005870184977538884,0.023799898102879524,-0.13630379736423492,-0.18061217665672302,0.22627303004264832,35973935,35974159,35974233,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929
