run_id,family,schema,path,input_rows,normalized_rows,kept_rows,dropped_tail_rows,bias_radps,bias_rows,extracted_samples,sampled_rows_written,max_abs_forward_mps,max_abs_yaw_radps,max_vbar_rel_mps,max_force_utilization,saturated_rows,limiter_active_rows,cutoff_reason,cutoff_tick,cutoff_time_us,limitation
2026-04-20_11-47-47,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-20_11-47-47\open_floor_main.csv,82269,82269,82269,0,-0.000000000,81666,31403,1248,0.135059051,0.355523586,0.026298378,0.308735130,0,0,kept through final sensor-active row,,,
2026-04-20_12-10-58,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-20_12-10-58\open_floor_main.csv,86556,86556,86556,0,-0.002443461,15020,71739,2925,0.692911655,21.932504801,1.217967709,8.964983453,2870,30931,kept through final sensor-active row,,,
2026-04-20_23-05-07,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-20_23-05-07\open_floor_main.csv,39325,39325,39325,0,-0.003665191,34533,7594,331,0.229013175,1.287703889,0.104625556,0.699731457,0,0,kept through final sensor-active row,,,
2026-04-21_00-16-10,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-21_00-16-10\open_floor_main.csv,109329,109329,109329,0,-0.008552114,15074,95630,3757,1.177362621,18.228219548,1.018928609,7.474677379,2403,51198,kept through final sensor-active row,,,
2026-04-21_01-09-34,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-21_01-09-34\open_floor_main.csv,101013,101013,101013,0,-0.006108652,15074,85605,3296,0.739888728,17.959437739,1.012351463,7.277071892,1562,25264,kept through final sensor-active row,,,
2026-04-21_02-46-49,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-21_02-46-49\open_floor_main.csv,84984,84984,84984,0,-0.003665191,15074,69670,2746,0.610701799,18.292969925,1.049488427,7.413777003,2377,16850,kept through final sensor-active row,,,
2026-04-21_04-14-05,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-21_04-14-05\open_floor_main.csv,78953,78953,78953,0,-0.003665191,15074,63652,2593,0.604829669,17.993645889,1.001705500,7.290030147,1708,14931,kept through final sensor-active row,,,
2026-04-21_05-32-06,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-21_05-32-06\open_floor_main.csv,234369,234369,234369,0,-0.006108652,15074,220266,8880,0.607765734,9.246055971,0.788703781,4.412037605,2315,25903,kept through final sensor-active row,,,
2026-04-21_05-59-46,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-21_05-59-46\open_floor_main.csv,100419,100419,100419,0,-0.004886922,15075,85122,3521,0.604829669,10.223440465,0.834108702,4.776318075,2256,23102,kept through final sensor-active row,,,
2026-04-21_23-39-12,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-21_23-39-12\open_floor_main.csv,41476,41476,41476,0,-0.006108652,15023,26423,1077,0.552182424,2.348165859,0.600392274,2.211481600,0,2738,kept through final sensor-active row,,,
2026-04-22_01-06-32,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-22_01-06-32\open_floor_main.csv,41476,41476,41476,0,-0.006108652,15023,26423,1031,0.552182424,2.348165859,0.600392274,2.211481600,0,2738,kept through final sensor-active row,,,
2026-04-22_12-10-34,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-04-22_12-10-34\open_floor_main.csv,68965,68965,68965,0,-0.004886922,15039,53853,2187,0.604829669,1.320690569,0.080860105,1.119712869,0,48,kept through final sensor-active row,,,
2026-05-04_16-57-53,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-05-04_16-57-53\open_floor_main.csv,208375,208375,208375,0,-0.000000000,166670,44152,1761,0.352327943,2.080606937,0.092467048,1.029325309,0,2,kept through final sensor-active row,,,
2026-05-04_20-35-47,open_floor,decoded_open_floor_main,TestResults\mmlog_decode_2026-05-04_20-35-47\open_floor_main.csv,145644,145644,145644,0,-0.000000000,58006,88784,3456,0.320031226,9.345016479,0.186923478,3.836156089,0,14612,kept through final sensor-active row,,,
UncertaintyTestLog,uncertainty_open_floor,decoded_open_floor_main,TestResults\UncertaintyTestLog\open_floor_main.csv,10475,10475,10475,0,-0.001221730,10278,184,5,0.228311718,1.809382842,0.119968078,1.931491924,8,10,kept through final sensor-active row,,,
diag000,competition_diag,legacy_competition,TestResults\Competition Testing Data\diag000.csv,78068,78068,77274,794,-0.001222000,10033,66528,2660,0.653227000,8.706051000,0.833176234,4.779763148,0,29089,dropped final sensor-quiescent/invalid tail >= 0.25 s,77274,144632384,legacy competition schema: wheel omega derived from encoder velocity/current radius; saturation/watchdog fields unavailable; fan duty from metadata/default; pose fields ignored
diag001,competition_diag,legacy_competition,TestResults\Competition Testing Data\diag001.csv,81413,81413,80609,804,0.003665000,10409,69508,2868,0.625455500,13.600304000,0.958401899,5.629567618,0,29740,dropped final sensor-quiescent/invalid tail >= 0.25 s,80609,147051811,legacy competition schema: wheel omega derived from encoder velocity/current radius; saturation/watchdog fields unavailable; fan duty from metadata/default; pose fields ignored
