vbar_rel_bin_mps,vbar_lat_bin_mps,vbar_yaw_bin_mps,yaw_rate_bin_radps,count,run_count,families,mean_residual_additive_yaw_torque_nm,median_residual_additive_yaw_torque_nm,trimmed_mean_residual_additive_yaw_torque_nm,rmse_residual_additive_yaw_torque_nm,mad_residual_additive_yaw_torque_nm,iqr_residual_additive_yaw_torque_nm,mean_opposing_yaw_resistance_nm,median_opposing_yaw_resistance_nm,trimmed_mean_opposing_yaw_resistance_nm,mean_vbar_rel_mps,mean_vbar_lat_mps,mean_vbar_yaw_mps,mean_max_force_preprojection_utilization,limiter_active_fraction,hardware_saturation_fraction
0.10,0.00,0.05,-1.50,5938,36,competition_aux;competition_diag;open_floor;uncertainty_open_floor,-0.058989519,-0.089990056,-0.066869367,0.090091358,0.030389959,0.104800982,-0.058989519,-0.089990056,-0.066869367,0.107296865,0.020881337,0.063443069,1.206620105,0.791343887,0.081677332
0.10,0.00,0.05,0.50,3231,38,competition_aux;competition_diag;open_floor,0.031089478,0.030804278,0.031950768,0.074131937,0.048902961,0.097888873,-0.031089478,-0.030804278,-0.031950768,0.097111076,0.009563093,0.029055225,1.124735531,0.582791705,0.185391520
0.10,0.00,0.05,1.00,9948,38,competition_aux;competition_diag;open_floor,0.059599124,0.075851429,0.066046122,0.088598653,0.042435070,0.097747421,-0.059599124,-0.075851429,-0.066046122,0.094576754,0.014748832,0.044810882,1.144109900,0.678829916,0.101025332
0.10,0.00,0.05,1.50,5246,36,competition_aux;competition_diag;open_floor,0.047473412,0.053689389,0.051820159,0.083453487,0.058262681,0.118941800,-0.047473412,-0.053689389,-0.051820159,0.105050871,0.021003136,0.063813125,1.209499742,0.755051468,0.087685856
0.10,0.00,0.10,-1.50,131,25,competition_aux;competition_diag;open_floor,-0.007275244,-0.002699784,-0.003873194,0.060450388,0.046414688,0.093268318,-0.007275244,-0.002699784,-0.003873194,0.098388441,0.024837510,0.075462976,1.312271564,0.801526718,0.175572519
0.10,0.00,0.10,1.50,149,27,competition_aux;competition_diag;open_floor,0.003477450,-0.003724467,0.001332588,0.051526842,0.037776148,0.070485347,-0.003477450,0.003724467,-0.001332588,0.099969170,0.024848731,0.075497069,1.265894648,0.791946309,0.147651007
0.10,0.05,0.10,-1.50,367,31,competition_aux;competition_diag;open_floor,-0.002000849,-0.005831715,-0.000795635,0.052946172,0.039091621,0.079347866,-0.002000849,-0.005831715,-0.000795635,0.098359691,0.025406386,0.077191373,1.298002684,0.782016349,0.182561308
0.10,0.05,0.10,-2.00,3292,32,competition_aux;competition_diag;open_floor;uncertainty_open_floor,-0.003446967,0.000311797,-0.001443202,0.055472737,0.043709269,0.087848849,-0.003446967,0.000311797,-0.001443202,0.099283050,0.029636635,0.090043998,1.382289082,0.839611179,0.223268530
0.10,0.05,0.10,-2.50,3895,25,competition_aux;open_floor,-0.022391196,-0.024123157,-0.021865724,0.062318471,0.049280246,0.099472824,-0.022391196,-0.024123157,-0.021865724,0.099732086,0.036973170,0.112334347,1.533229972,0.979717587,0.220282413
0.10,0.05,0.10,-3.00,324,18,competition_aux;open_floor,-0.032522344,-0.040413403,-0.032751334,0.064012244,0.044478049,0.092519938,-0.032522344,-0.040413403,-0.032751334,0.097654530,0.040853808,0.124124760,1.593625679,1.000000000,0.160493827
0.10,0.05,0.10,1.50,346,29,competition_aux;competition_diag;open_floor,-0.007382324,-0.012070267,-0.009947880,0.053182805,0.037578698,0.076226046,0.007382324,0.012070267,0.009947880,0.098528177,0.025400763,0.077174288,1.228959697,0.768786127,0.210982659
0.10,0.05,0.10,2.00,3266,34,competition_aux;competition_diag;open_floor,-0.003021482,-0.009812618,-0.006044953,0.054009855,0.042328970,0.086281399,0.003021482,0.009812618,0.006044953,0.100311301,0.029660972,0.090117940,1.346532893,0.874464176,0.192896509
0.10,0.05,0.10,2.50,3851,26,competition_aux;open_floor,0.020679173,0.019178822,0.019464419,0.062450923,0.052103811,0.104180689,-0.020679173,-0.019178822,-0.019464419,0.099300450,0.037001860,0.112421513,1.515628514,0.983640613,0.162295508
0.10,0.05,0.10,3.00,352,19,competition_aux;open_floor,0.029938401,0.035704601,0.030752695,0.065834150,0.049517652,0.100703770,-0.029938401,-0.035704601,-0.030752695,0.097754617,0.040860874,0.124146227,1.627768365,1.000000000,0.150568182
0.10,0.05,0.15,-3.00,3621,20,competition_aux;open_floor,-0.041382228,-0.052641085,-0.042883539,0.071819668,0.047089590,0.101000974,-0.041382228,-0.052641085,-0.042883539,0.098474792,0.044450602,0.135052778,1.713050839,1.000000000,0.199116266
0.10,0.05,0.15,-3.50,2412,22,competition_aux;open_floor,-0.043250953,-0.050515326,-0.044746113,0.070212859,0.047379893,0.097467312,-0.043250953,-0.050515326,-0.044746113,0.097402775,0.051229512,0.155648913,1.856020080,1.000000000,0.172470978
0.10,0.05,0.15,-4.00,490,19,competition_aux;open_floor,-0.022209620,-0.007727410,-0.018944253,0.053409572,0.030629062,0.075439656,-0.022209620,-0.007727410,-0.018944253,0.098283287,0.056407661,0.171381512,1.910484309,1.000000000,0.093877551
0.10,0.05,0.15,3.00,3764,23,competition_aux;open_floor,0.039448121,0.047405446,0.040552834,0.072238371,0.053541580,0.112601187,-0.039448121,-0.047405446,-0.040552834,0.097986481,0.044554258,0.135367711,1.682026872,1.000000000,0.145324123
0.10,0.05,0.15,3.50,2892,23,competition_aux;open_floor,0.036984714,0.039461582,0.036851868,0.069311656,0.054278507,0.108842891,-0.036984714,-0.039461582,-0.036851868,0.097685549,0.051166494,0.155457447,1.848580936,1.000000000,0.159059474
0.10,0.05,0.15,4.00,465,21,competition_aux;open_floor,0.022387531,0.008038545,0.018374843,0.056921984,0.035512508,0.079715604,-0.022387531,-0.008038545,-0.018374843,0.098398557,0.056335647,0.171162713,1.915496575,1.000000000,0.148387097
0.10,0.05,0.20,-4.00,1004,20,competition_aux;open_floor,-0.007212383,0.002404560,-0.002565469,0.037736237,0.016282248,0.035308604,-0.007212383,0.002404560,-0.002565469,0.098077560,0.060210341,0.182935067,1.922348170,1.000000000,0.068725100
0.10,0.05,0.20,-4.50,1997,19,competition_aux;open_floor,-0.002587298,0.000059971,-0.000455031,0.024988956,0.013511884,0.027192879,-0.002587298,0.000059971,-0.000455031,0.092866060,0.066425259,0.201817644,2.013016674,1.000000000,0.023034552
0.10,0.05,0.20,-5.00,965,19,competition_aux;open_floor,-0.011339449,-0.008669317,-0.010099758,0.025848155,0.013811706,0.027966423,-0.011339449,-0.008669317,-0.010099758,0.089195343,0.072130800,0.219152597,2.119567944,1.000000000,0.018652850
0.10,0.05,0.20,4.00,686,20,competition_aux;open_floor,0.016632865,0.007689913,0.013175608,0.046121870,0.028325608,0.059591930,-0.016632865,-0.007689913,-0.013175608,0.098538628,0.059970466,0.182206263,1.984412050,1.000000000,0.106413994
0.10,0.05,0.20,4.50,1012,19,open_floor,0.013881516,0.006994594,0.011880506,0.037761889,0.023360290,0.050307414,-0.013881516,-0.006994594,-0.011880506,0.098261330,0.066508930,0.202071858,2.099066010,1.000000000,0.060276680
0.10,0.05,0.20,5.00,642,18,open_floor,0.017432203,0.014047133,0.015945152,0.032313136,0.017438939,0.036369257,-0.017432203,-0.014047133,-0.015945152,0.091331121,0.072242626,0.219492357,2.184979948,1.000000000,0.037383178
0.10,0.05,0.25,-5.00,256,16,competition_aux;open_floor,-0.012951595,-0.011092871,-0.012242985,0.026309015,0.014892706,0.029117170,-0.012951595,-0.011092871,-0.012242985,0.088952981,0.074539153,0.226469817,2.177477916,1.000000000,0.023437500
0.10,0.05,0.25,5.00,239,16,open_floor,0.008043206,0.006581871,0.007113893,0.026331483,0.012243003,0.024151106,-0.008043206,-0.006581871,-0.007113893,0.087157163,0.074555509,0.226519512,2.219255969,1.000000000,0.012552301
0.10,0.10,0.25,-5.00,728,20,competition_aux;open_floor,-0.011848135,-0.010938291,-0.011163142,0.026383048,0.012395743,0.024698001,-0.011848135,-0.010938291,-0.011163142,0.090454674,0.076224442,0.231590173,2.215148027,1.000000000,0.020604396
0.10,0.10,0.25,-5.50,1801,18,competition_aux;open_floor,-0.011577536,-0.010822421,-0.011076837,0.023554953,0.012103916,0.024187839,-0.011577536,-0.010822421,-0.011076837,0.094385911,0.080850428,0.245645153,2.336566740,1.000000000,0.020544142
0.10,0.10,0.25,-6.00,1077,12,open_floor,-0.010980958,-0.011298371,-0.010832402,0.022558286,0.011759511,0.023761442,-0.010980958,-0.011298371,-0.010832402,0.099402351,0.087440135,0.265666440,2.509116307,1.000000000,0.019498607
0.10,0.10,0.25,5.00,687,16,open_floor,0.009802106,0.006955234,0.008244779,0.024819981,0.013137325,0.027694545,-0.009802106,-0.006955234,-0.008244779,0.085820589,0.076149569,0.231362688,2.256816177,1.000000000,0.021834061
0.10,0.10,0.25,5.50,1868,17,open_floor,0.013055630,0.011265422,0.012380283,0.026001471,0.014578930,0.029316465,-0.013055630,-0.011265422,-0.012380283,0.089772263,0.081176182,0.246634880,2.372160761,1.000000000,0.017665953
0.10,0.10,0.25,6.00,1495,17,open_floor,0.016143513,0.015211003,0.015653806,0.025480433,0.013218777,0.026255900,-0.016143513,-0.015211003,-0.015653806,0.094333663,0.087531762,0.265944826,2.518849212,1.000000000,0.006688963
0.10,0.10,0.30,-6.00,239,13,open_floor,-0.014503213,-0.012834136,-0.014012306,0.025523865,0.013288966,0.025416646,-0.014503213,-0.012834136,-0.014012306,0.100041669,0.091328093,0.277479091,2.610828467,1.000000000,0.016736402
0.10,0.10,0.30,-6.50,1063,14,open_floor,-0.015862755,-0.014911684,-0.015551722,0.024956603,0.011729201,0.023654096,-0.015862755,-0.014911684,-0.015551722,0.105251006,0.095716668,0.290812753,2.720377833,1.000000000,0.019755409
0.10,0.10,0.30,-7.00,891,15,open_floor,-0.019855779,-0.019584163,-0.019732782,0.026771551,0.011856047,0.023857324,-0.019855779,-0.019584163,-0.019732782,0.112134984,0.103311889,0.313889057,2.905880805,1.000000000,0.020202020
0.10,0.10,0.30,6.00,456,15,open_floor,0.019616986,0.019251285,0.019430590,0.026871705,0.012476077,0.025084790,-0.019616986,-0.019251285,-0.019430590,0.096979442,0.091365007,0.277591246,2.606920258,1.000000000,0.004385965
0.10,0.10,0.30,6.50,2566,14,open_floor,0.020828499,0.020549825,0.020792318,0.027737933,0.012869223,0.025790228,-0.020828499,-0.020549825,-0.020792318,0.101006705,0.095880124,0.291309376,2.708821266,1.000000000,0.003117693
0.10,0.10,0.30,7.00,1925,15,open_floor,0.022873739,0.022360135,0.022817511,0.029008770,0.012072900,0.023972857,-0.022873739,-0.022360135,-0.022817511,0.108284067,0.103101982,0.313251305,2.903308630,1.000000000,0.007272727
0.10,0.10,0.35,-7.50,713,15,open_floor,-0.022820017,-0.023442495,-0.023080585,0.029154924,0.012075371,0.023974048,-0.022820017,-0.023442495,-0.023080585,0.116093891,0.110673544,0.336255728,3.086747870,1.000000000,0.025245442
0.10,0.10,0.35,-8.00,405,13,open_floor,-0.023691651,-0.023094924,-0.023579309,0.029246553,0.010570095,0.021084589,-0.023691651,-0.023094924,-0.023579309,0.119802098,0.117489414,0.356964158,3.262648660,1.000000000,0.017283951
0.10,0.10,0.35,7.50,1342,15,open_floor,0.023487079,0.023080004,0.023294019,0.029278398,0.011918797,0.023897317,-0.023487079,-0.023080004,-0.023294019,0.114624486,0.110203308,0.334827028,3.100976583,1.000000000,0.005216095
0.10,0.10,0.35,8.00,1154,16,open_floor,0.026074374,0.026029896,0.025978661,0.031212275,0.011393464,0.022813995,-0.026074374,-0.026029896,-0.025978661,0.120311491,0.118096601,0.358808953,3.305206852,1.000000000,0.005199307
0.10,0.10,0.35,8.50,159,11,open_floor,0.028905155,0.030023003,0.029067557,0.033472641,0.012011097,0.023307456,-0.028905155,-0.030023003,-0.029067557,0.123517545,0.122507152,0.372209383,3.418622773,1.000000000,0.000000000
0.10,0.10,0.40,8.50,92,8,open_floor,0.028556446,0.028117948,0.028553261,0.032071908,0.009191226,0.017467826,-0.028556446,-0.028117948,-0.028553261,0.124367225,0.124103237,0.377058717,3.476549867,1.000000000,0.000000000
