family,section_id,phase_id,primitive_id,speed_bin,count,run_count,families,mean_residual_additive_yaw_torque_nm,median_residual_additive_yaw_torque_nm,trimmed_mean_residual_additive_yaw_torque_nm,rmse_residual_additive_yaw_torque_nm,mad_residual_additive_yaw_torque_nm,iqr_residual_additive_yaw_torque_nm,mean_opposing_yaw_resistance_nm,median_opposing_yaw_resistance_nm,trimmed_mean_opposing_yaw_resistance_nm,mean_vbar_rel_mps,mean_vbar_lat_mps,mean_vbar_yaw_mps,mean_max_force_preprojection_utilization,limiter_active_fraction,hardware_saturation_fraction
competition_aux,,29,,,9136,7,competition_aux,-0.030094392,-0.017934625,-0.025005189,0.052226302,0.019510196,0.049358436,-0.031564189,-0.018825585,-0.026231331,0.073791185,0.013439167,0.040831771,0.740501122,0.210267075,0.000000000
competition_aux,,3,,,13407,12,competition_aux,-0.036055235,-0.018859575,-0.030850501,0.058478461,0.019833694,0.057795738,-0.035814509,-0.018523383,-0.030772925,0.080742712,0.013801185,0.041931679,0.752143814,0.201984038,0.000000000
competition_aux,,30,,,1688,6,competition_aux,0.000918545,0.000357231,0.001014709,0.010948951,0.002739369,0.005638655,-0.001046252,-0.000518861,-0.000716786,0.005855391,0.000930416,0.002826853,0.244903311,0.002962085,0.000000000
competition_aux,,31,,,6041,6,competition_aux,-0.078395857,-0.098955566,-0.080705982,0.090856277,0.019498849,0.083393622,-0.037323737,-0.038558585,-0.044064690,0.245244672,0.016606875,0.050456113,1.408360892,0.667604701,0.000000000
competition_aux,,34,,,4462,5,competition_aux,0.001624353,0.000786447,0.001189468,0.015704878,0.009621290,0.019284384,-0.007966233,-0.006957783,-0.007542040,0.011325741,0.001837132,0.005581696,0.215391175,0.000000000,0.000000000
competition_aux,,35,,,2780,5,competition_aux,-0.093279274,-0.106672333,-0.099259022,0.099775818,0.011518206,0.031696541,-0.090573150,-0.106512046,-0.098270664,0.143452025,0.024509721,0.074467065,1.324315598,0.771223022,0.000000000
competition_aux,,36,,,7576,5,competition_aux,-0.004165149,0.002433146,-0.001118565,0.034030323,0.019659253,0.041961634,-0.016668529,-0.015606800,-0.014542424,0.017863926,0.003086802,0.009378527,0.503813113,0.149155227,0.000000000
competition_aux,,37,,,5996,5,competition_aux,-0.009733932,-0.005038351,-0.011158701,0.039801041,0.014335056,0.033117869,-0.006768989,-0.004008043,-0.006496126,0.019507482,0.003416025,0.010378795,0.606701069,0.254169446,0.000000000
competition_aux,,38,,,1009,4,competition_aux,-0.000286341,-0.000319064,-0.000397385,0.005705223,0.003389138,0.006579815,-0.001105842,-0.000668769,-0.000979428,0.006097093,0.000921261,0.002799038,0.304333761,0.000000000,0.000000000
competition_aux,,39,,,3473,4,competition_aux,0.017666820,0.020574393,0.021384997,0.072895294,0.040570169,0.091904688,-0.054678508,-0.042665547,-0.053506386,0.203028700,0.034876953,0.105965479,1.515384484,0.381514541,0.000000000
competition_aux,,4,,,3122,12,competition_aux,-0.000314299,-0.000244908,-0.000309680,0.005723901,0.002754552,0.005506371,-0.000613813,-0.000501253,-0.000576074,0.005723214,0.000831611,0.002526656,0.245396625,0.000320307,0.000000000
competition_aux,,40,,,12587,4,competition_aux,0.020876172,0.008927250,0.016994378,0.050318871,0.020679778,0.047923362,-0.024793320,-0.014008784,-0.021243130,0.050892943,0.009067190,0.027548541,0.717691247,0.284420434,0.000000000
competition_aux,,41,,,6972,4,competition_aux,-0.049633502,-0.045176705,-0.051340269,0.072658772,0.046776967,0.096707822,-0.003517938,-0.006915797,-0.003471011,0.186470005,0.008015045,0.024351843,0.764445469,0.415519220,0.000000000
competition_aux,,42,,,693,3,competition_aux,-0.000047850,-0.000574155,-0.000199345,0.008417777,0.003134888,0.006391253,-0.002583630,-0.001172987,-0.001722260,0.011825773,0.001838821,0.005586829,0.278668326,0.000000000,0.000000000
competition_aux,,43,,,4829,3,competition_aux,-0.071285367,-0.096339809,-0.075055776,0.087476638,0.019969324,0.090855618,-0.015235093,-0.009655367,-0.017197659,0.256522784,0.008760867,0.026617849,1.222784784,0.693311245,0.000000000
competition_aux,,44,,,486,2,competition_aux,-0.000486028,-0.000316063,-0.000353438,0.006688071,0.002892517,0.005685247,-0.000550623,-0.000424727,-0.000516400,0.006436979,0.000937253,0.002847623,0.291830117,0.000000000,0.000000000
competition_aux,,45,,,1381,2,competition_aux,-0.032362464,-0.016948279,-0.025422938,0.052682779,0.013968968,0.036858189,-0.031280047,-0.016234814,-0.024684479,0.113667258,0.019418204,0.058997681,0.885995398,0.190441709,0.000000000
competition_aux,,48,,,1835,2,competition_aux,-0.005536115,-0.004556784,-0.005284565,0.017492293,0.009140920,0.018337331,-0.008383929,-0.006249702,-0.007498716,0.016070046,0.002636222,0.008009544,0.360990037,0.038692098,0.000000000
competition_aux,,49,,,1139,2,competition_aux,0.014343408,0.000509117,0.010282938,0.045090151,0.007100157,0.023302474,-0.019660362,-0.002297816,-0.013275714,0.033716101,0.005206872,0.015819866,0.459971567,0.136962248,0.000000000
competition_aux,,5,,,7801,12,competition_aux,-0.062103546,-0.048558649,-0.060600302,0.074604143,0.028126898,0.073754219,-0.060658980,-0.048268606,-0.060165520,0.125679381,0.021461303,0.065205159,1.139015824,0.328803999,0.000000000
competition_aux,,50,,,441,2,competition_aux,-0.000412059,-0.000795152,-0.000651816,0.005447472,0.002640984,0.005183466,-0.001354146,-0.000975262,-0.001084865,0.006059542,0.000881412,0.002677965,0.299708866,0.000000000,0.000000000
competition_aux,,51,,,2105,2,competition_aux,0.052714995,0.040967502,0.047501385,0.063392046,0.013544694,0.038705387,-0.049172553,-0.040922913,-0.047220150,0.152030774,0.026021997,0.079061764,1.253514842,0.240380048,0.000000000
competition_aux,,52,,,2108,2,competition_aux,0.005757970,0.000746948,0.003392175,0.036242097,0.020371270,0.041028720,-0.022564585,-0.018737835,-0.020392756,0.028002624,0.004850958,0.014738504,0.486860369,0.084440228,0.000000000
competition_aux,,53,,,763,2,competition_aux,0.001076163,-0.000934973,-0.001536793,0.032062277,0.004814053,0.009297776,-0.004738258,-0.000984394,-0.002917182,0.017473856,0.002852510,0.008666684,0.268602826,0.009174312,0.000000000
competition_aux,,54,,,518,2,competition_aux,-0.000962179,-0.000825965,-0.000832154,0.004695819,0.002084632,0.004158536,-0.001099824,-0.000554655,-0.000804016,0.005993978,0.000978048,0.002971572,0.307201374,0.000000000,0.000000000
competition_aux,,55,,,1692,2,competition_aux,-0.024271586,-0.012530350,-0.017815737,0.049353301,0.013290688,0.033545012,-0.024108256,-0.009838065,-0.017921058,0.104977493,0.017537560,0.053283783,0.864954728,0.237588652,0.000000000
competition_aux,,56,,,447,2,competition_aux,-0.001222379,-0.001671394,-0.001529359,0.006327753,0.002830850,0.005639816,-0.001751516,-0.001266597,-0.001496683,0.007426773,0.001216285,0.003695397,0.305909191,0.000000000,0.000000000
competition_aux,,57,,,796,2,competition_aux,-0.051832517,-0.038617301,-0.048412107,0.071494564,0.027971793,0.068145293,-0.051573567,-0.038579039,-0.048209768,0.212869645,0.036118474,0.109737552,1.539061625,0.349246231,0.000000000
competition_aux,,6,,,203,7,competition_aux,-0.007314930,-0.006471107,-0.007530645,0.012679678,0.008428341,0.016030646,0.009115763,0.008561337,0.008969042,0.023913553,0.004491638,0.013646793,0.206798222,0.000000000,0.000000000
competition_aux,,60,,,1606,2,competition_aux,0.000668971,0.000557554,0.000670092,0.029045076,0.006814239,0.013538602,-0.003026671,-0.002326632,-0.002625820,0.011727505,0.001659122,0.005040856,0.235422069,0.001245330,0.000000000
competition_aux,,61,,,3968,2,competition_aux,-0.051781836,-0.054930129,-0.052500612,0.057430793,0.007724499,0.015217562,-0.012009034,-0.038212075,-0.013047110,0.046425308,0.003041695,0.009241479,1.214283119,0.677671371,0.000000000
competition_aux,,62,,,10837,2,competition_aux,-0.006434817,-0.000186027,-0.001598670,0.024613525,0.003084305,0.007236468,-0.003527800,-0.000321068,-0.002564571,0.052332595,0.002655165,0.008067098,1.270352834,0.794038941,0.000000000
competition_aux,,8,,,18564,12,competition_aux,0.000676410,0.001325204,0.001216526,0.012587603,0.006621734,0.013265141,-0.003469639,-0.002632470,-0.002956594,0.008831123,0.001335244,0.004056826,0.213432875,0.005763844,0.000000000
competition_aux,,9,,,10986,12,competition_aux,0.006890835,0.001847624,0.005142034,0.021728456,0.005192400,0.014823001,-0.006969348,-0.001983967,-0.005163210,0.007127561,0.001227537,0.003729584,0.220877402,0.007737120,0.000000000
competition_diag,,1,,,364,2,competition_diag,-0.001583766,-0.002479370,-0.002000694,0.007087986,0.003706530,0.007635724,-0.004360727,-0.004358710,-0.004334065,0.007944411,0.002559954,0.007777822,0.083837197,0.000000000,0.000000000
competition_diag,,10,,,672,3,competition_diag,-0.000041175,0.002697683,0.001633330,0.045522496,0.010592202,0.021233752,-0.023489314,-0.008347069,-0.022758011,0.014760662,0.002716433,0.008253248,0.473531404,0.005952381,0.000000000
competition_diag,,100,,,3913,3,competition_diag,-0.014502389,-0.045893304,-0.017941006,0.095475963,0.072950651,0.196039139,-0.090644349,-0.102181524,-0.093829074,0.140209320,0.024438102,0.074249467,1.342035107,0.512905699,0.000000000
competition_diag,,101,,,1380,3,competition_diag,-0.032254017,-0.025404954,-0.030375830,0.043936244,0.021118519,0.049164337,-0.029350232,-0.024515097,-0.028470820,0.022483404,0.003875390,0.011774468,0.430829491,0.005072464,0.000000000
competition_diag,,102,,,2310,3,competition_diag,-0.023733371,0.004779115,-0.022974474,0.073869511,0.053747678,0.132466966,-0.059506168,-0.055109082,-0.059147688,0.162571938,0.028072584,0.085291994,1.326911518,0.336363636,0.000000000
competition_diag,,103,,,2166,3,competition_diag,-0.088870199,-0.100738476,-0.092932775,0.095319272,0.018563013,0.049164840,-0.088523475,-0.100738476,-0.092858968,0.166067721,0.028622414,0.086962522,1.445604072,0.574792244,0.000000000
competition_diag,,104,,,2528,3,competition_diag,-0.026680931,-0.019711150,-0.025165038,0.040437239,0.021965723,0.051761950,-0.026768249,-0.019595037,-0.025502567,0.022706663,0.003838020,0.011660929,0.444269183,0.009889241,0.000000000
competition_diag,,105,,,2671,3,competition_diag,-0.018009293,-0.055404274,-0.021323455,0.099296145,0.060220654,0.201251084,-0.094329394,-0.103203319,-0.096061317,0.263843522,0.045436920,0.138049475,2.018508576,0.679895170,0.000000000
competition_diag,,106,,,1320,3,competition_diag,-0.026021569,-0.015009160,-0.024200123,0.043526811,0.022697053,0.063508412,-0.026619218,-0.016711650,-0.025423487,0.027349435,0.004669021,0.014185730,0.483143027,0.015151515,0.000000000
competition_diag,,107,,,2250,3,competition_diag,-0.041307354,-0.046234988,-0.044140993,0.074585462,0.053541258,0.106884251,-0.058038349,-0.060172641,-0.058083179,0.172058511,0.029554388,0.089794108,1.388225136,0.353333333,0.000000000
competition_diag,,108,,,1570,3,competition_diag,-0.085856322,-0.100474370,-0.089256536,0.094623038,0.020359690,0.058740122,-0.086082532,-0.100474370,-0.089256536,0.230659750,0.039572438,0.120231615,1.755351257,0.643312102,0.000000000
competition_diag,,109,,,2604,3,competition_diag,-0.065546184,-0.077973724,-0.068120562,0.082046723,0.036874946,0.094719655,-0.066206587,-0.077694975,-0.068758684,0.148606112,0.025622409,0.077847707,1.281560236,0.509216590,0.000000000
competition_diag,,11,,,3521,3,competition_diag,0.038009356,0.090407955,0.045789524,0.102083076,0.032602956,0.176518690,-0.097565869,-0.106700882,-0.100817560,0.185281778,0.032297602,0.098128726,1.686921345,0.677080375,0.000000000
competition_diag,,110,,,2761,3,competition_diag,-0.032919651,-0.090848143,-0.039786569,0.103717150,0.030850968,0.199158955,-0.099747809,-0.106439243,-0.103262376,0.259363400,0.044511674,0.135238330,1.988233257,0.814922130,0.000000000
competition_diag,,111,,,214,3,competition_diag,0.005549997,0.004830863,0.005051515,0.016747883,0.010948340,0.021271432,-0.002607592,-0.001721580,-0.001945424,0.030259068,0.006042097,0.018357501,0.270967797,0.000000000,0.000000000
competition_diag,,112,,,2613,3,competition_diag,-0.003117324,-0.017866699,-0.004430346,0.103174658,0.100517073,0.214842445,-0.098033000,-0.107396246,-0.104227693,0.251582983,0.043581910,0.132413462,1.954921536,0.845388442,0.000000000
competition_diag,,113,,,2509,3,competition_diag,-0.001831504,-0.059607915,-0.002740154,0.107868384,0.073240223,0.217186753,-0.104367639,-0.108587821,-0.107757337,0.275754222,0.047658412,0.144798959,2.125089628,0.934635313,0.000000000
competition_diag,,114,,,234,3,competition_diag,0.001900443,0.004805296,0.002961629,0.018512583,0.010473712,0.022363344,-0.010398311,-0.009434038,-0.010007650,0.028259998,0.005578507,0.016948992,0.323905555,0.000000000,0.000000000
competition_diag,,115,,,2361,3,competition_diag,0.013897709,0.036994655,0.017136699,0.099855235,0.080662087,0.206088379,-0.093644701,-0.104310503,-0.099077155,0.272341572,0.047472871,0.144235236,2.053264274,0.831427361,0.000000000
competition_diag,,116,,,2303,3,competition_diag,0.014405645,0.082289099,0.017799215,0.105097143,0.043990625,0.210674006,-0.099906395,-0.106067473,-0.105178469,0.300271701,0.052243074,0.158728385,2.250308502,0.907946157,0.000000000
competition_diag,,117,,,256,3,competition_diag,0.000459517,0.001443674,0.000383227,0.016415096,0.010310444,0.021047245,-0.009681715,-0.008765959,-0.009570890,0.025661306,0.004932767,0.014987061,0.312153667,0.000000000,0.000000000
competition_diag,,118,,,2064,3,competition_diag,0.004828918,0.010505429,0.005516216,0.099180878,0.101349813,0.205527853,-0.092661578,-0.102945562,-0.098287004,0.308500324,0.053516915,0.162598655,2.250917411,0.818798450,0.000000000
competition_diag,,119,,,2029,3,competition_diag,0.001587881,-0.027688487,0.001357623,0.104412555,0.098408232,0.211071295,-0.099822893,-0.105401482,-0.103833261,0.334982755,0.057992348,0.176196212,2.445236004,0.892065057,0.000000000
competition_diag,,12,,,375,3,competition_diag,0.062851414,0.078357857,0.066660172,0.073302568,0.011918696,0.063130266,-0.061433221,-0.077609128,-0.065679503,0.035918770,0.006522183,0.019816129,0.728310468,0.074666667,0.000000000
competition_diag,,120,,,242,3,competition_diag,-0.001321182,-0.000894671,-0.000993263,0.017434387,0.010435127,0.020295452,-0.008491468,-0.006516114,-0.007811850,0.030583367,0.005890552,0.017897067,0.301752149,0.000000000,0.000000000
competition_diag,,121,,,1927,3,competition_diag,0.009912770,0.033713961,0.012694850,0.099067131,0.081287493,0.205582144,-0.093040669,-0.103118662,-0.098526806,0.313964957,0.054501127,0.165588953,2.271576810,0.821484172,0.000000000
competition_diag,,122,,,1945,3,competition_diag,0.010137899,0.062754886,0.013003593,0.101200689,0.062216828,0.204796126,-0.095930048,-0.102874500,-0.101023992,0.346474083,0.060192786,0.182881730,2.477743966,0.877634961,0.000000000
competition_diag,,123,,,220,3,competition_diag,-0.000625301,0.000189368,-0.000522244,0.016602549,0.012390844,0.024343357,-0.007237766,-0.006355756,-0.007398409,0.025673564,0.005008313,0.015216591,0.292903231,0.000000000,0.000000000
competition_diag,,124,,,1820,3,competition_diag,0.000008168,0.003143672,-0.000537119,0.097146595,0.100643710,0.199855174,-0.090412063,-0.100145066,-0.095430699,0.324893335,0.056429975,0.171449307,2.304881413,0.802747253,0.000000000
competition_diag,,125,,,1875,3,competition_diag,0.002876711,-0.018288824,0.003058679,0.101633062,0.101338694,0.203966883,-0.095888822,-0.102149938,-0.100889103,0.361216917,0.062830889,0.190896990,2.583900923,0.876266667,0.000000000
competition_diag,,126,,,244,3,competition_diag,-0.000882161,-0.004399347,-0.001560837,0.015880718,0.008748845,0.018897628,-0.006830781,-0.005661565,-0.006212900,0.026225266,0.005101876,0.015500861,0.293351840,0.000000000,0.000000000
competition_diag,,127,,,2043,3,competition_diag,0.055506620,0.043092719,0.053757994,0.070036605,0.033940827,0.082472434,-0.054214290,-0.043092719,-0.053224829,0.166257929,0.028753333,0.087360290,1.301315514,0.380323054,0.000000000
competition_diag,,128,,,2697,3,competition_diag,-0.008358226,-0.034051397,-0.010667111,0.086109132,0.073114716,0.182850822,-0.077294402,-0.091130658,-0.079024706,0.193770619,0.033603093,0.102095153,1.542123152,0.538005191,0.000000000
competition_diag,,129,,,1281,3,competition_diag,-0.025754876,-0.020516184,-0.024625004,0.033278812,0.014357893,0.032680037,-0.023599101,-0.019788984,-0.023342358,0.018909283,0.003188814,0.009688468,0.380422595,0.002341920,0.000000000
competition_diag,,13,,,2412,3,competition_diag,-0.080567778,-0.093698058,-0.084889957,0.090270060,0.024939241,0.057451714,-0.080594602,-0.093698058,-0.084885932,0.127678653,0.022194709,0.067433442,1.312177183,0.489220564,0.000000000
competition_diag,,130,,,2108,3,competition_diag,-0.027884161,-0.003498324,-0.024116290,0.061628556,0.035904692,0.093383889,-0.044425034,-0.035270411,-0.041025569,0.093574754,0.015854198,0.048169278,0.870852473,0.203510436,0.000000000
competition_diag,,131,,,2762,3,competition_diag,-0.042346312,-0.030392803,-0.038947523,0.057169397,0.020990701,0.053754020,-0.040608884,-0.029988259,-0.037882187,0.073316920,0.012510143,0.038009148,0.716887481,0.181028240,0.000000000
competition_diag,,132,,,1848,3,competition_diag,-0.043806511,-0.035596774,-0.039593745,0.060934801,0.025481151,0.051361763,-0.041448198,-0.034552682,-0.037992257,0.107984454,0.018276905,0.055530109,0.919077202,0.219155844,0.000000000
competition_diag,,133,,,1948,3,competition_diag,-0.047075252,-0.035562811,-0.043363884,0.061092613,0.026536048,0.054240038,-0.045181743,-0.034650377,-0.042354929,0.105127630,0.017790612,0.054052622,0.895589200,0.200205339,0.000000000
competition_diag,,134,,,1842,3,competition_diag,-0.045824887,-0.035267345,-0.041934796,0.061265896,0.023289997,0.051596598,-0.043645968,-0.034454572,-0.040626918,0.109589462,0.018559435,0.056388511,0.914349186,0.222584148,0.000000000
competition_diag,,135,,,748,3,competition_diag,-0.066059344,-0.070335075,-0.064519763,0.080813140,0.038747162,0.076249038,-0.065621248,-0.070335075,-0.064318417,0.246005641,0.041744301,0.126830314,1.660850629,0.483957219,0.000000000
competition_diag,,136,,,2276,3,competition_diag,-0.024098183,-0.021125183,-0.023157711,0.031301173,0.015234795,0.032410674,-0.021782441,-0.020111669,-0.021529756,0.017427468,0.002912339,0.008848463,0.371000720,0.003075571,0.000000000
competition_diag,,137,,,2273,3,competition_diag,0.044149800,0.065130526,0.054763109,0.091252335,0.046035385,0.124878318,-0.083229588,-0.093927681,-0.084880931,0.154526896,0.026242000,0.079730190,1.348907031,0.497140343,0.000000000
competition_diag,,138,,,1183,2,competition_diag,0.031283676,0.026390404,0.030339075,0.038332681,0.016031073,0.037164332,-0.028836278,-0.025969081,-0.029110662,0.018842198,0.003115710,0.009466357,0.417830351,0.003381234,0.000000000
competition_diag,,139,,,1490,3,competition_diag,0.045435871,0.048811333,0.046357464,0.076432645,0.057094039,0.113671547,-0.060201739,-0.055849837,-0.060169289,0.129340506,0.021989987,0.066811443,1.131815000,0.330201342,0.000000000
competition_diag,,14,,,1743,3,competition_diag,0.008112027,0.046472719,0.008996539,0.102066019,0.082537913,0.210922213,-0.097193392,-0.105665767,-0.099474805,0.205464174,0.035641444,0.108288207,1.790256901,0.670109007,0.000000000
competition_diag,,140,,,2225,3,competition_diag,0.048628206,0.038319816,0.046119364,0.060564769,0.025428054,0.056898625,-0.046694840,-0.037390980,-0.045277286,0.054807071,0.009329151,0.028344448,0.681785872,0.147865169,0.000000000
competition_diag,,141,,,1983,3,competition_diag,0.049372002,0.043675522,0.046237899,0.063753771,0.027705329,0.055833893,-0.046993431,-0.043317331,-0.044907006,0.100723567,0.017107542,0.051977272,0.929444443,0.209783157,0.000000000
competition_diag,,142,,,1843,3,competition_diag,0.055502053,0.047646453,0.052984893,0.067422603,0.028619150,0.060293845,-0.054112160,-0.047132604,-0.052384714,0.112036900,0.019073521,0.057950440,1.001253461,0.229517092,0.000000000
competition_diag,,143,,,1860,3,competition_diag,0.051214901,0.042760060,0.048417710,0.065966477,0.030493671,0.069355512,-0.048105823,-0.040283312,-0.046546414,0.108972831,0.018475565,0.056133690,0.961424385,0.227956989,0.000000000
competition_diag,,144,,,745,3,competition_diag,0.074848907,0.086954299,0.075194739,0.085990433,0.025642142,0.073611045,-0.072204304,-0.086517864,-0.074404301,0.245139174,0.041890224,0.127273666,1.684906697,0.518120805,0.000000000
competition_diag,,145,,,1156,2,competition_diag,0.025218765,0.020647132,0.023765631,0.032698114,0.013925233,0.030251982,-0.019028037,-0.017790374,-0.019499945,0.017054211,0.002819887,0.008567569,0.384251183,0.002595156,0.000000000
competition_diag,,146,,,662,2,competition_diag,0.071637011,0.080718443,0.070870430,0.084359370,0.030593456,0.077992426,-0.070207320,-0.079903035,-0.070102686,0.269762666,0.045936362,0.139566914,1.778282949,0.549848943,0.000000000
competition_diag,,15,,,554,3,competition_diag,-0.000057915,-0.001811372,-0.001695883,0.060841011,0.055829153,0.093178861,-0.041500818,-0.045040558,-0.042855140,0.023904404,0.004253136,0.012922162,0.594098971,0.036101083,0.000000000
competition_diag,,16,,,4027,3,competition_diag,0.038321542,0.080633638,0.046064128,0.099074626,0.038370623,0.170068361,-0.092974072,-0.104094328,-0.096389061,0.162406611,0.028263997,0.085873557,1.555241465,0.592748945,0.000000000
competition_diag,,17,,,209,3,competition_diag,0.051256628,0.074213579,0.052884321,0.070490555,0.036244160,0.088427929,-0.048227158,-0.073908987,-0.049728373,0.052379401,0.009834465,0.029879726,0.665646584,0.287081340,0.000000000
competition_diag,,18,,,2751,3,competition_diag,-0.075528914,-0.088154623,-0.078797224,0.087298684,0.029286596,0.072513881,-0.074706530,-0.087340155,-0.078249751,0.112627128,0.019674113,0.059775201,1.188381337,0.442384587,0.000000000
competition_diag,,19,,,1211,3,competition_diag,0.042850393,0.092292984,0.052260200,0.103366243,0.030149275,0.122705520,-0.094454850,-0.106914121,-0.100797125,0.217775978,0.038154943,0.115924889,1.827149138,0.710156895,0.000000000
competition_diag,,2,,,532,2,competition_diag,0.000156289,0.000755026,0.000345124,0.013529759,0.004180385,0.008489198,-0.002537129,-0.003759003,-0.003551723,0.007024926,0.002125948,0.006459196,0.078318812,0.000000000,0.000000000
competition_diag,,20,,,658,3,competition_diag,0.023703226,0.001887222,0.020006290,0.046688510,0.006736475,0.070408068,-0.024782949,-0.003986217,-0.021436979,0.016017686,0.002483820,0.007546507,0.471084822,0.015197568,0.000000000
competition_diag,,21,,,3157,3,competition_diag,0.021154713,0.067228748,0.024947692,0.101335365,0.055701929,0.204671249,-0.094085678,-0.105653696,-0.098354111,0.172769137,0.030120522,0.091514175,1.625841174,0.636997149,0.000000000
