role,k1_rad_per_m,k2_rad_per_m,k3_radps,stribeck_speed_mps,yaw_fade_mps,sliding_ratio,load_power,linear_gain_nm_per_radps,peak_yield_nm,weighted_train_rmse_nm,primary_corrected_rmse_nm,validation_corrected_rmse_nm,in_place_opposing_nm,in_place_left_command,in_place_right_command,in_place_max_abs_command,score
latest_weighted_shifted_peak,0.0,1.6,0.4,0.08,0.05,0.35,1.0,0.022904671478064905,0.011742336726886137,0.03131262269839206,0.03629730617460245,0.05313021752624681,0.011296162589627162,0.24124371785279458,-0.24124371785279458,0.24124371785279458,0.042075311162808215
latest_weighted_shifted_peak,0.05,1.6,0.4,0.08,0.05,0.0,1.0,0.023216708693996075,0.011787265220909138,0.031314094716103386,0.03630272912125742,0.05307120317644044,0.011291021533188325,0.24121358910012985,-0.24121358910012985,0.24121358910012985,0.042077687043099485
latest_weighted_shifted_peak,0.0,1.6,0.4,0.08,0.05,0.15,1.0,0.022881243328828155,0.01175176239017728,0.03131368700957024,0.03630063901173712,0.05309184655640041,0.01127767768585385,0.24113538854335356,-0.24113538854335356,0.24113538854335356,0.04207962535326963
latest_weighted_shifted_peak,0.0,1.6,0.4,0.08,0.05,0.0,1.0,0.02286721392214528,0.011757406731235244,0.03131451238618679,0.03630321129603406,0.05306280746435523,0.011262420085478607,0.24104597258898092,-0.24104597258898092,0.24104597258898092,0.04208313320851736
latest_weighted_shifted_peak,0.2,1.6,0.4,0.04,0.05,0.6,1.0,0.02433189786903803,0.011793839140361969,0.03131423751118601,0.036297971667011285,0.053128857337671066,0.011222107857497828,0.24080972598078967,-0.24080972598078967,0.24080972598078967,0.04208994573176232
latest_weighted_shifted_peak,0.35,1.6,0.4,0.04,0.05,0.6,1.0,0.025158993220318157,0.011801278999887687,0.031316473826048005,0.03630004270502754,0.053135178011506155,0.011229187054106209,0.24085121304988066,-0.24085121304988066,0.24085121304988066,0.042090937434551584
latest_weighted_shifted_peak,0.1,1.6,0.4,0.04,0.05,0.6,1.0,0.02367689138922119,0.011764189430873043,0.031313947394437824,0.03629765585850753,0.05311849642229997,0.01119389548035174,0.24064438958675677,-0.24064438958675677,0.24064438958675677,0.04209461570683512
latest_weighted_shifted_peak,0.05,1.6,0.4,0.04,0.05,0.6,1.0,0.02331413884847629,0.011746224636232325,0.031313996186024366,0.03629765054290346,0.05311228986300481,0.011176801567106306,0.24054421206675286,-0.24054421206675286,0.24054421206675286,0.04209766982402178
latest_weighted_shifted_peak,0.0,1.6,0.4,0.04,0.05,0.6,1.0,0.02296952399058012,0.011716245124644125,0.031314410030105475,0.03629814364221048,0.053103779971615354,0.011148275375714861,0.24037703658927598,-0.24037703658927598,0.24037703658927598,0.042103098932427196
latest_weighted_shifted_peak,0.2,1.6,0.4,0.04,0.05,0.35,1.0,0.024335605458976464,0.011792032213484804,0.03131761642962409,0.03630537479664497,0.05303338445137574,0.011086992601031097,0.24001789375880556,-0.24001789375880556,0.24001789375880556,0.042117079616859926
