role,k1_rad_per_m,k2_rad_per_m,k3_radps,stribeck_speed_mps,yaw_fade_mps,sliding_ratio,load_power,linear_gain_nm_per_radps,peak_yield_nm,weighted_train_rmse_nm,primary_corrected_rmse_nm,validation_corrected_rmse_nm,in_place_opposing_nm,in_place_left_command,in_place_right_command,in_place_max_abs_command,score
standard_shifted_peak,0.35,1.6,0.4,0.16,0.05,0.15,1.0,0.02532249513276653,0.010309377789585761,0.03114349400451409,0.03631667636527984,0.0528745185528845,0.009970290269685027,0.23347354849797006,-0.23347354849797006,0.23347354849797006,0.04213928754957499
standard_shifted_peak,0.1,1.1,0.1,0.16,0.05,0.35,1.0,0.001968314799358853,0.010161516352398993,0.03105237483181953,0.036266686246871065,0.05288438929350917,0.009450211912901295,0.23042567062224453,-0.23042567062224453,0.23042567062224453,0.042139604713152194
standard_shifted_peak,0.1,1.6,0.4,0.16,0.05,0.35,1.0,0.02422194722533918,0.010280152567362266,0.031140092015680677,0.036313587735135884,0.05287366225463657,0.009948106980248053,0.2333435450932833,-0.2333435450932833,0.2333435450932833,0.04213978566288218
standard_shifted_peak,0.35,1.6,0.4,0.16,0.05,0.35,1.0,0.02533967784513978,0.010299380154806791,0.03114341253351342,0.03631602612324798,0.052885527177563715,0.009966713522866641,0.23345258725750953,-0.23345258725750953,0.23345258725750953,0.042139834915788134
standard_shifted_peak,0.35,1.1,0.1,0.16,0.05,0.35,1.0,0.01279175638592737,0.01015917335164066,0.031052635414783848,0.03626570151003699,0.05289084229116096,0.009448032921802874,0.23041290081809165,-0.23041290081809165,0.23041290081809165,0.042140248390241095
standard_shifted_peak,0.05,1.1,0.1,0.16,0.05,0.6,1.0,0.0,0.010138795843398479,0.03105227617111289,0.03626573254139319,0.05289579985568661,0.009445269843541998,0.2303967080175446,-0.2303967080175446,0.2303967080175446,0.042140374930586554
standard_shifted_peak,0.35,1.6,0.4,0.16,0.05,0.6,1.0,0.025361870816642648,0.010286467337614583,0.03114331822128654,0.036315241845729644,0.0528991781463267,0.009961823305647275,0.23342392852815466,-0.23342392852815466,0.23342392852815466,0.0421406003654419
standard_shifted_peak,0.1,1.6,0.4,0.16,0.05,0.6,1.0,0.024251435172102594,0.010266838327328517,0.03113999689207706,0.03631281314965188,0.05288724100595545,0.009942813792884862,0.23331252478942732,-0.23331252478942732,0.23331252478942732,0.042140621148394244
standard_shifted_peak,0.05,1.6,0.4,0.16,0.05,0.0,1.0,0.023900318601520643,0.010283039076981634,0.031140050794365173,0.03631474730271584,0.05284912133922127,0.009940256076962509,0.23329753549854365,-0.23329753549854365,0.23329753549854365,0.04214112472940886
standard_shifted_peak,0.2,1.1,0.1,0.16,0.05,0.35,1.0,0.007073253150389704,0.010149189807326701,0.03105197077891633,0.0362661066696228,0.05288513991182664,0.009438748223915586,0.23035848858404206,-0.23035848858404206,0.23035848858404206,0.04214121612139507
standard_shifted_peak,0.1,1.1,0.1,0.16,0.05,0.15,1.0,0.0019506759360006511,0.010165117932238421,0.03105258617424554,0.036267809511800204,0.052871228744196225,0.009440577354975601,0.23036920806124564,-0.23036920806124564,0.23036920806124564,0.04214150993240817
standard_shifted_peak,0.05,1.6,0.4,0.16,0.05,0.15,1.0,0.02391792550133843,0.010275470422978458,0.03113998536874359,0.03631425307017947,0.05285737175082676,0.009937498156110827,0.2332813729225833,-0.2332813729225833,0.2332813729225833,0.04214154418106609
standard_shifted_peak,0.05,1.6,0.4,0.16,0.05,0.35,1.0,0.023942030981524774,0.01026510823309848,0.031139902804931334,0.03631361209700045,0.05286830268954167,0.009933548573091927,0.23325822670520158,-0.23325822670520158,0.23325822670520158,0.042142156003775286
