vf_mps,yaw_rate_radps,predicted_opposing_support_nm,total_opposing_yaw_torque_nm,left_command,right_command,lr_delta_command,max_abs_command
0.03,5.355555556,0.0032117990579572206,0.0032117990579572206,0.22005637445494045,-0.2127240989177077,0.43278047337264813,0.22005637445494045
0.03,6.0,0.002585750125907076,0.002585750125907076,0.21972013982476316,-0.21238786428753043,0.43210800411229355,0.21972013982476316
0.06,0.2,0.007562199529555858,0.007562199529555858,0.22255628537292524,0.13185238959341675,0.09070389577950849,0.22255628537292524
0.06,0.844444444,0.011697164689809409,0.011697164689809409,0.2501215954401442,0.10428707950986374,0.14583451593028043,0.2501215954401442
0.06,1.488888889,0.010825745805205386,0.010825745805205386,0.2483473897094348,-0.4262743252270389,0.6746217149364737,0.4262743252270389
0.06,2.133333333,0.009427554216535844,0.009427554216535844,0.24348607440762948,-0.22882152333316397,0.47230759774079345,0.24348607440762948
0.06,2.777777778,0.007874779555221662,0.007874779555221662,0.23771883729954205,-0.22305428622507653,0.4607731235246186,0.23771883729954205
0.06,3.422222222,0.006422341179835626,0.006422341179835626,0.23253961301555007,-0.21787506194108455,0.4504146749566346,0.23253961301555007
0.06,4.066666667,0.005181394582894605,0.005181394582894605,0.22859981949559965,-0.21393526842113414,0.4425350879167338,0.22859981949559965
0.06,4.711111111,0.004170020262414149,0.004170020262414149,0.22600541605098654,-0.21134086497652102,0.43734628102750756,0.22600541605098654
0.06,5.355555556,0.003364279003013834,0.003364279003013834,0.2246161088229307,-0.20995155774846516,0.4345676665713959,0.2246161088229307
0.06,6.0,0.0027280776395051834,0.0027280776395051834,0.22422037667507447,-0.20955582560060892,0.43377620227568336,0.22422037667507447
0.09,0.2,0.007266150433272226,0.007266150433272226,0.2244874509418301,0.13725349956174462,0.08723395138008547,0.2244874509418301
0.09,0.844444444,0.011732730914773802,0.011732730914773802,0.2539961662434718,0.10774478426010296,0.14625138198336884,0.2539961662434718
0.09,1.488888889,0.010929442250085441,0.010929442250085441,0.2526212322518008,0.10911971825171327,0.1435015140000875,0.2526212322518008
0.09,2.133333333,0.009580020148197919,0.009580020148197919,0.2480457266512348,-0.5016486264157864,0.7496943530670213,0.5016486264157864
0.09,2.777777778,0.008052852042373387,0.008052852042373387,0.24242855472646527,-0.2204317281147851,0.46286028284125036,0.24242855472646527
0.09,3.422222222,0.006609167358869917,0.006609167358869917,0.23730063075803498,-0.21530380414633668,0.45260443490437163,0.23730063075803498
0.09,4.066666667,0.005367344689773003,0.005367344689773003,0.2333557030868424,-0.21135887647514412,0.4447145795619865,0.2333557030868424
0.09,4.711111111,0.004350251938558601,0.004350251938558601,0.23072778723339604,-0.20873096062169777,0.4394587478550938,0.23072778723339604
0.09,5.355555556,0.0035365206564660404,0.0035365206564660404,0.22929165511237437,-0.20729482850067607,0.4365864836130504,0.22929165511237437
0.09,6.0,0.002891332574796062,0.002891332574796062,0.22884325701696998,-0.2068464304052717,0.4356896874222417,0.22884325701696998
0.12,0.2,0.007013883245593919,0.007013883245593919,0.22667519690646698,0.14239802913434052,0.08427716777212646,0.22667519690646698
0.12,0.844444444,0.011762274614086344,0.011762274614086344,0.2578354425138682,0.11123778352693926,0.14659765898692895,0.2578354425138682
0.12,1.488888889,0.011025334401778554,0.011025334401778554,0.25684933835420554,0.11222388768660198,0.14462545066760357,0.25684933835420554
0.12,2.133333333,0.009723293459941749,0.009723293459941749,0.25255150627640993,0.11652171976439744,0.13602978651201247,0.25255150627640993
0.12,2.777777778,0.008220505794652454,0.008220505794652454,0.24707721398571586,-0.14248761452002914,0.38956482850574503,0.24707721398571586
0.12,3.422222222,0.006784601564091425,0.006784601564091425,0.24199488674338854,-0.2126657845999546,0.45466067134334315,0.24199488674338854
0.12,4.066666667,0.005541373055247874,0.005541373055247874,0.23804172026009263,-0.20871261811116157,0.4467543383712542,0.23804172026009263
0.12,4.711111111,0.004518545525677408,0.004518545525677408,0.23538019619387285,-0.2060510940449418,0.44143129023881467,0.23538019619387285
0.12,5.355555556,0.003697263750616921,0.003697263750616921,0.23389981500890222,-0.20457071285997117,0.4384705278688734,0.23389981500890222
0.12,6.0,0.0030438662840733418,0.0030438662840733418,0.23340330646590246,-0.2040742043169714,0.4374775107828739,0.23340330646590246
0.15,0.2,0.006796354490317216,0.006796354490317216,0.22906652469329117,0.1473389768847491,0.08172754780854208,0.22906652469329117
0.15,0.844444444,0.011786069891121487,0.011786069891121487,0.26164103061237465,0.11476447096566558,0.14687655964670907,0.26164103061237465
0.15,1.488888889,0.011112778752587664,0.011112778752587664,0.2610279367909344,0.11537756478710585,0.14565037200382852,0.2610279367909344
0.15,2.133333333,0.009854748676726099,0.009854748676726099,0.2569880268953404,0.11941747468269985,0.13757055221264053,0.2569880268953404
0.15,2.777777778,0.008372692031434006,0.008372692031434006,0.2516352270997031,0.12477027447833718,0.12686495262136593,0.2516352270997031
0.15,3.422222222,0.006941243114375856,0.006941243114375856,0.24657900986806502,0.03531853317333605,0.21126047669472897,0.24657900986806502
0.15,4.066666667,0.0056940855518900135,0.0056940855518900135,0.24260281747816734,-0.20594144071212542,0.44854425819029276,0.24260281747816734
0.15,4.711111111,0.004663971621573518,0.004663971621573518,0.23989859203947583,-0.20323721435331205,0.4431358063927879,0.23989859203947583
0.15,5.355555556,0.0038344944867250074,0.0038344944867250074,0.2383701825998092,-0.2017088049136454,0.4400789875134546,0.2383701825998092
0.15,6.0,0.0031729782102627503,0.0031729782102627503,0.23782609441653868,-0.2011647167303749,0.4389908111469136,0.23782609441653868
