rank,branch,source,interpretation,k1,k2,k3,peak_frac,decay0,decay_v,vf_fade,slide_nm,peak_delta_nm,peak_extra_nm,train_rmse_nm,validation_non_authoritative_rmse_nm,primary_rmse_nm,open_floor_validation_rmse_nm,latest_may4_rmse_nm,launch_extra_nm,launch_total_nm,launch_left_command,launch_right_command,launch_max_abs_command,launch_target_abs_error,selected_score,acceptable,boundary_status
31,optimized,nelder_mead_seed_7_coordinate_refined,line_maintains_peak,0.022576472837200184,0.8564388847097677,1.0099959054367655,0.9900831439409125,0.0019935395491204296,0.0,1.0,0.0,0.06557456699517394,0.06557456699517394,0.03132528749640906,0.05245316531718979,0.03658987124861588,0.01784866308904678,0.03151043177848454,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.03132530132223888,True,
32,optimized,nelder_mead_seed_7_coordinate_refined,x1_shifted_stribeck_peak_slope,0.0044941681684843365,0.8507837896812688,1.0100326920533793,0.9900445072552719,0.0019892141695715643,0.0,1.0,0.0,0.06557641954944457,0.06557641954944457,0.031328199209864814,0.05244760965524936,0.0365944550182157,0.017847382344609287,0.03151151475842968,0.0655679942044966,0.0803622442044966,0.6460000000000002,-0.6460000000000002,0.6460000000000002,2.220446049250313e-16,0.031328203171656355,True,
33,optimized,nelder_mead_seed_9_coordinate_refined,x1_shifted_stribeck_peak_slope,0.23782620151797682,3.850379642351848,1.06883706720803,0.9356728712745634,0.0016055413700547829,0.0,1.0,0.0,0.06572794445108196,0.06572794445108196,0.03133336704310476,0.05261694642985694,0.036550516604120946,0.01778931797945146,0.031425286968466776,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.03133336704310476,True,
34,optimized,nelder_mead_seed_6_coordinate_refined,x1_shifted_stribeck_peak_slope,0.12030476684703935,2.449420787076602,1.0843401433517805,0.9222452781304206,0.0010514706591068328,0.0,1.0,0.0,0.06560974094248802,0.06560974094248802,0.03133483916715511,0.052653550392981086,0.036558900574949885,0.01784676842724361,0.03144818361831089,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.03133483916715511,True,
35,optimized,nelder_mead_seed_8_coordinate_refined,x1_shifted_stribeck_peak_slope,0.10192531654158894,0.8820384430736802,1.0170937488909453,0.9830968372205005,0.0024128010139716194,0.0,1.0,0.0,0.0656750881624576,0.0656750881624576,0.031335892186255807,0.052515638132803626,0.03659543006401183,0.01786541742632492,0.03151164810254,0.0655679942044966,0.0803622442044966,0.6460000000000002,-0.6460000000000002,0.6460000000000002,2.220446049250313e-16,0.031335892186255807,True,
36,optimized,nelder_mead_seed_8_coordinate_refined,line_maintains_peak,0.0013111330712011326,0.8800973507494282,1.0468641356379134,0.9551943883149903,0.001790655561799993,0.0,1.0,0.0,0.06560112201956311,0.06560112201956311,0.031342038434980984,0.05254864676153997,0.036597424555806155,0.017888625087673537,0.03151305216906176,0.0655679942044966,0.0803622442044966,0.6460000000000002,-0.6460000000000002,0.6460000000000002,2.220446049250313e-16,0.031342038434980984,True,
37,optimized,nelder_mead_seed_1_coordinate_refined,line_reaches_x2,7.053371483080077,7.053371489602221,1.013839498775739,0.9911522913632629,0.007022914071661957,0.0,1.0,0.005609207188150014,0.09719187574388766,0.10280108293203767,0.031353597456787,0.05271288753865536,0.03659140819329758,0.01706939090920192,0.03111150771984604,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.031356253007558704,True,
38,optimized,nelder_mead_seed_2_coordinate_refined,line_reaches_x2,0.10608441181408805,2.58800536364482,1.02338227995012,0.9768420281969001,0.0005111576270305608,0.0,1.0,0.009115035888702779,0.08294738358103457,0.09206241946973734,0.03135800546804214,0.0531390104578127,0.03663934734701241,0.01695447764923933,0.030970315520402174,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.03135800546804214,True,
39,optimized,nelder_mead_seed_0_coordinate_refined,line_maintains_peak,0.000688591051116598,44.6233611222766,1.0387024208048161,0.9672196064964218,0.02459994498956013,0.0,1.0,0.0,0.06787662328015484,0.06787662328015484,0.03136501999395632,0.05288174761166376,0.03670544145626957,0.01751877089441009,0.031151799150744786,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.03136501999395632,True,
40,optimized,best_full_objective_polished,line_meets_x1,0.0004999968769316207,60.00049999687686,1.012800717675244,0.989957751714787,0.008874676574318296,0.0,1.0,1.7521186900804956e-07,0.06935035932901637,0.06935053454088538,0.031367618772896864,0.05230743170798196,0.0366144332984731,0.01892209623129411,0.03242929900694308,0.06556799420449658,0.08036224420449657,0.646,-0.646,0.646,0.0,0.03136761985747153,True,k1:low;k2:high;peak_frac:high;decay0:low
41,optimized,nelder_mead_seed_0_coordinate_refined,line_meets_x1,0.0004999968769316207,60.00049999687686,1.0098977049667324,0.9903382099051209,0.009741094834729768,0.0,1.0,1.7544733975124023e-07,0.06387051600036352,0.06387069144770327,0.031368005533341806,0.05230560767029479,0.03661457451225404,0.01892055809590618,0.03242575090458707,0.06556799420449658,0.08036224420449657,0.646,-0.646,0.646,0.0,0.031368235389796315,True,
42,optimized,nelder_mead_seed_6_coordinate_refined,line_maintains_peak,0.31614428527470073,3.2335799467078497,1.1223950770395688,0.8901143760116366,0.006877025933855318,0.0,1.0,0.0,0.06666049529206076,0.06666049529206076,0.03137345247480862,0.05286218735275083,0.036567147191702454,0.01789839026811636,0.03146739706899844,0.06556799420449658,0.08036224420449657,0.646,-0.646,0.646,0.0,0.03137345247480862,True,
43,optimized,nelder_mead_seed_6_coordinate_refined,line_reaches_x2,0.11016165317043562,5.435005130161045,1.1771172688747116,0.8503807945327142,0.0017437165405477105,0.0,1.0,0.009265583136190685,0.0784902218065684,0.08775580494275909,0.03137822505336084,0.05305452008932748,0.0366644778831571,0.01693710117602844,0.031000007720378312,0.06556799420449658,0.08036224420449657,0.646,-0.646,0.646,0.0,0.03137822505336084,True,
44,optimized,nelder_mead_seed_5_coordinate_refined,line_reaches_x2,0.28887643646640143,1.2842243540342844,1.394355613380351,0.7158215357824885,0.005557956774266267,0.0,1.0,0.008615866282586617,0.0645868426329937,0.07320270891558033,0.031400571889635666,0.05292902634621545,0.03667437210727095,0.016934442247595993,0.031182181934693323,0.06556799420449658,0.08036224420449657,0.646,-0.646,0.646,0.0,0.031400571889635666,True,
45,optimized,nelder_mead_seed_12_coordinate_refined,line_meets_x1,5.832249339466473,6.351659333934717,1.5503468588365488,0.6418067989818823,0.02153694637992597,0.0,1.0,7.583269992201086e-08,0.04056565202091981,0.04056572785361973,0.031535032482809124,0.05052524396097196,0.036842396841518785,0.017315423972486647,0.03219035144383657,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.031535032482809124,True,
46,optimized,nelder_mead_seed_2_coordinate_refined,line_meets_x1,0.3295465781551028,1.190102624763698,1.304915128462987,0.7681638058194812,0.009988910499736896,0.0,1.0,6.989784188275454e-08,0.05225695237654295,0.052257022274384834,0.031536847069082184,0.05047664501928622,0.03684447394606052,0.01722972047531442,0.03224603703634356,0.06556799420449658,0.08036224420449657,0.646,-0.646,0.646,0.0,0.031536847069082184,True,
47,optimized,nelder_mead_seed_6_coordinate_refined,line_meets_x1,0.7937923242750754,1.0487670748150588,1.290347753469779,0.7766567493325852,0.00973215021183482,0.0,1.0,6.855095725136726e-08,0.052781920616110686,0.05278198916706794,0.03153690424086985,0.05046058681740128,0.03684507793998518,0.01721715960208302,0.03224259140653395,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.03153690424086985,True,
48,optimized,nelder_mead_seed_5_coordinate_refined,line_meets_x1,0.1010290205948636,13.910223149933627,1.7225811858337368,0.5789012844373184,0.005066501902174721,0.0,1.0,5.34764897345489e-08,0.05832346439005091,0.05832351786654064,0.03153705238551576,0.050451166340784386,0.03685131096215767,0.017155509110780336,0.03213441144651769,0.0655679942044966,0.0803622442044966,0.6460000000000002,-0.6460000000000002,0.6460000000000002,2.220446049250313e-16,0.03153705238551576,True,
49,optimized,nelder_mead_seed_1_coordinate_refined,line_meets_x1,3.058676362303741,8.169322960718912,1.7409293589693873,0.5781946362373287,0.02085152710504941,0.0,1.0,6.961252050855029e-08,0.03998590215422002,0.039985971766740534,0.03153349458845938,0.05052383325343989,0.03684259241404513,0.01729198565133722,0.0321617130595942,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.031533495572416026,False,
50,optimized,nelder_mead_seed_7_coordinate_refined,line_meets_x1,0.0024124756237374,0.8484029240077975,1.6639642479451755,0.43657016821166705,0.011937565813071779,0.0,1.0,1.6432004310979776e-07,0.02396141568968602,0.02396158000972913,0.03151457448867514,0.051349730657366414,0.03680116686384134,0.018668324786970694,0.03288383751612878,0.06556799420449659,0.08036224420449659,0.6460000000000001,-0.6460000000000001,0.6460000000000001,1.1102230246251565e-16,0.03280072906759674,False,
51,optimized,nelder_mead_seed_4_coordinate_refined,line_meets_x1,2.183396123115136,39.56026315795428,2.7283801867939412,0.14486152410084854,0.16036425443650762,0.0,1.0,3.4759361022695956e-08,0.023238844944833754,0.023238879704194776,0.03145757522172418,0.051795314506322285,0.036705731819049986,0.018458935136573505,0.03232018251757491,0.06556799420449658,0.08036224420449657,0.646,-0.646,0.646,0.0,0.03286225098957645,False,
52,optimized,nelder_mead_seed_8_coordinate_refined,line_meets_x1,17.04297182287526,17.04297183431221,1.5769027567024243,0.7643425096483675,0.8544039909237879,0.0,1.0,1.0155361859667678e-07,0.02206111381867637,0.022061215372294968,0.031398747370268154,0.0526760660558535,0.03655230721863103,0.01893624133953239,0.03197245630561871,0.06556799420449658,0.08036224420449657,0.646,-0.646,0.646,0.0,0.033007747339864085,False,
