branch,interpretation,optimizer,seed,sample_nm_evaluations,sample_nm_converged,full_coordinate_evaluations,final_objective,k1,k2,k3,peak_frac,decay0,launch_max_abs_command,peak_extra_nm,total_optimizer_evaluations,boundary_hits
base,line_maintains_peak,Nelder-Mead(sample objective) + coordinate descent(full objective),7,520,False,81,0.03132530132223888,0.022576472837200184,0.8564388847097677,1.0099959054367655,0.9900831439409125,0.0019935395491204296,0.6460000000000001,0.06557456699517394,,
base,line_maintains_peak,Nelder-Mead(sample objective) + coordinate descent(full objective),8,520,False,81,0.031342038434980984,0.0013111330712011326,0.8800973507494282,1.0468641356379134,0.9551943883149903,0.001790655561799993,0.6460000000000002,0.06560112201956311,,
base,line_maintains_peak,Nelder-Mead(sample objective) + coordinate descent(full objective),9,520,False,81,0.03128492060240534,0.05526749187000519,10.764974237321619,1.0353346093096385,0.9658173137330021,0.0013124302327036656,0.646,0.06568186222402163,,
base,line_maintains_peak,Nelder-Mead(sample objective) + coordinate descent(full objective),10,521,False,81,0.031284173239267285,0.39646793260410973,13.108039830815873,1.0097260042654825,0.9903585838187512,0.001859034418883015,0.6460000000000002,0.06556955866475264,,
base,line_maintains_peak,Nelder-Mead(sample objective) + coordinate descent(full objective),11,521,False,81,0.031306153440099606,0.03797612896061314,2.1833335802037914,1.0100826962313332,0.990035739391651,0.0027227124729095223,0.6460000000000002,0.06557083337731276,,
base,line_maintains_peak,Nelder-Mead(sample objective) + coordinate descent(full objective),12,520,False,81,0.031285803399322486,0.19902675355897487,9.925741591719442,1.0153064782867638,0.9849222369072038,0.0007227240567814145,0.6460000000000001,0.06556851662246244,,
base,line_maintains_peak,final coordinate polish(full objective),best,,,121,0.031281370813208025,0.37209349809139236,13.291269917383923,1.0097260042654825,0.9903585838187512,0.0020036233637081985,0.6460000000000001,0.065569340694394,10148,k1:low;peak_frac:high;decay0:low
latest_weighted,line_reaches_x2,differential_evolution(sample objective),global,2210,,,0.028907055516176925,0.011249024743477424,5.459341320540508,1.0169854508525902,0.9862305426312631,0.003969709713719929,,,,
latest_weighted,line_reaches_x2,Nelder-Mead(sample objective) + coordinate descent(full objective),0,521,False,81,0.030911007813124097,0.002922976310235724,5.3610731894909405,1.0243504934817338,0.9779118602894195,0.007518224785014923,0.6460000000000001,0.06843084860797682,,
latest_weighted,line_reaches_x2,Nelder-Mead(sample objective) + coordinate descent(full objective),1,520,False,81,0.03091390180828876,0.02195576771307212,10.489923536177187,1.0375922555796888,0.9656055258449141,0.00660432299100573,0.6460000000000002,0.07007505920601642,,
latest_weighted,line_reaches_x2,Nelder-Mead(sample objective) + coordinate descent(full objective),2,520,False,81,0.030953744689896603,0.0005000219260363304,43.38746511488774,1.1848268963943878,0.8523580076656937,0.025223016169405067,0.646,0.07473532987690304,,
latest_weighted,line_reaches_x2,Nelder-Mead(sample objective) + coordinate descent(full objective),3,521,False,81,0.030910879604750686,1.4266919192638516,1.4796367118399696,1.01089774874899,0.9910836109445905,0.008546989811892735,0.6460000000000001,0.06837012576048798,,
latest_weighted,line_reaches_x2,Nelder-Mead(sample objective) + coordinate descent(full objective),4,520,False,81,0.03092651873606175,0.2987598596038389,3.2845616002120983,1.1377977846481298,0.8776477465827569,0.002442755350508337,0.6460000000000001,0.08613173684581901,,
latest_weighted,line_reaches_x2,Nelder-Mead(sample objective) + coordinate descent(full objective),5,520,False,81,0.03091414580176901,0.009190374796372044,10.509983967966539,1.0401264790447315,0.963290486606516,0.007197605555471761,0.6460000000000001,0.06951954859960358,,
latest_weighted,line_reaches_x2,Nelder-Mead(sample objective) + coordinate descent(full objective),6,520,False,81,0.03095800793998009,0.00052192532654146,45.02084934562421,1.200629149783433,0.8433837503516023,0.03651302315823201,0.646,0.07296974470026352,,
latest_weighted,line_reaches_x2,Nelder-Mead(sample objective) + coordinate descent(full objective),7,520,False,81,0.03095368380763836,0.0005000622406550919,43.3880277774209,1.1846879420770369,0.8524346385596847,0.02521368417230367,0.6460000000000001,0.07468994426347403,,
latest_weighted,line_reaches_x2,Nelder-Mead(sample objective) + coordinate descent(full objective),8,520,False,81,0.03092026594160704,0.1491780453270519,6.111538418412267,1.1146728110878295,0.8988488999951209,0.006863668535119363,0.646,0.0699933235692802,,
latest_weighted,line_reaches_x2,Nelder-Mead(sample objective) + coordinate descent(full objective),9,520,False,81,0.030913581560154973,0.000551051206624162,6.088414913861393,1.1054652654807882,0.9061409323377109,0.006033812192888545,0.6460000000000001,0.07004706837978393,,
latest_weighted,line_reaches_x2,Nelder-Mead(sample objective) + coordinate descent(full objective),10,521,False,81,0.030915533822095914,0.0005033038967202737,10.970332757894854,1.0696449755346942,0.9346226585835867,0.0074742220825835945,0.6460000000000001,0.065691514457345,,
latest_weighted,line_reaches_x2,Nelder-Mead(sample objective) + coordinate descent(full objective),11,521,False,81,0.030942201650576,0.0005020865610610704,44.46459478569564,1.1269834438453867,0.8938473227336029,0.03833525367887169,0.6460000000000002,0.06800093793840298,,
latest_weighted,line_reaches_x2,Nelder-Mead(sample objective) + coordinate descent(full objective),12,520,False,81,0.030916903848435782,0.0032920969400536443,7.243464024817544,1.1149016618259167,0.8968655846484311,0.0023633747472143482,0.6460000000000001,0.06578533947203122,,
latest_weighted,line_reaches_x2,final coordinate polish(full objective),best,,,121,0.030910645700387207,1.4189127668321047,1.4741352249857351,1.01089774874899,0.9910399238088304,0.008546989811892735,0.646,0.06823756565430882,10148,k2:low;peak_frac:high;decay0:low
