objective,rank,score,current_score,score_delta_vs_current_pct,velocity_kp,velocity_kd,heading_kp,heading_kd,yawrate_kp,yawrate_kd
balanced,59,165.68429957608544,12001.78180670418,-98.61950248517654,5.5,0.01,600.0,112.0,36.0,5.0
balanced,60,165.7622517962925,12001.78180670418,-98.61885297978257,5.5,0.01,600.0,64.0,48.0,5.0
balanced,61,165.90966029929012,12001.78180670418,-98.61762475796208,5.5,0.01,300.0,80.0,54.0,5.0
balanced,62,166.15778357426942,12001.78180670418,-98.61555737097758,5.5,0.01,300.0,24.0,60.0,5.0
balanced,63,166.20520309849633,12001.78180670418,-98.61516226694228,5.5,0.01,450.0,32.0,42.0,5.0
balanced,64,166.27638086822503,12001.78180670418,-98.61456920692106,5.5,0.01,450.0,24.0,48.0,5.0
balanced,65,166.93164674863075,12001.78180670418,-98.60910946860088,5.5,0.01,300.0,16.0,60.0,5.0
balanced,66,167.06553175746475,12001.78180670418,-98.60799392583405,5.5,0.01,600.0,80.0,36.0,5.0
balanced,67,167.14430223699657,12001.78180670418,-98.60733760262472,5.5,0.01,600.0,64.0,42.0,5.0
balanced,68,167.33402877101926,12001.78180670418,-98.6057567829008,5.5,0.01,300.0,64.0,54.0,5.0
balanced,69,167.3391585379934,12001.78180670418,-98.60571404118913,5.5,0.01,450.0,80.0,60.0,5.0
balanced,70,167.69792798082642,12001.78180670418,-98.60272473969532,5.5,0.01,450.0,112.0,60.0,5.0
balanced,71,168.1644410497219,12001.78180670418,-98.59883770794944,5.5,0.01,300.0,8.0,60.0,5.0
balanced,72,168.1682922702189,12001.78180670418,-98.59880561920997,5.5,0.01,300.0,48.0,54.0,5.0
balanced,73,168.46147304786945,12001.78180670418,-98.59636280878088,5.5,0.01,450.0,64.0,60.0,5.0
balanced,74,168.46892351441906,12001.78180670418,-98.59630073077722,5.5,0.01,300.0,112.0,66.0,5.0
balanced,75,168.4997328861699,12001.78180670418,-98.59604402412944,5.5,0.01,600.0,48.0,48.0,5.0
balanced,76,168.5579008116919,12001.78180670418,-98.59555936338107,5.5,0.01,450.0,96.0,60.0,5.0
balanced,77,169.08086446330725,12001.78180670418,-98.59120197995217,5.5,0.01,300.0,8.0,36.0,5.0
balanced,78,169.13185162024863,12001.78180670418,-98.59077715005807,5.5,0.01,600.0,64.0,36.0,5.0
balanced,79,169.19046668001673,12001.78180670418,-98.59028876374417,5.5,0.01,300.0,96.0,66.0,5.0
balanced,80,169.28324820939875,12001.78180670418,-98.5895156991203,5.5,0.01,450.0,48.0,60.0,5.0
balanced,81,169.59416185961706,12001.78180670418,-98.58692513669195,5.5,0.01,300.0,32.0,54.0,5.0
balanced,82,169.6221204598305,12001.78180670418,-98.5866921829467,5.5,0.01,300.0,80.0,66.0,5.0
balanced,83,169.6707079558467,12001.78180670418,-98.58628734725815,5.5,0.01,300.0,0.0,42.0,5.0
balanced,84,169.85579124797798,12001.78180670418,-98.58474521547211,5.5,0.01,450.0,32.0,36.0,5.0
balanced,85,169.87753577151037,12001.78180670418,-98.58456403801128,5.5,0.01,450.0,24.0,42.0,5.0
balanced,86,170.0242185082938,12001.78180670418,-98.58334186334467,5.5,0.01,300.0,0.0,60.0,5.0
balanced,87,170.33161897825767,12001.78180670418,-98.58078057307199,5.5,0.01,300.0,24.0,54.0,5.0
balanced,88,170.37509222416463,12001.78180670418,-98.58041834980709,5.5,0.01,450.0,16.0,48.0,5.0
balanced,89,170.39253680159558,12001.78180670418,-98.58027299991062,5.5,0.01,300.0,64.0,66.0,5.0
balanced,90,170.8276273098196,12001.78180670418,-98.57664778396158,5.5,0.01,450.0,80.0,54.0,5.0
balanced,91,171.0909522705039,12001.78180670418,-98.57445373507014,5.5,0.01,450.0,112.0,54.0,5.0
balanced,92,171.40989164823253,12001.78180670418,-98.57179630150847,5.5,0.01,300.0,16.0,54.0,5.0
