run_id,family,recommendation,path,input_rows,normalized_rows,kept_rows,bias_radps,bias_rows,samples,in_place_yaw_samples,moving_yaw_samples,old_rmse_radps,new_rmse_radps,delta_rmse_radps,mean_patch_delta_yaw_moment_nm,cutoff_reason,limitation
2026-04-14_16-34-17,open_floor,fit_downweighted,TestResults\mmlog_decode_2026-04-14_16-34-17\open_floor_main.csv,109232,109232,109232,-0.003665191,31338,75003,4697,10236,0.105912581,0.097649841,-0.008262740,-0.000052456,kept through final sensor-active row,
2026-04-15_01-22-20,open_floor,exclude,TestResults\mmlog_decode_2026-04-15_01-22-20\open_floor_main.csv,7484,7484,7484,-0.009773844,4463,3787,2967,0,0.086665976,0.075010663,-0.011655312,0.000006268,kept through final sensor-active row,
2026-04-15_02-09-58,open_floor,fit_downweighted,TestResults\mmlog_decode_2026-04-15_02-09-58\open_floor_main.csv,117247,117247,117247,-0.003665191,31749,81998,6180,16371,0.131853013,0.126381571,-0.005471442,0.000449629,kept through final sensor-active row,
2026-04-16_02-43-36,open_floor,validation_only,TestResults\mmlog_decode_2026-04-16_02-43-36\open_floor_main.csv,36453,36453,34837,-0.003665191,27076,8805,480,405,0.031513910,0.030399361,-0.001114549,-0.000025991,dropped final sensor-quiescent/invalid tail >= 0.25 s,
2026-04-20_02-33-07,open_floor,fit_downweighted,TestResults\mmlog_decode_2026-04-20_02-33-07\open_floor_main.csv,27971,27971,27971,-0.001221730,254,27605,273,22631,0.244044421,0.230990754,-0.013053667,0.002340528,kept through final sensor-active row,
2026-04-20_04-54-09,open_floor,fit_downweighted,TestResults\mmlog_decode_2026-04-20_04-54-09\open_floor_main.csv,137183,137183,137183,-0.001221730,28659,102216,15185,36569,0.210433389,0.207184390,-0.003248999,0.000222098,kept through final sensor-active row,
2026-04-20_08-38-39,open_floor,fit_downweighted,TestResults\mmlog_decode_2026-04-20_08-38-39\open_floor_main.csv,217867,217867,217867,-0.001221730,28493,184094,43856,87512,0.228911181,0.223503879,-0.005407302,0.000045082,kept through final sensor-active row,
2026-04-20_10-22-09,open_floor,fit_downweighted,TestResults\mmlog_decode_2026-04-20_10-22-09\open_floor_main.csv,99917,99917,99917,0.001221730,15004,88691,15215,24378,0.175460462,0.171125865,-0.004334597,-0.000125709,kept through final sensor-active row,
2026-04-20_11-47-47,open_floor,exclude,TestResults\mmlog_decode_2026-04-20_11-47-47\open_floor_main.csv,82269,82269,82269,-0.000000000,81666,31403,78,4,0.055647275,0.057449337,0.001802061,-0.000025430,kept through final sensor-active row,
2026-04-20_12-10-58,open_floor,fit_authoritative,TestResults\mmlog_decode_2026-04-20_12-10-58\open_floor_main.csv,86556,86556,86556,-0.002443461,15020,71739,6219,28273,0.165168075,0.156254648,-0.008913427,0.000621108,kept through final sensor-active row,
2026-04-20_23-05-07,open_floor,validation_only,TestResults\mmlog_decode_2026-04-20_23-05-07\open_floor_main.csv,39325,39325,39325,-0.003665191,34533,7594,2537,90,0.058254302,0.055134125,-0.003120177,-0.000300266,kept through final sensor-active row,
2026-04-21_00-16-10,open_floor,fit_authoritative,TestResults\mmlog_decode_2026-04-21_00-16-10\open_floor_main.csv,109329,109329,109329,-0.008552114,15074,95630,8153,48485,0.159117791,0.149760718,-0.009357072,0.001859441,kept through final sensor-active row,
2026-04-21_01-09-34,open_floor,fit_authoritative,TestResults\mmlog_decode_2026-04-21_01-09-34\open_floor_main.csv,101013,101013,101013,-0.006108652,15074,85605,7993,28749,0.123748904,0.117829940,-0.005918963,0.000051877,kept through final sensor-active row,
2026-04-21_02-46-49,open_floor,fit_authoritative,TestResults\mmlog_decode_2026-04-21_02-46-49\open_floor_main.csv,84984,84984,84984,-0.003665191,15074,69670,8819,16355,0.126578555,0.120337769,-0.006240786,0.000466105,kept through final sensor-active row,
2026-04-21_04-14-05,open_floor,fit_authoritative,TestResults\mmlog_decode_2026-04-21_04-14-05\open_floor_main.csv,78953,78953,78953,-0.003665191,15074,63652,8268,13937,0.110390037,0.106187981,-0.004202057,0.000483364,kept through final sensor-active row,
2026-04-21_05-32-06,open_floor,fit_authoritative,TestResults\mmlog_decode_2026-04-21_05-32-06\open_floor_main.csv,234369,234369,234369,-0.006108652,15074,220266,17069,24288,0.172914847,0.160003416,-0.012911432,0.000675496,kept through final sensor-active row,
2026-04-21_05-59-46,open_floor,fit_authoritative,TestResults\mmlog_decode_2026-04-21_05-59-46\open_floor_main.csv,100419,100419,100419,-0.004886922,15075,85122,15647,16815,0.145070738,0.135705093,-0.009365645,0.000206583,kept through final sensor-active row,
2026-04-21_23-39-12,open_floor,fit_authoritative,TestResults\mmlog_decode_2026-04-21_23-39-12\open_floor_main.csv,41476,41476,41476,-0.006108652,15023,26423,227,7825,0.183083834,0.171814223,-0.011269611,0.001469501,kept through final sensor-active row,
2026-04-22_01-06-32,open_floor,fit_authoritative,TestResults\mmlog_decode_2026-04-22_01-06-32\open_floor_main.csv,41476,41476,41476,-0.006108652,15023,26423,227,7825,0.183083834,0.171814223,-0.011269611,0.001469501,kept through final sensor-active row,
