family,forward_velocity_bin_mps,yaw_rate_bin_radps,dataset,samples,old_rmse_radps,new_rmse_radps,delta_rmse_radps,relative_delta_pct,worsened_sample_fraction,mean_patch_delta_yaw_moment_nm,rmse_patch_delta_yaw_moment_nm
competition_aux,0.40,0.00,competition_aux:0.40:0.00,19969,0.104487405,0.099853541,-0.004633863,-4.434853,0.337823627,-0.000115080,0.001528894
competition_aux,0.40,0.50,competition_aux:0.40:0.50,1647,0.268130320,0.252222347,-0.015907973,-5.932926,0.065573770,0.001712889,0.004257707
competition_aux,0.40,1.00,competition_aux:0.40:1.00,339,0.462675271,0.437217719,-0.025457552,-5.502250,0.230088496,0.002970995,0.007914964
competition_aux,0.40,1.50,competition_aux:0.40:1.50,224,0.583388941,0.558501049,-0.024887892,-4.266089,0.160714286,0.004260850,0.008024942
competition_aux,0.40,2.00,competition_aux:0.40:2.00,127,0.683294137,0.670062076,-0.013232061,-1.936510,0.094488189,0.004271256,0.006564776
competition_aux,0.50,-0.50,competition_aux:0.50:-0.50,546,0.249375346,0.228012626,-0.021362720,-8.566492,0.089743590,-0.003202849,0.005798030
competition_aux,0.50,-1.00,competition_aux:0.50:-1.00,96,0.457776720,0.425047227,-0.032729492,-7.149663,0.145833333,-0.002466568,0.008304460
competition_aux,0.50,0.00,competition_aux:0.50:0.00,1604,0.209539065,0.193978227,-0.015560838,-7.426223,0.311720698,-0.001088306,0.004481073
competition_aux,0.50,0.50,competition_aux:0.50:0.50,148,0.504507776,0.477481516,-0.027026260,-5.356956,0.135135135,-0.003951865,0.010043461
competition_aux,0.50,2.00,competition_aux:0.50:2.00,92,0.560211811,0.552914623,-0.007297188,-1.302577,0.173913043,0.001345757,0.005567263
competition_aux,0.50,3.00,competition_aux:0.50:3.00,135,0.641227319,0.631933212,-0.009294107,-1.449425,0.007407407,0.001863785,0.002583826
competition_aux,0.60,-0.50,competition_aux:0.60:-0.50,241,0.350693773,0.325875107,-0.024818666,-7.077019,0.124481328,-0.003836417,0.005948321
