name,gate_scope,reserve_yield,speed_knee_mps,util_knee,rel_weight,speed_fade_mps,force_sliding_nm,primary_rmse_nm,primary_regime_rmse_nm,validation_rmse_nm,validation_rb_rmse_nm,validation_regime_rmse_nm,forward_ge_0p5_rmse_nm,straight_rmse_nm,low_speed_yaw_rmse_nm,in_place_max_abs_command,in_place_extra_opposing_nm,score
per_patch_longitudinal,per_patch,longitudinal,0.5,0.16,0.75,0.64,0.072,0.019687071762819204,0.02572241992178476,0.028704619474715105,0.02562592653269455,0.033997162496688986,0.03137203030418362,0.013300851827602985,0.03674701495883797,0.6635749105302867,0.0685669104872026,0.0338279407170812
per_patch_longitudinal,per_patch,longitudinal,0.65,0.16,0.75,0.64,0.064,0.01986750996298893,0.025694871172762035,0.028543953606962144,0.025877241404140435,0.03405421558041442,0.03165033268000509,0.013488599314505871,0.03653139275752665,0.6191015081602886,0.06097813725931704,0.03384784263280424
per_patch_longitudinal,per_patch,longitudinal,0.65,0.16,1.0,0.64,0.072,0.01979077779816958,0.025722044754238352,0.02870122928657529,0.025804723385350076,0.03406348744859394,0.031514918616894524,0.013589037549839453,0.03669074658439503,0.6634726021434476,0.06854945297089717,0.033855631291631924
per_patch_full_yaw,per_patch,full_yaw,0.65,0.16,0.75,0.64,0.072,0.019789536144187592,0.025734532167165546,0.028661575038285987,0.025704699538430662,0.03399808906948656,0.031578391447176925,0.013459857515135686,0.036664250749974724,0.6636473559265799,0.06857927229571231,0.03387109979119074
per_patch_longitudinal,per_patch,longitudinal,0.65,0.16,0.75,0.64,0.06741675635026155,0.019843693006286744,0.025725521037616474,0.02861472596709979,0.025818290193698887,0.034043906594370815,0.03161804280569346,0.013546410196124088,0.03659455762938069,0.6381267966894463,0.06422454055991694,0.03387261811790757
per_patch_longitudinal,per_patch,longitudinal,0.65,0.16,0.75,0.64,0.072,0.019896572661633714,0.025830762179406136,0.02874673857802735,0.025772747621596297,0.034054626354087056,0.03157803532845744,0.01367196610761123,0.03673703318316323,0.6636473559265799,0.06857927229571231,0.033972930114083456
per_patch_full_yaw,per_patch,full_yaw,0.5,0.1,1.0,0.64,0.064,0.02020498833931585,0.026026615724574976,0.0290264423830709,0.026176787874423804,0.03438311607868154,0.03137660121410851,0.014510236388497081,0.03687644705651603,0.6293282607633008,0.06272319165646617,0.034171417514559405
per_patch_longitudinal,per_patch,longitudinal,0.5,0.1,1.0,0.64,0.064,0.020339245727226726,0.026125753004598934,0.02912869647345596,0.026279415003203185,0.03445874574692903,0.03137570987336296,0.014774781311062435,0.036940749004036974,0.6293282607633008,0.06272319165646617,0.03427798406029628
per_patch_full_yaw,per_patch,full_yaw,0.5,0.1,0.75,0.64,0.064,0.020319166213451742,0.026143787852673833,0.029066308728218235,0.026217630491798212,0.03439090004791655,0.03138368195903964,0.014585370889683535,0.0369499744354936,0.6295385373194181,0.06275907245295301,0.03429043015132143
per_patch_full_yaw,per_patch,full_yaw,0.5,0.1,1.0,0.64,0.06741675635026155,0.020375698818393732,0.026187332329395394,0.02920014102440558,0.026245787106801862,0.03445579473217253,0.03136981042438527,0.01483021426747209,0.03702124428635976,0.6489298662874008,0.06606793551004668,0.03433838336627044
per_patch_full_yaw,per_patch,full_yaw,0.65,0.1,1.0,0.64,0.064,0.02046338054067474,0.026181353537675717,0.029098965725540653,0.026416893634532302,0.03448247052718753,0.03157084756870135,0.01494825098557263,0.03689583591369796,0.6294448616926877,0.06274308799819231,0.03436522772569967
per_patch_longitudinal,per_patch,longitudinal,0.5,0.1,0.75,0.64,0.064,0.020459988939431063,0.02625214340767903,0.029170657810280973,0.02632119054417067,0.03446764181398853,0.031382963800526374,0.014848983476771292,0.03702198758184593,0.6295385373194181,0.06275907245295301,0.03440635215915684
per_patch_longitudinal,per_patch,longitudinal,0.5,0.1,1.0,0.64,0.06741675635026155,0.02053944109028296,0.02630680432428071,0.02931910922058423,0.026365481266721728,0.034544052919170315,0.03136943585672769,0.015129894525969323,0.03709953755860759,0.6489298662874008,0.06606793551004668,0.034466624994706895
per_patch_full_yaw,per_patch,full_yaw,0.5,0.1,0.75,0.64,0.06741675635026155,0.02050332839353565,0.02632647974282965,0.029248021785014785,0.02627479602865144,0.03446376867027391,0.03137403852090381,0.014898295485639198,0.03711591255141163,0.6491521576262187,0.06610586646362601,0.03447896238799261
per_patch_longitudinal,per_patch,longitudinal,0.65,0.1,1.0,0.64,0.064,0.020605101087975055,0.02628852314789486,0.029205413068529792,0.026522952249847912,0.0345615211511611,0.031572352523520385,0.015221329906543271,0.03696322328419218,0.6294448616926877,0.06274308799819231,0.03448052814153903
per_patch_full_yaw,per_patch,full_yaw,0.65,0.1,0.75,0.64,0.064,0.020599003760055957,0.02632157769523583,0.029143699976015142,0.02641986294476381,0.0344818519950316,0.03165173350922655,0.01504385003669512,0.036957496653193145,0.6296041821280223,0.06277027383489227,0.03451752292112297
per_patch_full_yaw,per_patch,full_yaw,0.65,0.1,1.0,0.64,0.06741675635026155,0.02062902030830376,0.02633891918789038,0.02927123933334097,0.02647318105079303,0.034551117463608554,0.0315481483646467,0.01526064760907444,0.03704328447652532,0.6490534282624819,0.06608901965829057,0.03452625318894824
per_patch_longitudinal,per_patch,longitudinal,0.5,0.1,0.75,0.64,0.06741675635026155,0.020674565635609835,0.02645650172821622,0.02936934466983609,0.02639564415708861,0.034553313031996366,0.03137383080264581,0.015197096836995667,0.0372031284793597,0.6491521576262187,0.06610586646362601,0.03461790765181273
per_patch_full_yaw,per_patch,full_yaw,0.5,0.1,1.0,0.64,0.072,0.020710873175743178,0.026478350921283447,0.029477954345117987,0.026380638382345178,0.03458562699274099,0.031363262180517666,0.015318997596758852,0.03728303414455615,0.6752234982685436,0.07055458145591613,0.034641402947635194
per_patch_longitudinal,per_patch,longitudinal,0.65,0.1,0.75,0.64,0.064,0.02074725759646362,0.026438167302717187,0.02925220780239255,0.026526952322068278,0.03456201349023361,0.0316535244944809,0.01531557512554818,0.037032530920446956,0.6296041821280223,0.06277027383489227,0.034642397325912684
per_patch_longitudinal,per_patch,longitudinal,0.65,0.1,1.0,0.64,0.06741675635026155,0.02080150379750963,0.026467849183187446,0.029395028615164246,0.0265968666449631,0.03464333808425746,0.03155059887661442,0.015570214752253328,0.03712524192930575,0.6490534282624819,0.06608901965829057,0.03466477282310536
per_patch_full_yaw,per_patch,full_yaw,0.65,0.1,0.75,0.64,0.06741675635026155,0.020777365873822205,0.02650183858560318,0.029323820901890955,0.026463824437412777,0.034550842674888504,0.03162241070783604,0.01534675618364686,0.0371265765408031,0.6492217213054957,0.0661177365468398,0.03470028445926744
per_patch_longitudinal,per_patch,longitudinal,0.5,0.1,1.0,0.64,0.072,0.020917068058661045,0.026627455150548023,0.029621007588898005,0.026525079578521966,0.03469229700370928,0.03136371924627775,0.015666775966762286,0.0373820445369791,0.6752234982685436,0.07055458145591613,0.034801242737860616
per_patch_full_yaw,per_patch,full_yaw,0.5,0.1,0.75,0.64,0.072,0.020860486433492566,0.026652232634106793,0.029539435210676784,0.026396818566099704,0.03459536232691304,0.031363959244205854,0.015378975149159263,0.03741124612809921,0.6754619062603708,0.0705952624942284,0.034816362753428975
per_patch_full_yaw,per_patch,full_yaw,0.65,0.1,1.0,0.64,0.072,0.02096211976197733,0.026631571558272706,0.02955004482079566,0.026593542335324707,0.03467749805784388,0.031522034958827015,0.015742934995103017,0.037311670301261805,0.675356397803931,0.07057725893014569,0.03482762660788115
per_patch_longitudinal,per_patch,longitudinal,0.65,0.1,0.75,0.64,0.06741675635026155,0.020957241064005584,0.026641477186605585,0.02944992661579011,0.02658879807932627,0.034644349292270914,0.031625129131612,0.015655015472762275,0.03721733411998309,0.6492217213054957,0.0661177365468398,0.03484968148557448
per_patch_longitudinal,per_patch,longitudinal,0.5,0.1,0.75,0.64,0.072,0.02107539393612022,0.026813706034537903,0.029685192989585513,0.02654274841132869,0.034703569528507054,0.031364577602103365,0.01572597810640279,0.03752088445263196,0.6754619062603708,0.0705952624942284,0.03498874962770411
per_patch_longitudinal,per_patch,longitudinal,0.65,0.1,1.0,0.64,0.072,0.02117887364357895,0.026792190919491234,0.02969881729694411,0.026742805910599982,0.03478892316164368,0.03152598686753458,0.016102510376979042,0.03741518312094587,0.675356397803931,0.07057725893014569,0.03499998126578579
per_patch_full_yaw,per_patch,full_yaw,0.65,0.1,0.75,0.64,0.072,0.021131160405943098,0.026830041922454737,0.029615972638758377,0.02657097258041086,0.034679197378450904,0.03158787782332759,0.015817796226960903,0.03742868426795294,0.6755367267204322,0.07060802957463952,0.035036143333798966
per_patch_longitudinal,per_patch,longitudinal,0.65,0.1,0.75,0.64,0.072,0.02135641951258626,0.027003112364674398,0.029767404358425585,0.026721910374837704,0.034792159781878974,0.031592077753867936,0.016176171977556334,0.037542609480432934,0.6755367267204322,0.07060802957463952,0.03522114000594249
per_patch_full_yaw,per_patch,full_yaw,0.5,0.05,1.0,0.64,0.064,0.02222595472009852,0.027442515759747006,0.03045332500444856,0.0277170882926875,0.03544054074941606,0.03139132670069054,0.017931615328206287,0.03775115152400862,0.6345520407125298,0.06361455771605547,0.03569526883979219
per_patch_longitudinal,per_patch,longitudinal,0.5,0.05,1.0,0.64,0.064,0.022409049194330514,0.027565844708552036,0.030576060478083276,0.02785716723392072,0.03553041096298307,0.03139487866719792,0.01820591341523066,0.037824109571993926,0.6345520407125298,0.06361455771605547,0.03582811760493003
per_patch_full_yaw,per_patch,full_yaw,0.5,0.05,0.75,0.64,0.064,0.022408552791571012,0.02766114521899195,0.030514953483673626,0.027769193099320598,0.0354607304613815,0.03139978083805462,0.017996207594982556,0.03791366247292357,0.634765586683002,0.06365099639304625,0.0359171853908383
per_patch_full_yaw,per_patch,full_yaw,0.65,0.05,1.0,0.64,0.064,0.022586021194177755,0.027706106860036682,0.030579234233899424,0.02800466026037267,0.03558618349269996,0.03162878948976315,0.018480734693892817,0.03780807363440536,0.6346704967435756,0.0636347706053146,0.036009043632771146
per_patch_longitudinal,per_patch,longitudinal,0.5,0.05,0.75,0.64,0.064,0.02259586497596169,0.02779134447877297,0.030639069491811742,0.02791006947051147,0.03555144030577588,0.03140340309850909,0.018269797477494305,0.037992936169303645,0.634765586683002,0.06365099639304625,0.036056998974126925
per_patch_full_yaw,per_patch,full_yaw,0.5,0.05,1.0,0.64,0.06741675635026155,0.022741686536545392,0.02784270466011554,0.030832437046340644,0.02800882331747056,0.03567154764746424,0.031394032919993375,0.01863001578373962,0.038056946953526266,0.6544480341903163,0.06700953481698145,0.03611896436286097
per_patch_longitudinal,per_patch,longitudinal,0.65,0.05,1.0,0.64,0.064,0.022777616956864363,0.027838526952949503,0.03070617929967186,0.028148768732795336,0.035679845226826976,0.03163707332474775,0.01876396703235355,0.03788381517427314,0.6346704967435756,0.0636347706053146,0.03615207247434436
per_patch_full_yaw,per_patch,full_yaw,0.65,0.05,0.75,0.64,0.064,0.02278824748530797,0.027948237556429893,0.03064535178435162,0.02802079218213695,0.03559795458194134,0.03171179141664576,0.01856137658849533,0.0379575674539939,0.6348322758745469,0.06366237598454176,0.03626480172712089
per_patch_longitudinal,per_patch,longitudinal,0.5,0.05,1.0,0.64,0.06741675635026155,0.022949625256894767,0.02798348679919248,0.030970821648910754,0.028166725069619036,0.03577356713500807,0.03139857913296312,0.018929378846077066,0.03814139688182439,0.6544480341903163,0.06700953481698145,0.03627063038263776
per_patch_full_yaw,per_patch,full_yaw,0.5,0.05,0.75,0.64,0.06741675635026155,0.02294534697925044,0.028095713777730586,0.030904397058789092,0.028051510231666143,0.035693666911391655,0.03139963438888365,0.018688448388785885,0.03825295880728788,0.6546737753882633,0.06704805444147882,0.0363750256272023
per_patch_longitudinal,per_patch,longitudinal,0.65,0.05,0.75,0.64,0.064,0.022983841240046782,0.0280874280318633,0.030773643778701766,0.028165876892661586,0.03569245067066228,0.03172016584346248,0.018843622280433403,0.03803950985932527,0.6348322758745469,0.06366237598454176,0.0364146979754489
