vf_mps,yaw_rate_radps,variant,baseline_opposing_yaw_torque_nm,extra_opposing_yaw_torque_nm,total_opposing_yaw_torque_nm,left_command,right_command,lr_delta_command,left_surface_mps,right_surface_mps,left_command_torque_nm,right_command_torque_nm,max_abs_command,command_outside_unit,contact_utilization_raw,limiter_activity_proxy,contact_projection_sensitive,low_speed_launch_sensitive,caveat
0.03,3.422222222,Baseline,0.050629211107823494,0.0,0.050629211107823494,0.48794432303577423,-0.48061204749854153,0.9685563705343158,0.174819888879485,-0.114819888879485,0.011263384558039278,-0.011263384558039278,0.48794432303577423,False,1.385959837025553,0.38595983702555303,True,False,current raw right-contact scrub approximation
0.03,3.422222222,B_stribeck,0.050629211107823494,0.06455618424322729,0.11518539535105078,0.8662707100690467,-0.858938434531814,1.7252091446008606,0.174819888879485,-0.114819888879485,0.020881786912940868,-0.020881786912940868,0.8662707100690467,False,1.385959837025553,0.38595983702555303,True,False,request-activated Stribeck scrub
0.03,3.422222222,C_combined_slip,0.050629211107823494,0.05361788184677315,0.10424709295459664,0.8021676582167832,-0.7948353826795505,1.5970030408963336,0.174819888879485,-0.114819888879485,0.019252059339014162,-0.019252059339014162,0.8021676582167832,False,1.385959837025553,0.38595983702555303,True,False,prior combined-slip surface
0.03,3.422222222,Round2_static_yield_contact,0.050629211107823494,0.00787637023388783,0.05850558134171133,0.5341031648021355,-0.5267708892649028,1.0608740540670383,0.174819888879485,-0.114819888879485,0.012436906489265431,-0.012436906489265431,0.5341031648021355,False,1.385959837025553,0.38595983702555303,True,False,static-yield plus sliding combined-slip residual
0.03,4.066666667,Baseline,0.060163283338264734,0.0,0.060163283338264734,0.5471506709888104,-0.5398183954515777,1.0869690664403882,0.20209116668077248,-0.14209116668077248,0.01268389204106479,-0.01268389204106479,0.5471506709888104,False,1.6469522741099683,0.6469522741099683,True,False,current raw right-contact scrub approximation
0.03,4.066666667,B_stribeck,0.060163283338264734,0.06435699455181491,0.12452027789007965,0.9243097226665362,-0.9169774471293035,1.8412871697958397,0.20209116668077248,-0.14209116668077248,0.02227261657935729,-0.02227261657935729,0.9243097226665362,False,1.6469522741099683,0.6469522741099683,True,False,request-activated Stribeck scrub
0.03,4.066666667,C_combined_slip,0.060163283338264734,0.05862881211012197,0.1187920954483867,0.890740164725068,-0.8834078891878353,1.7741480539129033,0.20209116668077248,-0.14209116668077248,0.02141915901936736,-0.02141915901936736,0.890740164725068,False,1.6469522741099683,0.6469522741099683,True,False,prior combined-slip surface
0.03,4.066666667,Round2_static_yield_contact,0.060163283338264734,0.0012934301326181195,0.06145671347088286,0.5547307154832262,-0.5473984399459935,1.1021291554292196,0.20209116668077248,-0.14209116668077248,0.012876603732118304,-0.012876603732118304,0.5547307154832262,False,1.6469522741099683,0.6469522741099683,True,False,static-yield plus sliding combined-slip residual
0.03,4.711111111,Baseline,0.06969735555391174,0.0,0.06969735555391174,0.6063570188499747,-0.599024743312742,1.2053817621627168,0.22936244443974252,-0.16936244443974252,0.014104399521886062,-0.014104399521886062,0.6063570188499747,False,1.9079447107893954,0.9079447107893954,True,False,current raw right-contact scrub approximation
0.03,4.711111111,B_stribeck,0.06969735555391174,0.0641310045099693,0.13382836006388105,0.982191673848448,-0.974859398311215,1.957051072159663,0.22936244443974252,-0.16936244443974252,0.023659453186099605,-0.023659453186099605,0.982191673848448,False,1.9079447107893954,0.9079447107893954,True,False,request-activated Stribeck scrub
