abs_forward_velocity_bin_mps,abs_yaw_rate_bin_radps,count,forward_positive_count,forward_negative_count,yaw_positive_count,yaw_negative_count,median_opposing_yaw_resistance_nm,trimmed_mean_opposing_yaw_resistance_nm,mad_opposing_yaw_resistance_nm,iqr_opposing_yaw_resistance_nm,median_abs_residual_additive_yaw_torque_nm
0.20,1.00,6827,4309,2518,3614,3213,-0.015066453,-0.019475419,0.044315602,0.087104390,0.047641451
0.20,1.50,3477,2091,1386,1831,1646,-0.030024085,-0.028141282,0.048772575,0.097500445,0.057266362
0.20,2.00,2614,1614,1000,1389,1225,-0.038755774,-0.035573405,0.054131415,0.107709030,0.061639372
0.20,2.50,2676,1811,865,1393,1283,-0.029060202,-0.033235061,0.052674960,0.109197142,0.057552049
0.20,3.00,2678,2082,596,1339,1339,-0.024129727,-0.034380320,0.041988115,0.094430259,0.046687627
0.20,3.50,2945,2721,224,866,2079,-0.016896105,-0.022971672,0.016299059,0.037302289,0.021585938
0.20,4.00,2415,2343,72,1130,1285,-0.014928749,-0.018188467,0.013457981,0.028036500,0.017327925
0.20,4.50,791,740,51,586,205,-0.015915665,-0.023924556,0.018969826,0.044385447,0.021282012
0.20,5.00,304,252,52,194,110,-0.023107054,-0.036349829,0.028871723,0.081095059,0.029717198
0.20,5.50,260,203,57,149,111,-0.010953734,-0.032576102,0.025754656,0.098602741,0.024420101
0.20,6.00,265,214,51,83,182,-0.007055315,-0.016159722,0.013212927,0.026714261,0.013404178
0.20,6.50,137,83,54,68,69,-0.016486834,-0.047249139,0.041345191,0.133892349,0.032165568
0.20,7.00,131,80,51,73,58,-0.080835579,-0.070938488,0.068447645,0.139957082,0.093775904
0.20,7.50,107,67,40,62,45,-0.090444259,-0.074764044,0.064524205,0.133422638,0.093699952
0.20,8.00,120,90,30,67,53,-0.100130550,-0.086699909,0.043386833,0.104438186,0.100130550
0.20,8.50,163,102,61,118,45,-0.105156075,-0.089078866,0.035420095,0.091675129,0.105156075
0.20,9.00,114,59,55,55,59,-0.114394076,-0.102423080,0.030011980,0.085244171,0.114394076
0.20,9.50,117,81,36,63,54,-0.107766443,-0.107024742,0.022437591,0.042863994,0.107766443
