forward_velocity_bin_mps,yaw_rate_bin_radps,abs_forward_velocity_bin_mps,abs_yaw_rate_bin_radps,count,median_residual_additive_yaw_torque_nm,trimmed_mean_residual_additive_yaw_torque_nm,mad_residual_additive_yaw_torque_nm,iqr_residual_additive_yaw_torque_nm,median_opposing_yaw_resistance_nm,trimmed_mean_opposing_yaw_resistance_nm,mad_opposing_yaw_resistance_nm,iqr_opposing_yaw_resistance_nm
0.00,-6.00,0.00,6.00,5122,-0.110244295,-0.105553956,0.012346621,0.027319851,-0.110244295,-0.105553956,0.012346621,0.027319851
0.00,-5.50,0.00,5.50,6048,-0.112494208,-0.109431973,0.011490829,0.024506768,-0.112494208,-0.109431973,0.011490829,0.024506768
0.00,-5.00,0.00,5.00,7066,-0.114024084,-0.110568460,0.010350582,0.022992303,-0.114024084,-0.110568460,0.010350582,0.022992303
0.00,-4.50,0.00,4.50,6586,-0.113990655,-0.110228475,0.010135821,0.022579718,-0.113990655,-0.110228475,0.010135821,0.022579718
0.00,-4.00,0.00,4.00,8449,-0.112320542,-0.105654358,0.010607677,0.026168489,-0.112320542,-0.105654358,0.010607677,0.026168489
0.00,-3.50,0.00,3.50,12047,-0.111696708,-0.103061468,0.011766739,0.031300412,-0.111696708,-0.103061468,0.011766739,0.031300412
0.00,-3.00,0.00,3.00,14239,-0.108825608,-0.090754071,0.017671211,0.061713745,-0.108825608,-0.090754071,0.017671211,0.061713745
0.00,-2.50,0.00,2.50,14825,-0.096004973,-0.061522691,0.039553204,0.123684959,-0.096004973,-0.061522691,0.039553204,0.123684959
0.00,-2.00,0.00,2.00,13282,-0.086946193,-0.045906998,0.047746155,0.171843002,-0.086946193,-0.045906998,0.047746155,0.171843002
0.00,-1.50,0.00,1.50,15055,-0.054594309,-0.026489678,0.065862192,0.207002383,-0.054594309,-0.026489678,0.065862192,0.207002383
0.00,-1.00,0.00,1.00,25280,-0.018413597,-0.008536246,0.093836302,0.209525610,-0.018413597,-0.008536246,0.093836302,0.209525610
0.00,-0.50,0.00,0.50,70577,-0.038108471,-0.024973217,0.073385787,0.184420870,-0.038108471,-0.024973217,0.073385787,0.184420870
0.00,0.00,0.00,0.00,278218,-0.000117910,-0.000963838,0.091106260,0.182535582,0.001218943,-0.001884899,0.090991582,0.166372092
0.00,0.50,0.00,0.50,65942,-0.004614510,-0.005735681,0.102540869,0.207031738,0.004614510,0.005735681,0.102540869,0.207031738
0.00,1.00,0.00,1.00,21722,0.012116989,0.003721303,0.099331218,0.208486412,-0.012116989,-0.003721303,0.099331218,0.208486412
0.00,1.50,0.00,1.50,14429,0.023187019,0.006925404,0.094582140,0.213095572,-0.023187019,-0.006925404,0.094582140,0.213095572
0.00,2.00,0.00,2.00,13185,0.047169434,0.019970516,0.075983975,0.208211371,-0.047169434,-0.019970516,0.075983975,0.208211371
0.00,2.50,0.00,2.50,14246,0.085674498,0.051575287,0.045835190,0.144534346,-0.085674498,-0.051575287,0.045835190,0.144534346
0.00,3.00,0.00,3.00,14516,0.104712344,0.078963483,0.025413054,0.094420819,-0.104712344,-0.078963483,0.025413054,0.094420819
0.00,3.50,0.00,3.50,9580,0.107019103,0.089213298,0.018446154,0.063242490,-0.107019103,-0.089213298,0.018446154,0.063242490
0.00,4.00,0.00,4.00,8534,0.110945621,0.105045770,0.012569277,0.029179408,-0.110945621,-0.105045770,0.012569277,0.029179408
0.00,4.50,0.00,4.50,7671,0.112859690,0.110368511,0.011090287,0.023645936,-0.112859690,-0.110368511,0.011090287,0.023645936
0.00,5.00,0.00,5.00,7142,0.114209571,0.111120320,0.010874006,0.022838931,-0.114209571,-0.111120320,0.010874006,0.022838931
0.00,5.50,0.00,5.50,4899,0.110942749,0.105373977,0.014062468,0.030845834,-0.110942749,-0.105373977,0.014062468,0.030845834
0.00,6.00,0.00,6.00,3170,0.108801183,0.100590919,0.015735494,0.036631265,-0.108801183,-0.100590919,0.015735494,0.036631265
0.00,6.50,0.00,6.50,2813,0.106381862,0.099574944,0.017787901,0.041121159,-0.106381862,-0.099574944,0.017787901,0.041121159
0.00,7.00,0.00,7.00,2765,0.105553383,0.099227636,0.017854847,0.039839822,-0.105553383,-0.099227636,0.017854847,0.039839822
0.00,7.50,0.00,7.50,2322,0.104433934,0.102794408,0.015472552,0.031553856,-0.104433934,-0.102794408,0.015472552,0.031553856
0.00,8.00,0.00,8.00,2022,0.095910277,0.095199521,0.016313757,0.033167277,-0.095910277,-0.095199521,0.016313757,0.033167277
0.00,8.50,0.00,8.50,1131,0.105779121,0.104420287,0.021649709,0.043550116,-0.105779121,-0.104420287,0.021649709,0.043550116
0.00,9.00,0.00,9.00,1000,0.111832460,0.111400476,0.017348973,0.034595193,-0.111832460,-0.111400476,0.017348973,0.034595193
0.00,9.50,0.00,9.50,996,0.115132795,0.114055101,0.016760911,0.033435553,-0.115132795,-0.114055101,0.016760911,0.033435553
0.00,10.00,0.00,10.00,837,0.115451255,0.114523721,0.015408724,0.030717144,-0.115451255,-0.114523721,0.015408724,0.030717144
0.00,10.50,0.00,10.50,684,0.114456606,0.113456394,0.017482991,0.035871448,-0.114456606,-0.113456394,0.017482991,0.035871448
0.00,11.00,0.00,11.00,655,0.114952577,0.113090447,0.015049322,0.030379468,-0.114952577,-0.113090447,0.015049322,0.030379468
0.00,11.50,0.00,11.50,631,0.116293300,0.115274641,0.015969761,0.031889819,-0.116293300,-0.115274641,0.015969761,0.031889819
0.00,12.00,0.00,12.00,729,0.105840701,0.087861826,0.026313077,0.070917191,-0.105840701,-0.087861826,0.026313077,0.070917191
0.00,12.50,0.00,12.50,595,0.095281210,0.061763868,0.042636716,0.155064367,-0.095281210,-0.061763868,0.042636716,0.155064367
0.00,13.00,0.00,13.00,480,0.112172966,0.098999349,0.023239097,0.048885044,-0.112172966,-0.098999349,0.023239097,0.048885044
0.00,13.50,0.00,13.50,501,0.116977413,0.116213579,0.014856473,0.029545787,-0.116977413,-0.116213579,0.014856473,0.029545787
0.00,14.00,0.00,14.00,337,0.113397660,0.113047923,0.018911481,0.037780384,-0.113397660,-0.113047923,0.018911481,0.037780384
0.00,14.50,0.00,14.50,357,0.115337425,0.116163847,0.016354208,0.033439128,-0.115337425,-0.116163847,0.016354208,0.033439128
0.00,15.00,0.00,15.00,241,0.114616576,0.106016368,0.023599863,0.049590000,-0.114616576,-0.106016368,0.023599863,0.049590000
0.00,15.50,0.00,15.50,356,0.110183197,0.097585537,0.022930150,0.046997314,-0.110183197,-0.097585537,0.022930150,0.046997314
0.00,16.00,0.00,16.00,489,0.113382305,0.102514778,0.022608211,0.045838302,-0.113382305,-0.102514778,0.022608211,0.045838302
0.00,16.50,0.00,16.50,585,0.111495594,0.111680571,0.017951374,0.035586573,-0.111495594,-0.111680571,0.017951374,0.035586573
0.00,17.00,0.00,17.00,397,0.116023690,0.115306112,0.018059126,0.035438170,-0.116023690,-0.115306112,0.018059126,0.035438170
0.00,17.50,0.00,17.50,339,0.114974522,0.115078023,0.014808514,0.030453218,-0.114974522,-0.115078023,0.014808514,0.030453218
0.00,18.00,0.00,18.00,135,0.116559134,0.114595266,0.016186002,0.032623851,-0.116559134,-0.114595266,0.016186002,0.032623851
0.00,18.50,0.00,18.50,80,0.109212905,0.063804683,0.039215269,0.197947376,-0.109212905,-0.063804683,0.039215269,0.197947376
0.00,19.00,0.00,19.00,87,0.063315685,0.022041567,0.099824154,0.201520790,-0.063315685,-0.022041567,0.099824154,0.201520790
0.00,19.50,0.00,19.50,168,-0.076726621,-0.022178333,0.028821299,0.196497896,0.076726621,0.022178333,0.028821299,0.196497896
0.00,20.00,0.00,20.00,108,-0.069996731,-0.002350682,0.050851643,0.214393563,0.069996731,0.002350682,0.050851643,0.214393563
0.10,-13.00,0.10,13.00,99,-0.125929974,-0.123471941,0.015969758,0.029132753,-0.125929974,-0.123471941,0.015969758,0.029132753
0.10,-12.50,0.10,12.50,168,-0.116426195,-0.117384187,0.014911509,0.030880025,-0.116426195,-0.117384187,0.014911509,0.030880025
0.10,-12.00,0.10,12.00,177,-0.116556805,-0.119790478,0.018182286,0.035102691,-0.116556805,-0.119790478,0.018182286,0.035102691
0.10,-11.50,0.10,11.50,248,-0.124224552,-0.124272197,0.018074438,0.035996629,-0.124224552,-0.124272197,0.018074438,0.035996629
0.10,-11.00,0.10,11.00,223,-0.120330167,-0.120918203,0.018202758,0.036193359,-0.120330167,-0.120918203,0.018202758,0.036193359
0.10,-10.50,0.10,10.50,171,-0.125602428,-0.126751775,0.021718188,0.046403092,-0.125602428,-0.126751775,0.021718188,0.046403092
