step_id,amplitude,direction,direction_sign,repeat_index,split,quality_class,pre_filtered_std_radps,pre_highpass_std_radps,pre_encoder_max_mps,command_encoder_max_mps,response_delay_ms,initial_accel_radps2,peak_accel_radps2,peak_yaw_rate_radps,peak_sample,steady_yaw_rate_radps,command_area_rad,t63_ms,rise_10_90_ms,recovery_tau37_ms,recovery_last50_radps,imu_temp_mean,quality_flags
37,0.55,CW,1,9,train,twitch_static_bristle,0.009259086,0.013879134,0.000000000,0.088081986,4.000,131.044957372,185.945834611,1.455152153,22,0.053598771,0.061047613,nan,nan,nan,0.000083840,-7840.320,twitch_only
38,0.55,CCW,-1,9,train,twitch_static_bristle,0.010515633,0.015650965,0.000000000,0.082209855,4.000,117.271298817,165.136444050,1.102791586,19,0.027556689,0.041113254,nan,nan,nan,-0.000237772,-7839.783,twitch_only
39,0.55,CW,1,10,validation,twitch_static_bristle,0.009518174,0.014167942,0.000000000,0.082209855,4.000,132.571111561,184.452695326,1.481133291,21,0.047259328,0.075323731,nan,nan,nan,-0.000540991,-7836.466,twitch_only
40,0.55,CCW,-1,10,validation,twitch_static_bristle,0.011733912,0.017548316,0.005872133,0.082209855,5.000,108.913939623,153.412334077,1.021364971,22,0.004650562,0.048992818,nan,nan,nan,0.000361793,-7831.771,twitch_only
41,0.60,CW,1,1,train,transitional,0.009821816,0.014696572,0.000000000,0.111570515,4.000,142.055515944,182.428714737,1.741295217,27,0.347035632,0.175807315,5.366,2.946,5.000,-0.000295998,-7830.409,
42,0.60,CCW,-1,1,train,transitional,0.010865089,0.016201479,0.000000000,0.076337725,4.000,126.967624917,162.198139580,1.260148708,21,0.131760343,0.093000554,nan,nan,4.000,0.000218102,-7821.206,
43,0.60,CW,1,2,train,transitional,0.009421224,0.014319574,0.005872133,0.088081986,4.000,136.844546911,167.713883838,1.696384329,38,0.245556170,0.166576333,4.591,2.719,4.000,-0.000724704,-7833.143,
44,0.60,CCW,-1,2,train,transitional,0.011863702,0.018245712,0.000000000,0.088081986,4.000,128.119723949,162.234917104,1.240822034,24,0.129859503,0.096801478,nan,nan,4.000,-0.000070756,-7820.417,
45,0.60,CW,1,3,validation,transitional,0.010950553,0.016600889,0.000000000,0.093954124,4.000,147.891915216,187.531967978,1.866489422,35,0.360726141,0.212637093,5.425,2.861,5.000,-0.001380164,-7824.886,
46,0.60,CCW,-1,3,validation,transitional,0.011305309,0.018037170,0.000000000,0.111570515,4.000,144.250680009,214.607017642,1.556269235,29,0.479392903,0.200418188,5.888,4.251,6.000,0.000765684,-7814.360,
47,0.60,CW,1,4,train,transitional,0.008724877,0.013805230,0.005872133,0.170291841,4.000,132.235214191,176.339694239,2.180526529,25,0.672923529,0.332178501,7.155,4.858,5.000,-0.000673510,-7814.234,wheel_motion
48,0.60,CCW,-1,4,train,transitional,0.008497464,0.013967001,0.005872133,0.117442653,3.000,158.154758670,182.123694270,1.973637398,26,0.874937170,0.436493273,6.662,4.668,8.000,0.000132352,-7809.123,
