vf_mps,yaw_rate_radps,variant,baseline_opposing_yaw_torque_nm,extra_opposing_yaw_torque_nm,total_opposing_yaw_torque_nm,required_applied_bank_torque_nm,left_command,right_command,lr_delta_command,max_abs_command,hard_gate_min_abs_command,hard_gate_pass,command_outside_unit,contact_utilization_raw,limiter_activity_proxy
0.03,2.777777778,Baseline,0.041095138892176496,0.0,0.041095138892176496,0.006122877077218002,0.42873797517460993,-0.4214056996373772,0.850143674811987,0.42873797517460993,0.4214056996373772,False,False,1.124967400346126,0.12496740034612608
0.03,2.777777778,B_stribeck,0.041095138892176496,0.0647217112790231,0.1058168501711996,0.01576594175765141,0.8080344202455915,-0.8007021447083587,1.6087365649539502,0.8080344202455915,0.8007021447083587,True,False,1.124967400346126,0.12496740034612608
0.03,2.777777778,C_combined_slip,0.041095138892176496,0.046307921677750795,0.08740306056992729,0.013022420910814474,0.7001218697578964,-0.6927895942206636,1.3929114639785598,0.7001218697578964,0.6927895942206636,True,False,1.124967400346126,0.12496740034612608
0.03,2.777777778,Round2_force_contact_surface,0.041095138892176496,0.05393096351578377,0.09502610240796026,0.014158198751868363,0.7447961005941012,-0.7374638250568684,1.4822599256509696,0.7447961005941012,0.7374638250568684,True,False,1.124967400346126,0.12496740034612608
0.03,3.422222222,Baseline,0.050629211107823494,0.0,0.050629211107823494,0.007543384558039277,0.48794432303577423,-0.48061204749854153,0.9685563705343158,0.48794432303577423,0.48061204749854153,False,False,1.385959837025553,0.38595983702555303
0.03,3.422222222,B_stribeck,0.050629211107823494,0.06455618424322729,0.11518539535105078,0.017161786912940867,0.8662707100690467,-0.858938434531814,1.7252091446008606,0.8662707100690467,0.858938434531814,True,False,1.385959837025553,0.38595983702555303
0.03,3.422222222,C_combined_slip,0.050629211107823494,0.05361788184677315,0.10424709295459664,0.015532059339014161,0.8021676582167832,-0.7948353826795505,1.5970030408963336,0.8021676582167832,0.7948353826795505,True,False,1.385959837025553,0.38595983702555303
0.03,3.422222222,Round2_force_contact_surface,0.050629211107823494,0.04153053375205251,0.092159744859876,0.013731132305583225,0.7313307153723967,-0.723998439835164,1.4553291552075607,0.7313307153723967,0.723998439835164,True,False,1.385959837025553,0.38595983702555303
0.03,4.066666667,Baseline,0.060163283338264734,0.0,0.060163283338264734,0.008963892041064788,0.5471506709888104,-0.5398183954515777,1.0869690664403882,0.5471506709888104,0.5398183954515777,False,False,1.6469522741099683,0.6469522741099683
0.03,4.066666667,B_stribeck,0.060163283338264734,0.06435699455181491,0.12452027789007965,0.01855261657935729,0.9243097226665362,-0.9169774471293035,1.8412871697958397,0.9243097226665362,0.9169774471293035,True,False,1.6469522741099683,0.6469522741099683
