forward_velocity_bin_mps,yaw_rate_bin_radps,abs_yaw_rate_bin_radps,count,median_residual_additive_yaw_torque_nm,median_opposing_yaw_resistance_nm,trimmed_mean_opposing_yaw_resistance_nm,mad_opposing_yaw_resistance_nm,iqr_opposing_yaw_resistance_nm
0.00,-13.00,13.00,163,-0.109616256,-0.109616256,-0.110168706,0.014256772,0.026706946
0.00,-12.50,12.50,219,-0.110770640,-0.110770640,-0.109495339,0.014719529,0.028432838
0.00,-12.00,12.00,302,-0.112776808,-0.112776808,-0.112976700,0.014643083,0.028325219
0.00,-11.50,11.50,213,-0.110769831,-0.110769831,-0.112647521,0.013022146,0.026121517
0.00,-11.00,11.00,229,-0.110890118,-0.110890118,-0.109898141,0.013838020,0.028121671
0.00,-10.50,10.50,232,-0.113647128,-0.113647128,-0.111995366,0.014748963,0.030559536
0.00,-10.00,10.00,330,-0.112403880,-0.112403880,-0.112080481,0.018028416,0.036033154
0.00,-9.50,9.50,397,-0.110701155,-0.110701155,-0.112762062,0.014154084,0.029903334
0.00,-9.00,9.00,382,-0.110371633,-0.110371633,-0.110674501,0.015015630,0.029919578
0.00,-8.50,8.50,427,-0.110230940,-0.110230940,-0.110431533,0.012627315,0.025244163
0.00,-8.00,8.00,340,-0.108138073,-0.108138073,-0.108107637,0.015737581,0.031629693
0.00,-7.50,7.50,302,-0.107584910,-0.107584910,-0.107840383,0.014562372,0.028983961
0.00,-7.00,7.00,368,-0.090348901,-0.090348901,-0.063674365,0.030184766,0.137347604
0.00,-6.50,6.50,603,-0.078700980,-0.078700980,-0.037540552,0.054694014,0.161616065
0.00,-6.00,6.00,619,-0.093702883,-0.093702883,-0.053170950,0.028098443,0.169351301
0.00,-5.50,5.50,824,-0.101644390,-0.101644390,-0.079435631,0.019755805,0.053506370
0.00,-5.00,5.00,918,-0.091817759,-0.091817759,-0.058184946,0.027751879,0.181758187
0.00,-4.50,4.50,1076,-0.090437674,-0.090437674,-0.050179162,0.031817974,0.195196810
0.00,-4.00,4.00,1803,-0.081692918,-0.081692918,-0.042342611,0.040728525,0.194352904
0.00,-3.50,3.50,3425,-0.091622723,-0.091622723,-0.067340559,0.034410058,0.096202015
0.00,-3.00,3.00,5072,-0.086012303,-0.086012303,-0.059947958,0.049106624,0.127757491
0.00,-2.50,2.50,6018,-0.044247547,-0.044247547,-0.031536476,0.087514129,0.204887433
0.00,-2.00,2.00,4864,-0.017462268,-0.017462268,-0.006462968,0.112337339,0.206521370
0.00,-1.50,1.50,4483,0.059938731,0.059938731,0.022775017,0.061346130,0.173534691
0.00,-1.00,1.00,7313,0.064846323,0.064846323,0.028790870,0.059835139,0.185066026
0.00,-0.50,0.50,14340,0.088103474,0.088103474,0.045603736,0.039860798,0.165840673
0.00,0.00,0.00,102966,0.036577922,0.085377416,0.033438553,0.043722615,0.209291913
0.00,0.50,0.50,14486,-0.083437663,0.083437663,0.039591156,0.045479789,0.165128354
0.00,1.00,1.00,6623,-0.097070209,0.097070209,0.055408717,0.029057245,0.159647449
0.00,1.50,1.50,5430,-0.093459528,0.093459528,0.047585494,0.030031542,0.160428355
0.00,2.00,2.00,5339,-0.052397532,0.052397532,0.025084283,0.063113338,0.171039673
