model,req_activation_nm,stribeck_speed_mps,speed_fade_mps,rel_weight,tau_fill_s,bristle_slip_distance_m,beta_bristle_static_nm,beta_bristle_sliding_nm,beta_bristle_viscous_nm_per_mps,beta_scale_to_gate,fixedpoint_extra_nm,weighted_train_rmse_nm,primary_corrected_rmse_nm,validation_corrected_rmse_nm,objective_score_nm
memoryless_equilibrium,0.05,0.14,0.64,0.75,0.02,0.03,0.0,0.07107480881741636,0.0,0.8773940611344573,0.0650133592067851,0.024882414631415245,0.028897538296828756,0.04877628170227871,0.033094728080914466
memoryless_equilibrium,0.05,0.1,0.64,0.75,0.12,0.08,0.0,0.07172523283407903,0.0,0.8564470956403459,0.06501335920678508,0.025165841912602405,0.029202744328498155,0.04875387530292647,0.03327683810916739
memoryless_equilibrium,0.05,0.14,0.64,0.75,0.12,0.08,0.0,0.07172523283407903,0.0,0.8564470956403459,0.06501335920678508,0.025165841912602405,0.029202744328498155,0.04875387530292647,0.03327683810916739
memoryless_equilibrium,0.05,0.1,0.64,0.75,0.05,0.03,0.0,0.07185531763741157,0.0,0.8532183649251303,0.06501335920678508,0.025216261727480524,0.02926001695986164,0.048752730312808766,0.03331054588676075
memoryless_equilibrium,0.05,0.14,0.64,0.75,0.05,0.03,0.0,0.07185531763741157,0.0,0.8532183649251303,0.06501335920678508,0.025216261727480524,0.02926001695986164,0.048752730312808766,0.03331054588676075
memoryless_equilibrium,0.035,0.1,0.64,0.75,0.12,0.03,0.0,0.0682874256692355,0.0,0.9023370306612388,0.06501335920678508,0.02523235446086604,0.029497478956920908,0.04882157337722893,0.033341041425582474
memoryless_equilibrium,0.035,0.14,0.64,0.75,0.12,0.03,0.0,0.0682874256692355,0.0,0.9023370306612388,0.06501335920678508,0.02523235446086604,0.029497478956920908,0.04882157337722893,0.033341041425582474
memoryless_equilibrium,0.05,0.1,0.64,0.75,0.02,0.01,0.0,0.07211548724407664,0.0,0.8474254497450554,0.0650133592067851,0.02531192560600233,0.029370548972412567,0.048752516593621134,0.03337539777718172
memoryless_equilibrium,0.05,0.14,0.64,0.75,0.02,0.01,0.0,0.07211548724407664,0.0,0.8474254497450553,0.0650133592067851,0.02531192560600233,0.029370548972412567,0.048752516593621134,0.03337539777718172
memoryless_equilibrium,0.035,0.1,0.64,0.75,0.05,0.01,0.0,0.0690108440522529,0.0,0.8903914579799539,0.06501335920678508,0.025393521508161782,0.029699709923275967,0.048833705310507736,0.03345603042056028
memoryless_equilibrium,0.035,0.14,0.64,0.75,0.05,0.01,0.0,0.0690108440522529,0.0,0.8903914579799539,0.06501335920678508,0.025393521508161782,0.029699709923275967,0.048833705310507736,0.03345603042056028
memoryless_equilibrium,0.05,0.1,0.64,0.75,0.12,0.03,0.0,0.07367650488406705,0.0,0.8243004617643456,0.0650133592067851,0.02577877217467779,0.02993519837176588,0.04877998647198242,0.03370493600143603
memoryless_equilibrium,0.05,0.14,0.64,0.75,0.12,0.03,0.0,0.07367650488406705,0.0,0.8243004617643455,0.0650133592067851,0.02577877217467779,0.02993519837176588,0.04877998647198242,0.03370493600143603
memoryless_equilibrium,0.05,0.1,0.64,0.75,0.05,0.01,0.0,0.07445701370406226,0.0,0.8170949312107842,0.06501335920678508,0.025964196264801776,0.030167193929981535,0.048800230244436055,0.03384014209614027
memoryless_equilibrium,0.05,0.14,0.64,0.75,0.05,0.01,0.0,0.07445701370406226,0.0,0.8170949312107842,0.06501335920678508,0.025964196264801776,0.030167193929981535,0.048800230244436055,0.03384014209614027
memoryless_equilibrium,0.035,0.1,0.64,0.75,0.12,0.01,0.0,0.07291956970109892,0.0783188496458144,0.8514659605428144,0.06501335920678508,0.026189723580465653,0.030673804070131205,0.048941173969649594,0.03404452075420184
memoryless_equilibrium,0.035,0.14,0.64,0.75,0.12,0.01,0.0,0.07291956970109995,0.07831884964574483,0.8514659605427809,0.06501335920678508,0.026189723580465667,0.030673804070131247,0.04894117396964958,0.03404452075420184
memoryless_equilibrium,0.05,0.1,0.64,0.75,0.12,0.01,0.0,0.07828053629635617,0.11118909475745735,0.8002612732461246,0.06501335920678508,0.026797619059343202,0.03119318028742487,0.04893539719074838,0.03446600558583695
memoryless_equilibrium,0.05,0.14,0.64,0.75,0.12,0.01,0.0,0.07828053629636417,0.11118909475691631,0.8002612732459192,0.0650133592067851,0.026797619059343317,0.03119318028742516,0.04893539719074832,0.03446600558583702
state_minimal_lugre,0.035,0.1,0.64,0.75,0.005,0.08,0.0019124673305489883,0.06354976039272942,0.0,0.9943819039816882,0.06501335920678508,0.024835929929910697,0.029042347215187912,0.049127921756441165,0.03319521395518103
state_minimal_lugre,0.035,0.14,0.64,0.75,0.005,0.08,0.0,0.0654389657861045,0.0,1.0032377480186738,0.06501335920678508,0.024837060214784226,0.02905617232048071,0.04915889281272008,0.033207874802009735
state_minimal_lugre,0.035,0.1,0.64,0.75,0.005,0.03,0.0006314578346925485,0.0648905446517476,0.0,0.9944836254473918,0.06501335920678508,0.024855877712539765,0.02906575279535837,0.04913038170681027,0.03320876688063559
state_minimal_lugre,0.035,0.14,0.64,0.75,0.005,0.03,0.0,0.06551432186766881,0.0,0.9973213165913327,0.06501335920678508,0.02485573159926293,0.02906935900385008,0.049140099399936056,0.03321238918773569
state_minimal_lugre,0.035,0.1,0.64,0.75,0.005,0.01,0.0,0.06575546132867462,0.0,0.9809291198944537,0.06501335920678508,0.024918743838357443,0.029124369529781185,0.0490904643600513,0.03323392513229136
state_minimal_lugre,0.035,0.14,0.64,0.75,0.005,0.01,0.0,0.06575546132867462,0.0,0.980929119894454,0.06501335920678508,0.024918743838357443,0.029124369529781185,0.0490904643600513,0.03323392513229136
