objective,rank,score,current_score,score_delta_vs_current_pct,velocity_kp,velocity_kd,heading_kp,heading_kd,yawrate_kp,yawrate_kd
balanced,68,153.6624904069953,11003.806160604321,-98.60355146061065,5.5,0.01,300.0,24.0,54.0,5.0
balanced,69,153.73512428242557,11003.806160604321,-98.60289138104935,5.5,0.01,300.0,0.0,60.0,5.0
balanced,70,153.7444047086226,11003.806160604321,-98.60280704272077,5.5,0.01,600.0,48.0,48.0,5.0
balanced,71,154.06804841244855,11003.806160604321,-98.59986584492881,5.5,0.01,300.0,48.0,66.0,5.0
balanced,72,154.09156544063936,11003.806160604321,-98.59965212771272,5.5,0.01,300.0,96.0,72.0,5.0
balanced,73,154.13752316181152,11003.806160604321,-98.59923447476153,5.5,0.01,450.0,80.0,54.0,5.0
balanced,74,154.29981372057065,11003.806160604321,-98.59775961636808,5.5,0.01,300.0,8.0,36.0,5.0
balanced,75,154.30928716155339,11003.806160604321,-98.59767352396656,5.5,0.01,600.0,64.0,36.0,5.0
balanced,76,154.67299680532997,11003.806160604321,-98.5943682163442,5.5,0.01,300.0,16.0,54.0,5.0
balanced,77,154.82088910526204,11003.806160604321,-98.59302420593748,5.5,0.01,450.0,96.0,54.0,5.0
balanced,78,154.87081793190356,11003.806160604321,-98.59257046451462,5.5,0.01,300.0,0.0,42.0,5.0
balanced,79,154.9404032703771,11003.806160604321,-98.59193808933956,5.5,0.01,300.0,32.0,66.0,5.0
balanced,80,155.00355483897246,11003.806160604321,-98.59136418275057,5.5,0.01,450.0,32.0,36.0,5.0
balanced,81,155.0356120994829,11003.806160604321,-98.59107285391359,5.5,0.01,450.0,24.0,42.0,5.0
balanced,82,155.0743888012859,11003.806160604321,-98.59072046037596,5.5,0.01,450.0,32.0,60.0,5.0
balanced,83,155.4603888006565,11003.806160604321,-98.5872125832493,5.5,0.01,300.0,80.0,72.0,5.0
balanced,84,155.50758323446553,11003.806160604321,-98.5867836913448,5.5,0.01,450.0,16.0,48.0,5.0
balanced,85,155.5789113177211,11003.806160604321,-98.5861354785154,5.5,0.01,300.0,64.0,72.0,5.0
balanced,86,155.61843906603752,11003.806160604321,-98.58577625964386,5.5,0.01,300.0,24.0,66.0,5.0
balanced,87,155.6501470281484,11003.806160604321,-98.58548810514853,5.5,0.01,450.0,64.0,54.0,5.0
balanced,88,156.27702559235507,11003.806160604321,-98.57979118032944,5.5,0.01,300.0,8.0,54.0,5.0
balanced,89,156.30381858665416,11003.806160604321,-98.57954769190455,5.5,0.01,300.0,16.0,66.0,5.0
balanced,90,156.51988227730914,11003.806160604321,-98.57758415594706,5.5,0.01,450.0,48.0,54.0,5.0
balanced,91,156.62645351980066,11003.806160604321,-98.57661566158306,5.5,0.01,600.0,80.0,60.0,5.0
balanced,92,156.67429754659156,11003.806160604321,-98.57618086633046,5.5,0.01,450.0,24.0,60.0,5.0
balanced,93,156.7184822470081,11003.806160604321,-98.57577932617453,5.5,0.01,600.0,48.0,42.0,5.0
balanced,94,156.9107168579687,11003.806160604321,-98.57403234328375,5.5,0.01,300.0,48.0,72.0,5.0
balanced,95,157.09880470042268,11003.806160604321,-98.57232304524896,5.5,0.01,300.0,8.0,66.0,5.0
balanced,96,157.48879553487592,11003.806160604321,-98.56877890035254,5.5,0.01,450.0,80.0,66.0,5.0
balanced,97,157.56504615335405,11003.806160604321,-98.56808595268184,5.5,0.01,450.0,64.0,66.0,5.0
balanced,98,157.68048888100535,11003.806160604321,-98.56703683634913,5.5,0.01,300.0,32.0,72.0,5.0
balanced,99,157.6947215965091,11003.806160604321,-98.56690749278113,5.5,0.01,600.0,64.0,60.0,5.0
balanced,100,157.96245114036907,11003.806160604321,-98.56447442971229,5.5,0.01,450.0,96.0,66.0,5.0
launch_focused,1,135.00508938816083,6445.56738714428,-97.9054584138329,5.5,0.01,300.0,96.0,48.0,5.0
launch_focused,2,135.5426967696646,6445.56738714428,-97.89711768369678,5.5,0.01,300.0,80.0,48.0,5.0
launch_focused,3,136.0558441785735,6445.56738714428,-97.88915643873435,5.5,0.01,300.0,96.0,42.0,5.0
launch_focused,4,136.14233806248254,6445.56738714428,-97.88781452608781,5.5,0.01,300.0,64.0,48.0,5.0
launch_focused,5,136.70947726912024,6445.56738714428,-97.87901562332917,5.5,0.01,300.0,48.0,48.0,5.0
launch_focused,6,136.8447910322749,6445.56738714428,-97.87691629281213,5.5,0.01,300.0,80.0,42.0,5.0
launch_focused,7,137.3215337235525,6445.56738714428,-97.86951985022387,5.5,0.01,300.0,64.0,42.0,5.0
launch_focused,8,137.5252844426962,6445.56738714428,-97.86635875195422,5.5,0.01,300.0,32.0,48.0,5.0
