stage,parameter_field,parameter_value_kind,parameter_value,launch_command_signature,count,finite_count,nonfinite_count,rms_nis,sqrt_mean_nis,accepted_count,rejected_count,rejected_rate,accepted_only_rms_nis,physical_residual_rms,segment_count
SEC_30_STRAIGHT,straight_speed_mps,legacy_straight_speed_bin_mps,0.55,"pair=1,1;mag=0.23121;linear=0.550000011921;yaw=-0.0882160365582",3785,3785,0,77.673342335,5.3977364925,3563,222,0.0586525759577,76.6850372655,5.55652880364,1
SEC_30_STRAIGHT,straight_speed_mps,legacy_straight_speed_bin_mps,0.55,"pair=1,1;mag=0.2346015;linear=0.550000011921;yaw=-0.122415099293",3610,3610,0,74.6990944913,5.38519120337,3438,172,0.0476454293629,74.0446927438,5.50659495753,1
SEC_30_STRAIGHT,straight_speed_mps,legacy_straight_speed_bin_mps,0.55,"pair=1,1;mag=0.237663;linear=0.550000011921;yaw=-0.0940739512444",3725,3725,0,108.287721132,6.01030494285,3553,172,0.0461744966443,107.73600512,5.9634409098,1
SEC_40_YAW,yaw_rate_radps,legacy_yaw_rate_bin_radps,9,"pair=-1,1;mag=0.657667;linear=0;yaw=0",12145,12145,0,3522.10384382,43.0564264407,11355,790,0.0650473445862,3642.38559085,42.3568255943,1
SEC_40_YAW,yaw_rate_radps,legacy_yaw_rate_bin_radps,9,"pair=0.471501,-0.471581;mag=0.471568;linear=0;yaw=13.404176712",56270,56270,0,9.54245119431,1.936806751,56108,162,0.00287897636396,7.9040290298,1.31529183634,1
SEC_40_YAW,yaw_rate_radps,legacy_yaw_rate_bin_radps,9,"pair=1,-1;mag=0.336708;linear=0;yaw=9",22020,22020,0,4391.95491999,51.1434176166,20855,1165,0.052906448683,4512.65606504,50.0052882901,1
SEC_50_SMOOTH,smooth_speed_mps,legacy_smooth_speed_bin_mps,0.4,"pair=0,0;mag=0.2000185;linear=0.40000000596;yaw=-12.9624204636",1100,1100,0,1713.40106668,31.5213223196,1027,73,0.0663636363636,1772.63303139,29.7587590149,1
launch,drive_command_bin,logged_drive_command_bin,-0.25,"pair=-0.24,-0.24;linear=-0.24;yaw=0",11250,11250,0,27.4577434546,3.85485598212,10466,784,0.0696888888889,19.4493866838,4.30276711167,9
launch,drive_command_bin,logged_drive_command_bin,-0.3,"pair=-0.3,-0.3;linear=-0.3;yaw=0",11250,11250,0,22.8277741653,3.64180125733,10656,594,0.0528,17.2536137128,4.01093584248,9
launch,drive_command_bin,logged_drive_command_bin,-0.35,"pair=-0.34,-0.34;linear=-0.34;yaw=0",11250,11250,0,18.9139369645,3.42799564921,10803,447,0.0397333333333,15.0302055398,3.75233377085,9
