candidate,mode,speed_knee_mps,util_knee,alpha,primary_corrected_rmse_nm,validation_corrected_rmse_nm,validation_rb_corrected_rmse_nm,straight_forward_corrected_rmse_nm,mean_blend,validation_mean_blend,in_place_left_command,in_place_right_command,in_place_max_abs_command,in_place_extra_opposing_nm,in_place_blend_gate,passes_in_place_0p6,selected
positive_launch_overlay,positive_launch_overlay,0.13,0.85,0.5,0.023667005896485026,0.03018408957367723,0.028755910670052145,0.012891296105409495,0.009955618056091456,0.007425844146793842,0.4297656085275537,-0.4297656085275537,0.4297656085275537,0.02867057521904869,0.2134059256978067,False,False
speed_force_partition_squared,speed_force_partition_squared,0.025,0.6,1.25,0.023836085553029757,0.030165735765400867,0.028756399596573407,0.012950371972359907,0.004700610153944296,0.0040882760473902125,0.4771946677457837,-0.4771946677457837,0.4771946677457837,0.03676369055627131,0.3789967211410644,False,False
speed_force_partition,speed_force_partition,0.025,0.6,0.5,0.023856645325617588,0.030165128491234556,0.02875675070554264,0.012951251305758995,0.005461738948727265,0.005048854250837853,0.4407536961296014,-0.4407536961296014,0.4407536961296014,0.03054554094184965,0.2517690346528315,False,False
speed_force_partition,speed_force_partition,0.5,1.2,0.5,0.023757671326241087,0.03020000381017628,0.02875680006064212,0.012964594849427363,0.010504332802686013,0.008977704831448963,0.4079329760282835,-0.4079329760282835,0.4079329760282835,0.024945137357867714,0.13718086364165513,False,False
positive_launch_overlay,positive_launch_overlay,0.025,0.6,0.5,0.02385731224079236,0.03016595391946235,0.02875707981423611,0.012950852975137988,0.005461738948727265,0.005048854250837853,0.4407536961296014,-0.4407536961296014,0.4407536961296014,0.03054554094184965,0.2517690346528315,False,False
speed_force_partition,speed_force_partition,0.06,1.2,1.0,0.02372514380976155,0.030165671127469568,0.028757464540096655,0.012921992815624688,0.007427283682342629,0.005694547383467462,0.44467841678478187,-0.44467841678478187,0.44467841678478187,0.03121524043520468,0.26547155428733643,False,False
positive_launch_overlay,positive_launch_overlay,0.06,1.2,1.0,0.02372776819395834,0.03016954398741988,0.028758699188045203,0.012919622475867963,0.007427283682342629,0.005694547383467462,0.44467841678478187,-0.44467841678478187,0.44467841678478187,0.03121524043520468,0.26547155428733643,False,False
speed_force_partition_squared,speed_force_partition_squared,0.04,0.6,1.0,0.023779699736625894,0.0301691935264861,0.02876100942896398,0.012937552542418827,0.005575975104289679,0.0044293204020807225,0.46510975725524323,-0.46510975725524323,0.46510975725524323,0.034701567122830665,0.3368042346365037,False,False
positive_launch_overlay,positive_launch_overlay,0.5,1.2,0.5,0.02379427128692852,0.030240721578938375,0.028763358312515013,0.012906208334562163,0.010504332802686013,0.008977704831448963,0.4079329760282835,-0.4079329760282835,0.4079329760282835,0.024945137357867714,0.13718086364165513,False,False
speed_force_partition_squared,speed_force_partition_squared,0.18,0.85,1.25,0.023741908047910952,0.030204768468696037,0.028763753728064084,0.01292702143130936,0.008993260187852273,0.007977142098944127,0.4345617708869127,-0.4345617708869127,0.4345617708869127,0.0294889742299112,0.2301509413749471,False,False
