model,group,rows,runs,coverage_fraction,baseline_rmse_nm,corrected_rmse_nm,rmse_delta_nm,rmse_improvement_fraction,baseline_mae_nm,corrected_mae_nm,mae_delta_nm,baseline_median_abs_nm,corrected_median_abs_nm,median_residual_before_nm,median_residual_after_nm
expanded_signed_bin_lookup,selected_run:2026-04-21_05-32-06:all,8880,1,0.10427927927927928,0.04258417382836225,0.04832928493941844,0.005745111111056189,-0.13491188379542507,0.036559892826801804,0.0399296650195946,0.0033697721927927957,0.034704941,0.0361455845,0.0121550075,0.012344405499999999
expanded_signed_bin_lookup,selected_run:2026-04-21_05-32-06:phase:entry,1454,1,0.24140302613480055,0.04715130695517243,0.05908007204266743,0.011928765087494998,-0.25298906558063994,0.03970754188033012,0.048204018291609356,0.008496476411279236,0.037709093,0.043245017999999996,0.0060587535,0.0075193565
expanded_signed_bin_lookup,selected_run:2026-04-21_05-32-06:phase:plateau,5405,1,0.02960222016651249,0.041506384630631964,0.04261822502718918,0.0011118403965572135,-0.02678721373715276,0.03627959654412581,0.0369059467933395,0.0006263502492136891,0.034642135,0.034964221,0.015352418,0.015295829
expanded_signed_bin_lookup,selected_run:2026-04-21_05-32-06:phase:exit,2021,1,0.2053438891637803,0.04196362963145083,0.053796480418944165,0.011832850787493333,-0.28197872518217215,0.03504495946907472,0.04206340443344878,0.007018444964374065,0.033172364,0.034706966,0.006846222,0.006960109
expanded_signed_bin_lookup,selected_run:2026-04-21_00-16-10:all,3757,1,0.4846952355602875,0.039823975586254654,0.04950499831848901,0.009681022732234354,-0.2430953361566388,0.02832533189938781,0.03575642451716795,0.00743109261778014,0.019252263,0.022378243,0.008941154,0.002622901
expanded_signed_bin_lookup,selected_run:2026-04-21_00-16-10:phase:entry,974,1,0.6540041067761807,0.048156574858289905,0.05853276275784596,0.010376187899556057,-0.21546773062847624,0.03637249639938399,0.044687737169404516,0.008315240770020528,0.028694714,0.0338295965,0.013506823000000001,0.0015485554999999963
expanded_signed_bin_lookup,selected_run:2026-04-21_00-16-10:phase:plateau,1530,1,0.1954248366013072,0.026408750147834028,0.03211004254497005,0.005701292397136019,-0.21588649084945888,0.017278139066666667,0.020585015896078432,0.0033068768294117652,0.011087462999999999,0.0117837945,0.002903659,0.000430567
expanded_signed_bin_lookup,selected_run:2026-04-21_00-16-10:phase:exit,1253,1,0.7063048683160414,0.04583702755741638,0.05853306796077214,0.012696040403355757,-0.27698219277967895,0.03555938362410216,0.04733915130646449,0.01177976768236233,0.028568378,0.041230308,0.02027721,0.012742861999999999
expanded_signed_bin_lookup,selected_run:2026-04-20_12-10-58:all,2925,1,0.36376068376068377,0.04035482301988178,0.04758297117142768,0.007228148151545898,-0.1791148519715915,0.027066004325470086,0.032570209830427355,0.005504205504957269,0.015359407,0.016951394,0.003674954,0.000663762
expanded_signed_bin_lookup,selected_run:2026-04-20_12-10-58:phase:entry,729,1,0.5871056241426612,0.050611358541933486,0.06154053505253819,0.010929176510604703,-0.21594315634798567,0.038601788481481485,0.048204859794238684,0.0096030713127572,0.02999872,0.040815322,0.007373373,-0.004523737
