model,forward_velocity_cell_mps,yaw_rate_cell_radps,vbar_rel_cell_mps,median_residual_additive_nm,count
vf_yaw_vbar_kernel_cell_surface,0.0,0.5,0.125,0.044819529,11
vf_yaw_vbar_kernel_cell_surface,0.1,0.0,0.225,-0.020841102,12
vf_yaw_vbar_kernel_cell_surface,-0.1,0.0,0.1,-0.016862109,17
vf_yaw_vbar_kernel_cell_surface,0.1,0.0,0.125,0.029260256999999998,20
vf_yaw_vbar_kernel_cell_surface,-0.1,-0.5,0.1,-5.712100000000001e-05,16
vf_yaw_vbar_kernel_cell_surface,0.0,-1.0,0.1,0.044161486,22
vf_yaw_vbar_kernel_cell_surface,0.0,-0.5,0.125,-0.026597325,17
vf_yaw_vbar_kernel_cell_surface,0.1,0.0,0.15,-0.0313387215,14
vf_yaw_vbar_kernel_cell_surface,0.1,-0.5,0.15,-0.06676504550000001,16
vf_yaw_vbar_kernel_cell_surface,0.1,0.0,0.2,-0.009169389,14
vf_yaw_vbar_kernel_cell_surface,0.1,0.0,0.275,0.0486849865,10
vf_yaw_vbar_kernel_cell_surface,0.1,0.0,0.25,-0.0196696735,12
vf_yaw_vbar_kernel_cell_surface,0.0,-1.0,0.075,0.0715751635,28
vf_yaw_vbar_kernel_cell_surface,0.1,-0.5,0.2,-0.023800758,9
vf_yaw_vbar_kernel_cell_surface,0.1,-1.0,0.025,0.009024697,11
vf_yaw_vbar_kernel_cell_surface,0.0,-1.0,0.05,0.072604747,67
vf_yaw_vbar_kernel_cell_surface,0.0,-1.0,0.025,0.0093779105,200
vf_yaw_vbar_kernel_cell_surface,0.0,-1.5,0.05,-0.002190601,42
vf_yaw_vbar_kernel_cell_surface,0.0,-1.5,0.075,0.0378443165,18
vf_yaw_vbar_kernel_cell_surface,0.1,1.0,0.125,-0.009117754,8
vf_yaw_vbar_kernel_cell_surface,0.0,1.0,0.15,-0.039388470499999995,12
vf_yaw_vbar_kernel_cell_surface,0.0,1.0,0.125,-0.065156781,13
vf_yaw_vbar_kernel_cell_surface,-0.1,0.0,0.125,0.033100759,20
vf_yaw_vbar_kernel_cell_surface,-0.1,0.5,0.15,0.04914389,11
vf_yaw_vbar_kernel_cell_surface,-0.1,1.0,0.025,-0.0112614885,10
vf_yaw_vbar_kernel_cell_surface,-0.1,0.5,0.05,0.0434430475,22
vf_yaw_vbar_kernel_cell_surface,-0.1,0.5,0.1,-0.014910477,11
vf_yaw_vbar_kernel_cell_surface,-0.1,0.0,0.275,-0.046119769,8
vf_yaw_vbar_kernel_cell_surface,-0.1,0.0,0.075,-0.034813019,47
vf_yaw_vbar_kernel_cell_surface,0.0,0.0,0.25,0.08448665699999999,10
vf_yaw_vbar_kernel_cell_surface,0.2,0.5,0.0,-0.031463505,53
vf_yaw_vbar_kernel_cell_surface,-0.3,0.0,0.05,0.007111854000000001,10
vf_yaw_vbar_kernel_cell_surface,0.2,0.0,0.15,0.009924603,8
vf_yaw_vbar_kernel_cell_surface,-0.1,1.0,0.1,-0.009933482,13
vf_yaw_vbar_kernel_cell_surface,0.4,1.5,0.05,-0.0365348785,12
vf_yaw_vbar_kernel_cell_surface,0.4,0.0,0.025,-0.003989191,163
vf_yaw_vbar_kernel_cell_surface,0.4,0.0,0.0,0.0007060104999999999,502
vf_yaw_vbar_kernel_cell_surface,0.0,-1.0,0.125,0.034903493,10
vf_yaw_vbar_kernel_cell_surface,0.1,-0.5,0.125,0.0152846115,10
vf_yaw_vbar_kernel_cell_surface,0.2,-0.5,0.225,-0.022010204,10
vf_yaw_vbar_kernel_cell_surface,-0.1,-1.0,0.1,0.02854362,8
vf_yaw_vbar_kernel_cell_surface,-0.1,-1.0,0.075,0.0601178015,8
vf_yaw_vbar_kernel_cell_surface,0.3,-1.0,0.275,0.08831502899999999,14
vf_yaw_vbar_kernel_cell_surface,-0.2,0.0,0.225,0.0686029725,8
vf_yaw_vbar_kernel_cell_surface,-0.1,0.0,0.15,0.0354549355,8
vf_yaw_vbar_kernel_cell_surface,0.0,1.5,0.05,-0.02122972,23
vf_yaw_vbar_kernel_cell_surface,0.0,1.5,0.075,-0.045612270499999996,22
vf_yaw_vbar_kernel_cell_surface,-0.1,-1.0,0.025,0.032439411,41
vf_yaw_vbar_kernel_cell_surface,0.2,0.0,0.175,0.027988890500000002,12
vf_yaw_vbar_kernel_cell_surface,0.0,-1.0,0.0,0.0061610895,10
vf_yaw_vbar_kernel_cell_surface,0.0,-1.5,0.025,0.019956218499999998,124
vf_yaw_vbar_kernel_cell_surface,0.0,-2.0,0.025,0.018948249,34
vf_yaw_vbar_kernel_cell_surface,0.0,-2.5,0.05,0.027356293,23
vf_yaw_vbar_kernel_cell_surface,0.0,-2.5,0.025,0.041202702,8
vf_yaw_vbar_kernel_cell_surface,0.0,2.0,0.075,-0.033992206,24
vf_yaw_vbar_kernel_cell_surface,-0.2,0.0,0.2,0.056259518,13
vf_yaw_vbar_kernel_cell_surface,0.2,-0.5,0.0,0.004546769,12
vf_yaw_vbar_kernel_cell_surface,0.5,0.5,0.0,-0.006946227500000001,12
vf_yaw_vbar_kernel_cell_surface,0.4,-1.0,0.05,-0.014314722,11
vf_yaw_vbar_kernel_cell_surface,0.5,1.0,0.025,-0.012076728,15
vf_yaw_vbar_kernel_cell_surface,-0.4,0.0,0.0,0.014769867499999999,8
vf_yaw_vbar_kernel_cell_surface,0.0,1.5,0.1,-0.046374903,15
vf_yaw_vbar_kernel_cell_surface,0.1,2.0,0.05,-0.036158526999999996,10
vf_yaw_vbar_kernel_cell_surface,-0.1,1.0,0.125,-0.0105009585,8
vf_yaw_vbar_kernel_cell_surface,0.1,-1.0,0.05,0.015830901,9
vf_yaw_vbar_kernel_cell_surface,-0.1,-1.5,0.025,0.0261738345,54
vf_yaw_vbar_kernel_cell_surface,-0.1,-1.5,0.05,0.012107053,15
vf_yaw_vbar_kernel_cell_surface,0.0,-2.0,0.05,-0.006645722,28
vf_yaw_vbar_kernel_cell_surface,0.0,-2.0,0.1,0.0684705555,14
vf_yaw_vbar_kernel_cell_surface,0.0,1.0,0.0,-0.005029137,11
vf_yaw_vbar_kernel_cell_surface,0.1,1.5,0.025,-0.007377366,19
vf_yaw_vbar_kernel_cell_surface,0.1,2.0,0.025,-0.013205215499999999,24
vf_yaw_vbar_kernel_cell_surface,0.0,1.5,0.125,-0.05540422,9
vf_yaw_vbar_kernel_cell_surface,0.0,2.0,0.15,-0.053478553,11
vf_yaw_vbar_kernel_cell_surface,0.0,-1.5,0.1,0.0543752725,14
vf_yaw_vbar_kernel_cell_surface,-0.1,2.0,0.05,-0.0102695665,12
vf_yaw_vbar_kernel_cell_surface,0.1,-1.5,0.1,0.060815946499999995,8
vf_yaw_vbar_kernel_cell_surface,0.1,-1.0,0.075,0.05534667,9
vf_yaw_vbar_kernel_cell_surface,-0.1,-2.0,0.05,0.001784341,10
vf_yaw_vbar_kernel_cell_surface,0.0,-2.5,0.1,0.031812357,13
vf_yaw_vbar_kernel_cell_surface,-0.1,-2.0,0.025,0.011571149,37
vf_yaw_vbar_kernel_cell_surface,0.0,-2.0,0.075,0.0343871575,16
vf_yaw_vbar_kernel_cell_surface,0.0,2.5,0.15,-0.052819241,22
vf_yaw_vbar_kernel_cell_surface,0.0,2.0,0.1,-0.058377901,23
vf_yaw_vbar_kernel_cell_surface,0.0,-3.0,0.05,-0.001419759,13
vf_yaw_vbar_kernel_cell_surface,0.0,-2.0,0.125,0.053549829,15
vf_yaw_vbar_kernel_cell_surface,0.0,-3.0,0.075,-0.013815531,13
vf_yaw_vbar_kernel_cell_surface,-0.1,-3.0,0.05,0.0072486905,22
vf_yaw_vbar_kernel_cell_surface,-0.1,-2.5,0.05,0.009382452,28
vf_yaw_vbar_kernel_cell_surface,0.0,-2.5,0.125,0.049879368,19
vf_yaw_vbar_kernel_cell_surface,0.0,-2.5,0.15,0.052954284,25
vf_yaw_vbar_kernel_cell_surface,0.0,-3.0,0.125,0.051525863,9
vf_yaw_vbar_kernel_cell_surface,0.0,-2.0,0.15,0.074174165,11
vf_yaw_vbar_kernel_cell_surface,-0.1,-3.5,0.05,0.013399922,17
vf_yaw_vbar_kernel_cell_surface,-0.1,-2.5,0.025,0.0177045325,14
vf_yaw_vbar_kernel_cell_surface,-0.1,2.5,0.05,-0.012228991500000001,12
vf_yaw_vbar_kernel_cell_surface,0.0,3.0,0.175,-0.047432524000000004,14
vf_yaw_vbar_kernel_cell_surface,0.0,2.0,0.125,-0.053626532000000005,14
vf_yaw_vbar_kernel_cell_surface,0.0,2.5,0.075,-0.027910359,20
vf_yaw_vbar_kernel_cell_surface,0.0,2.5,0.1,-0.042594554,15
vf_yaw_vbar_kernel_cell_surface,-0.1,-4.0,0.05,-0.01116956,8
vf_yaw_vbar_kernel_cell_surface,0.0,-2.5,0.075,0.0304400085,12
