response_lag_samples,family,motion_class,dataset,gain_label,gain_ns_per_m,samples,old_rmse_radps,candidate_rmse_radps,delta_rmse_radps,relative_delta_pct
4,all,in_place_yaw,motion:all:in_place_yaw,current_production,-6.496619190,485795,0.340567526,0.302171029,-0.038396497,-11.274268
4,all,in_place_yaw,motion:all:in_place_yaw,delay_calibrated_retuned,-8.189143994,485795,0.340567526,0.296214269,-0.044353257,-13.023337
4,all,moving_yaw,motion:all:moving_yaw,old_pre_correction,0.000000000,596155,0.237318122,0.237318122,0.000000000,0.000000
4,all,moving_yaw,motion:all:moving_yaw,current_production,-6.496619190,596155,0.237318122,0.192837199,-0.044480924,-18.743164
4,all,moving_yaw,motion:all:moving_yaw,delay_calibrated_retuned,-8.189143994,596155,0.237318122,0.190759278,-0.046558845,-19.618748
4,all,mostly_forward,motion:all:mostly_forward,old_pre_correction,0.000000000,1182321,0.105782553,0.105782553,0.000000000,0.000000
4,all,mostly_forward,motion:all:mostly_forward,current_production,-6.496619190,1182321,0.105782553,0.076685755,-0.029096798,-27.506235
4,all,mostly_forward,motion:all:mostly_forward,delay_calibrated_retuned,-8.189143994,1182321,0.105782553,0.074692582,-0.031089970,-29.390452
4,all,low_motion_commanded,motion:all:low_motion_commanded,old_pre_correction,0.000000000,692109,0.156833417,0.156833417,0.000000000,0.000000
4,all,low_motion_commanded,motion:all:low_motion_commanded,current_production,-6.496619190,692109,0.156833417,0.138146295,-0.018687122,-11.915268
4,all,low_motion_commanded,motion:all:low_motion_commanded,delay_calibrated_retuned,-8.189143994,692109,0.156833417,0.136086729,-0.020746688,-13.228487
5,open_floor,in_place_yaw,motion:open_floor:in_place_yaw,old_pre_correction,0.000000000,298230,0.169732189,0.169732189,0.000000000,0.000000
5,open_floor,in_place_yaw,motion:open_floor:in_place_yaw,current_production,-6.496619190,298230,0.169732189,0.150840458,-0.018891730,-11.130317
5,open_floor,in_place_yaw,motion:open_floor:in_place_yaw,delay_calibrated_retuned,-8.189143994,298230,0.169732189,0.152851645,-0.016880543,-9.945399
5,open_floor,moving_yaw,motion:open_floor:moving_yaw,old_pre_correction,0.000000000,490128,0.179984622,0.179984622,0.000000000,0.000000
5,open_floor,moving_yaw,motion:open_floor:moving_yaw,current_production,-6.496619190,490128,0.179984622,0.138466934,-0.041517689,-23.067353
5,open_floor,moving_yaw,motion:open_floor:moving_yaw,delay_calibrated_retuned,-8.189143994,490128,0.179984622,0.140848246,-0.039136377,-21.744289
5,open_floor,mostly_forward,motion:open_floor:mostly_forward,old_pre_correction,0.000000000,1035356,0.100580277,0.100580277,0.000000000,0.000000
5,open_floor,mostly_forward,motion:open_floor:mostly_forward,current_production,-6.496619190,1035356,0.100580277,0.069864043,-0.030716234,-30.539023
5,open_floor,mostly_forward,motion:open_floor:mostly_forward,delay_calibrated_retuned,-8.189143994,1035356,0.100580277,0.067555862,-0.033024416,-32.833888
5,open_floor,low_motion_commanded,motion:open_floor:low_motion_commanded,old_pre_correction,0.000000000,513403,0.122727373,0.122727373,0.000000000,0.000000
5,open_floor,low_motion_commanded,motion:open_floor:low_motion_commanded,current_production,-6.496619190,513403,0.122727373,0.109239640,-0.013487733,-10.989996
5,open_floor,low_motion_commanded,motion:open_floor:low_motion_commanded,delay_calibrated_retuned,-8.189143994,513403,0.122727373,0.107086223,-0.015641150,-12.744630
5,all,in_place_yaw,motion:all:in_place_yaw,old_pre_correction,0.000000000,484025,0.340463823,0.340463823,0.000000000,0.000000
5,all,in_place_yaw,motion:all:in_place_yaw,current_production,-6.496619190,484025,0.340463823,0.300759449,-0.039704374,-11.661848
5,all,in_place_yaw,motion:all:in_place_yaw,delay_calibrated_retuned,-8.189143994,484025,0.340463823,0.294418037,-0.046045786,-13.524428
5,all,moving_yaw,motion:all:moving_yaw,old_pre_correction,0.000000000,594008,0.238426598,0.238426598,0.000000000,0.000000
5,all,moving_yaw,motion:all:moving_yaw,current_production,-6.496619190,594008,0.238426598,0.191988208,-0.046438390,-19.477017
5,all,moving_yaw,motion:all:moving_yaw,delay_calibrated_retuned,-8.189143994,594008,0.238426598,0.189304328,-0.049122270,-20.602681
5,all,mostly_forward,motion:all:mostly_forward,old_pre_correction,0.000000000,1178994,0.106566264,0.106566264,0.000000000,0.000000
5,all,mostly_forward,motion:all:mostly_forward,current_production,-6.496619190,1178994,0.106566264,0.076305667,-0.030260597,-28.396038
5,all,mostly_forward,motion:all:mostly_forward,delay_calibrated_retuned,-8.189143994,1178994,0.106566264,0.073901187,-0.032665077,-30.652362
5,all,low_motion_commanded,motion:all:low_motion_commanded,old_pre_correction,0.000000000,690105,0.157882705,0.157882705,0.000000000,0.000000
5,all,low_motion_commanded,motion:all:low_motion_commanded,current_production,-6.496619190,690105,0.157882705,0.138551385,-0.019331320,-12.244102
5,all,low_motion_commanded,motion:all:low_motion_commanded,delay_calibrated_retuned,-8.189143994,690105,0.157882705,0.136283987,-0.021598718,-13.680230
