variant,k1,k2,k3_radps,stribeck_speed_mps,speed_fade_mps,rel_weight,load_exponent,sliding_nm,static_extra_nm,train_weighted_rmse_nm,primary_rmse_nm,validation_rmse_nm,launch_extra_nm,launch_left_command,launch_right_command,launch_max_abs_command,passes_abs_0p6_gate,score
standard,0.3252515622725083,1.3723483038947948,0.18295404918856806,0.012131765250362773,0.5377533137247427,0.26623027028796475,0.5,0.0,0.07242564369789947,0.0029125810910815373,0.03774026945168944,0.06586970597207067,0.06555351875472573,0.6459151677770815,-0.6459151677770815,0.6459151677770815,True,0.0029125810910815373
standard,0.7882858696843483,1.0556662711843365,0.5997769884170739,0.012623231064432182,0.41927390693164396,0.3017366014750303,1.0,0.0,0.07371022701986851,0.002913481776776524,0.03778511213618986,0.06608712366339585,0.06555314421115853,0.6459129727942735,-0.6459129727942735,0.6459129727942735,True,0.002913481776776524
standard,0.5646652562605535,1.0753781236019284,0.006418546121084086,0.01391081985874361,0.7398714732982022,0.15928932329198575,0.5,0.0,0.06742374599972784,0.002913874448479408,0.03770374408514238,0.06666362413642,0.06555305216745853,0.645912433379485,-0.645912433379485,0.645912433379485,True,0.002913874448479408
standard,0.015493668543252395,0.4395737898695589,0.17396255625593846,0.01368881644497398,0.24406895255194588,0.2345831195047979,1.0,0.0,0.06975524368658403,0.0029141750797584917,0.037787875509130625,0.06623654832220822,0.06555292654322642,0.6459116971686567,-0.6459116971686567,0.6459116971686567,True,0.0029141750797584917
standard,0.3342608021120368,0.6704815670499287,0.009043693627280568,0.014031115630316145,0.2491561058720951,0.14158187959985563,0.75,0.0,0.06700983096152431,0.0029142205055947474,0.03774461569193484,0.06675817410581217,0.06555298715817433,0.6459120523977419,-0.6459120523977419,0.6459120523977419,True,0.0029142205055947474
standard,0.02091373811078654,0.15341011104779823,0.4482606981965256,0.013869012811607647,0.1281104894624179,0.09949029704891398,1.0,0.0,0.06629570497312263,0.0029148958864756926,0.03780159813378499,0.06688863747000987,0.06555308923610707,0.6459126506173537,-0.6459126506173537,0.6459126506173537,True,0.0029148958864756926
standard,0.04721953116878163,2.5639106974637405,0.4482617465672958,0.01100889302192596,1.4748852302572009,0.003987659190575465,0.0,0.0,0.06555596169496183,0.002916235649614227,0.03777048306332807,0.06634012523242426,0.06555409033731088,0.6459185174913943,-0.6459185174913943,0.6459185174913943,True,0.002916235649614227
standard,0.14474859950315885,1.2979725434567193,0.6742540428261793,0.012782947884453177,0.4764703146510552,0.10899261964421135,0.0,0.0,0.06659096743058737,0.002916357133510556,0.03769282184919216,0.06662534862457932,0.06555337061341139,0.6459142996066827,-0.6459142996066827,0.6459142996066827,True,0.002916357133510556
standard,0.01736850105766052,1.7544134719099336,0.01261691483249707,0.011140431048532882,0.8349482278866747,0.3107830376513403,1.0,0.0,0.07665468662401946,0.0029168175225973672,0.037855016132732386,0.06594115242527258,0.0655532476727067,0.6459135791224537,-0.6459135791224537,0.6459135791224537,True,0.0029168175225973672
standard,0.6940677191770114,0.7821763925614194,0.17880397696928177,0.012284001071146012,0.34574639045791056,0.0451938591364401,0.0,0.0,0.06574682404914918,0.0029175022847930977,0.03772998071490021,0.06682080835007802,0.06555353431218415,0.6459152589503301,-0.6459152589503301,0.6459152589503301,True,0.0029175022847930977
standard,0.5498373755346325,0.7041149322071084,0.2954925292479581,0.012779207283865977,0.12179671549216599,0.054848552325941394,0.0,0.0,0.06581886894566255,0.002920073895307837,0.037760282549310936,0.0669370118515471,0.06555324050842319,0.6459135371367397,-0.6459135371367397,0.6459135371367397,True,0.002920073895307837
standard,0.015152905734955958,0.6028109165070215,0.11573593252429858,0.014009138164892354,0.27187127519197557,0.2817888053565364,1.0,0.0,0.07133906946259426,0.0029209621389392018,0.03786974086144247,0.06641216839023248,0.06555213763410682,0.6459070738294617,-0.6459070738294617,0.6459070738294617,True,0.0029209621389392018
standard,0.5659685511889616,0.8134808322925446,0.030563518852559805,0.013526218713184456,0.24349639714029575,0.03836240727748146,0.75,0.0,0.06566777385709363,0.0029209922799925464,0.03785803419577948,0.06728676856899546,0.06555270072275171,0.6459103737657125,-0.6459103737657125,0.6459103737657125,True,0.0029209922799925464
standard,0.055042677390493,2.4707235234210447,0.3135686653497885,0.014016323402672316,1.4016028466403065,0.17330563263716173,0.25,0.0,0.06773299488099332,0.0029213118569016735,0.03776544923560741,0.06676017768953499,0.06555240165419539,0.6459086210982071,-0.6459086210982071,0.6459086210982071,True,0.0029213118569016735
standard,0.03140722502196642,0.4477873552193729,0.04490273013240316,0.014386222265784569,0.13394591037947026,0.1393252022741923,0.25,0.0,0.06690562246570055,0.002923863923010936,0.03780301601799641,0.06701955860465379,0.06555224298242528,0.6459076912149092,-0.6459076912149092,0.6459076912149092,True,0.002923863923010936
standard,0.15227239315277707,0.20486122797024836,0.1427982481788995,0.015361616266636988,1.5091456273775465,0.11614830631380384,1.0,0.0,0.06636687524136062,0.002925879906187487,0.03789675787173471,0.06755109553609863,0.06555148767154656,0.6459032647755342,-0.6459032647755342,0.6459032647755342,True,0.002925879906187487
standard,0.545689765541357,3.224074171891431,0.049355637247740516,0.013286016180907103,1.0200490674705953,0.050034929438199253,0.0,0.0,0.06575474763459457,0.0029261125515860254,0.03780468336478647,0.06734586815504941,0.06555244392073127,0.6459088687978815,-0.6459088687978815,0.6459088687978815,True,0.0029261125515860254
standard,0.019696431129368943,1.4536405109131052,0.20607665562114927,0.010831165728331097,2.2169861671314366,0.33338814131243183,0.5,0.0,0.07906498562167483,0.0029263188071921545,0.03792995077458367,0.06631299575190928,0.06555248836659618,0.6459091292693404,-0.6459091292693404,0.6459091292693404,True,0.0029263188071921545
standard,0.027209649040661536,0.5690316187973109,0.007914879185927143,0.014624256305565318,1.399072054474172,0.15157579469133614,0.25,0.0,0.06708402439239056,0.0029266940740104697,0.037816359500195004,0.06716810701644917,0.06555177594928435,0.645904954204305,-0.645904954204305,0.645904954204305,True,0.0029266940740104697
