dataset_split,physics_phase,feature,count,winsorized_run_balanced_corr_to_residual_opposes_yaw
primary_open_floor_fit_authoritative,exit,max_force_limiter_activity,10820,-0.1490489926553338
primary_open_floor_fit_authoritative,exit,max_force_preprojection_utilization,10820,-0.17224562875881816
primary_open_floor_fit_authoritative,exit,patch_yaw_abs_velocity_basis_m2ps,10820,-0.05586857766768356
primary_open_floor_fit_authoritative,exit,patch_yaw_force_basis_nm,10820,0.9036228327164428
primary_open_floor_fit_authoritative,exit,patch_yaw_req_basis_nm,10820,0.801494106338357
primary_open_floor_fit_authoritative,exit,patch_yaw_velocity_basis_m2ps,10820,0.614540569844154
primary_open_floor_fit_authoritative,exit,phase_entry,10820,0.0
primary_open_floor_fit_authoritative,exit,phase_exit,10820,0.0
primary_open_floor_fit_authoritative,exit,phase_progress,10820,-0.03803475965292592
primary_open_floor_fit_authoritative,exit,vbar_rel_mps,10820,-0.07515290668533209
primary_open_floor_fit_authoritative,exit,vbar_yaw_mps,10820,-0.17959940985135628
open_floor_fit_downweighted,all,abs_measured_yaw_accel_radps2,31165,-0.15428651184454603
open_floor_fit_downweighted,all,abs_yaw_rate_radps,31165,-0.1071768831848704
open_floor_fit_downweighted,all,avg_abs_vrel_f_mps,31165,-0.18565673230561172
open_floor_fit_downweighted,all,avg_abs_vrel_r_mps,31165,-0.10717688305728136
open_floor_fit_downweighted,all,current_proxy_abs_raw_over_unit_command_prior,31165,-0.1444584323564765
open_floor_fit_downweighted,all,front_rear_normal_delta_n,31165,0.0
open_floor_fit_downweighted,all,front_rear_vrel_f_abs_delta_mps,31165,0.0
open_floor_fit_downweighted,all,front_rear_vrel_r_abs_delta_mps,31165,0.0
open_floor_fit_downweighted,all,gyro_derivative_spike,31165,0.0
open_floor_fit_downweighted,all,hardware_saturation_evidence,31165,-0.1392129734047224
open_floor_fit_downweighted,all,left_right_drive_force_delta_n,31165,-0.042309853145874286
open_floor_fit_downweighted,all,left_right_normal_delta_n,31165,0.0
open_floor_fit_downweighted,all,left_right_vrel_f_abs_delta_mps,31165,0.0
open_floor_fit_downweighted,all,left_right_vrel_r_abs_delta_mps,31165,0.0
open_floor_fit_downweighted,all,max_force_limiter_activity,31165,-0.24467726770305218
open_floor_fit_downweighted,all,max_force_preprojection_utilization,31165,-0.22932587333499596
open_floor_fit_downweighted,all,patch_yaw_abs_velocity_basis_m2ps,31165,-0.20657081088438492
open_floor_fit_downweighted,all,patch_yaw_force_basis_nm,31165,0.8118626208129212
open_floor_fit_downweighted,all,patch_yaw_req_basis_nm,31165,0.739326328626634
open_floor_fit_downweighted,all,patch_yaw_velocity_basis_m2ps,31165,0.5651529620185046
open_floor_fit_downweighted,all,phase_entry,31165,-0.11657532238166989
open_floor_fit_downweighted,all,phase_exit,31165,-0.06751179301810387
open_floor_fit_downweighted,all,phase_progress,31165,-0.11363260639294326
open_floor_fit_downweighted,all,vbar_rel_mps,31165,-0.20667265441702878
open_floor_fit_downweighted,all,vbar_yaw_mps,31165,-0.10717688317407065
open_floor_fit_downweighted,entry,abs_measured_yaw_accel_radps2,8341,-0.13283405391248965
open_floor_fit_downweighted,entry,abs_yaw_rate_radps,8341,-0.08027414323344835
open_floor_fit_downweighted,entry,avg_abs_vrel_f_mps,8341,-0.11865727698434234
open_floor_fit_downweighted,entry,avg_abs_vrel_r_mps,8341,-0.08027414309162477
open_floor_fit_downweighted,entry,current_proxy_abs_raw_over_unit_command_prior,8341,-0.12378611250102088
open_floor_fit_downweighted,entry,front_rear_normal_delta_n,8341,0.0
open_floor_fit_downweighted,entry,front_rear_vrel_f_abs_delta_mps,8341,0.0
open_floor_fit_downweighted,entry,front_rear_vrel_r_abs_delta_mps,8341,0.0
open_floor_fit_downweighted,entry,gyro_derivative_spike,8341,0.0
open_floor_fit_downweighted,entry,hardware_saturation_evidence,8341,-0.09282803211640106
open_floor_fit_downweighted,entry,left_right_drive_force_delta_n,8341,-0.04717017108978239
open_floor_fit_downweighted,entry,left_right_normal_delta_n,8341,0.0
open_floor_fit_downweighted,entry,left_right_vrel_f_abs_delta_mps,8341,0.0
open_floor_fit_downweighted,entry,left_right_vrel_r_abs_delta_mps,8341,0.0
open_floor_fit_downweighted,entry,max_force_limiter_activity,8341,-0.1928256610231247
open_floor_fit_downweighted,entry,max_force_preprojection_utilization,8341,-0.17275779223873916
open_floor_fit_downweighted,entry,patch_yaw_abs_velocity_basis_m2ps,8341,-0.13838955619630802
open_floor_fit_downweighted,entry,patch_yaw_force_basis_nm,8341,0.804420481548664
open_floor_fit_downweighted,entry,patch_yaw_req_basis_nm,8341,0.7412413484737754
open_floor_fit_downweighted,entry,patch_yaw_velocity_basis_m2ps,8341,0.5271710342719188
open_floor_fit_downweighted,entry,phase_entry,8341,0.0
open_floor_fit_downweighted,entry,phase_exit,8341,0.0
open_floor_fit_downweighted,entry,phase_progress,8341,-0.18329696923708663
open_floor_fit_downweighted,entry,vbar_rel_mps,8341,-0.13501953597827865
open_floor_fit_downweighted,entry,vbar_yaw_mps,8341,-0.08027414317775125
open_floor_fit_downweighted,plateau,abs_measured_yaw_accel_radps2,14651,-0.1997944598554306
open_floor_fit_downweighted,plateau,abs_yaw_rate_radps,14651,-0.18935640819448746
open_floor_fit_downweighted,plateau,avg_abs_vrel_f_mps,14651,-0.1896132892570098
open_floor_fit_downweighted,plateau,avg_abs_vrel_r_mps,14651,-0.18935640778038543
open_floor_fit_downweighted,plateau,current_proxy_abs_raw_over_unit_command_prior,14651,-0.061050114008366414
open_floor_fit_downweighted,plateau,front_rear_normal_delta_n,14651,0.0
open_floor_fit_downweighted,plateau,front_rear_vrel_f_abs_delta_mps,14651,0.0
open_floor_fit_downweighted,plateau,front_rear_vrel_r_abs_delta_mps,14651,0.0
open_floor_fit_downweighted,plateau,gyro_derivative_spike,14651,0.0
open_floor_fit_downweighted,plateau,hardware_saturation_evidence,14651,0.0
