dataset_split,run_id,date,family,schema,recommendation,sample_rows,min_row_index,max_row_index,limiter_active_rows,hardware_saturation_rows,gyro_spike_rows,max_abs_forward_mps,max_abs_yaw_radps,max_vbar_rel_mps,entry_rows,plateau_rows,exit_rows,source_path,source_input_rows,source_kept_rows,source_extracted_samples,source_sampled_rows_written,source_bias_radps,source_bias_rows,source_cutoff_reason,quality_schema_kind,quality_reason,fan_source,fan_duty_min,fan_duty_max,watchdog_flags_present,saturation_flags_present,cmd_angular_zero_fraction_moving_yaw,selected_log,recency_bucket
open_floor_validation_only,2026-04-11_06-58-25,2026-04-11,open_floor,decoded_open_floor_main,validation_only,1976,14866,84649,17,7,0,0.469420746,0.552222175,0.174438962,322,1433,221,TestResults\mmlog_decode_2026-04-11_06-58-25\open_floor_main.csv,84697,84697,47380,1976,-0.003665191,33382,kept through final sensor-active row,decoded_open_floor_full_current,angular command mostly zero during moving-yaw rows; low extracted-sample count,per_row,0.800000,0.800000,yes,yes,0.800239,no,older_2026_04
open_floor_validation_only,2026-04-11_21-03-20,2026-04-11,open_floor,decoded_open_floor_main,validation_only,2054,14890,323483,24,21,0,0.40746589,0.593760985,0.187794745,247,1666,141,TestResults\mmlog_decode_2026-04-11_21-03-20\open_floor_main.csv,323537,323537,51298,2054,-0.003665191,265936,kept through final sensor-active row,decoded_open_floor_full_current,angular command mostly zero during moving-yaw rows; low extracted-sample count,per_row,0.800000,0.800000,yes,yes,0.648461,no,older_2026_04
open_floor_validation_only,2026-04-12_05-13-55,2026-04-12,open_floor,decoded_open_floor_main,validation_only,1182,14877,72361,12,10,2,0.323024996,0.475253147,0.172407312,94,1044,44,TestResults\mmlog_decode_2026-04-12_05-13-55\open_floor_main.csv,72412,72412,30819,1182,-0.003665191,37462,kept through final sensor-active row,decoded_open_floor_full_current,high moving-yaw saturation fraction; low extracted-sample count,per_row,0.800000,0.800000,yes,yes,0.384146,no,older_2026_04
open_floor_validation_only,2026-04-12_06-36-32,2026-04-12,open_floor,decoded_open_floor_main,validation_only,1224,14852,69247,0,0,0,0.227421224,0.376292991,0.054843232,148,969,107,TestResults\mmlog_decode_2026-04-12_06-36-32\open_floor_main.csv,69260,69260,30496,1224,-0.003665191,35885,kept through final sensor-active row,decoded_open_floor_full_current,low extracted-sample count,per_row,0.800000,0.800000,yes,yes,0.476425,no,older_2026_04
open_floor_validation_only,2026-04-12_06-44-12,2026-04-12,open_floor,decoded_open_floor_main,validation_only,1236,14856,69244,0,0,0,0.224728748,0.365297395,0.055074928,160,962,114,TestResults\mmlog_decode_2026-04-12_06-44-12\open_floor_main.csv,69260,69260,30496,1236,-0.003665191,35885,kept through final sensor-active row,decoded_open_floor_full_current,low extracted-sample count,per_row,0.800000,0.800000,yes,yes,0.476425,no,older_2026_04
open_floor_validation_only,2026-04-16_02-43-36,2026-04-16,open_floor,decoded_open_floor_main,validation_only,376,430,34779,0,0,0,0.23194924,1.221730488,0.021483668,68,262,46,TestResults\mmlog_decode_2026-04-16_02-43-36\open_floor_main.csv,36453,34837,8805,376,-0.003665191,27076,dropped final sensor-quiescent/invalid tail >= 0.25 s,decoded_open_floor_full_current,angular command mostly zero during moving-yaw rows; final quiescent/invalid tail detected; low extracted-sample count,per_row,0.000000,0.800000,yes,yes,1.000000,no,older_2026_04
open_floor_validation_only,2026-04-20_23-05-07,2026-04-20,open_floor,decoded_open_floor_main,validation_only,331,15002,39317,0,0,0,0.211396769,1.257160562,0.099271876,61,210,60,TestResults\mmlog_decode_2026-04-20_23-05-07\open_floor_main.csv,39325,39325,7594,331,-0.003665191,34533,kept through final sensor-active row,decoded_open_floor_full_current,angular command mostly zero during moving-yaw rows; low extracted-sample count,per_row,0.800000,0.800000,yes,yes,1.000000,no,older_2026_04
open_floor_validation_only,2026-05-04_16-57-53,2026-05-04,open_floor,decoded_open_floor_main,validation_only,1761,15530,208361,0,0,0,0.31709516,2.02318573,0.077054562,259,1096,406,TestResults\mmlog_decode_2026-05-04_16-57-53\open_floor_main.csv,208375,208375,44152,1761,-0.000000000,166670,kept through final sensor-active row,decoded_open_floor_legacy_or_partial,watchdog unavailable; angular command mostly zero during moving-yaw rows; final quiescent/invalid tail detected; low extracted-sample count,absent,,,no,yes,1.000000,yes,latest_2026_05_04
primary_open_floor_fit_authoritative,2026-04-10_18-08-20,2026-04-10,open_floor,decoded_open_floor_main,fit_authoritative,197,14878,20658,79,9,0,0.398653232,8.662068367,0.483499743,46,105,46,TestResults\mmlog_decode_2026-04-10_18-08-20\open_floor_main.csv,20703,20703,4857,197,-0.000000000,15839,kept through final sensor-active row,decoded_open_floor_full_current,,per_row,0.800000,0.800000,yes,yes,0.000429,no,older_2026_04
primary_open_floor_fit_authoritative,2026-04-12_20-14-49,2026-04-12,open_floor,decoded_open_floor_main,fit_authoritative,3306,14947,124151,329,130,0,0.706509084,2.139250058,0.267552967,768,1844,694,TestResults\mmlog_decode_2026-04-12_20-14-49\open_floor_main.csv,124191,124191,84280,3306,-0.003665191,35877,kept through final sensor-active row,decoded_open_floor_full_current,,per_row,0.800000,0.800000,yes,yes,0.011870,no,older_2026_04
primary_open_floor_fit_authoritative,2026-04-12_22-27-00,2026-04-12,open_floor,decoded_open_floor_main,fit_authoritative,3583,14870,129028,413,136,1,0.620702386,2.691472071,0.414744222,957,1783,843,TestResults\mmlog_decode_2026-04-12_22-27-00\open_floor_main.csv,129063,129063,90374,3583,-0.003665191,36415,kept through final sensor-active row,decoded_open_floor_full_current,,per_row,0.800000,0.800000,yes,yes,0.052339,no,older_2026_04
primary_open_floor_fit_authoritative,2026-04-13_16-42-46,2026-04-13,open_floor,decoded_open_floor_main,fit_authoritative,4024,14993,141067,864,128,0,0.762614608,4.386012298,0.777631009,807,2521,696,TestResults\mmlog_decode_2026-04-13_16-42-46\open_floor_main.csv,141172,141172,101048,4024,-0.003665191,35579,kept through final sensor-active row,decoded_open_floor_full_current,,per_row,0.800000,0.800000,yes,yes,0.017331,no,older_2026_04
