candidate_id,model,policy,state,count,mean,rms,median,p95,max
slip_envelope,algebraic_envelope,testbed_independent,vf_mps,30523,9.3819684660644e-13,9.3819684660644e-13,9.3819684660644e-13,9.3819684660644e-13,9.3819684660644e-13
slip_envelope,algebraic_envelope,testbed_independent,vr_mps,30523,1.9508754594663203e-56,1.9508754594663203e-56,1.9508754594663203e-56,1.9508754594663203e-56,1.9508754594663203e-56
slip_envelope,algebraic_envelope,testbed_independent,yaw_rate_radps,30523,6.803638351813182e-10,6.803638351813182e-10,6.803638351813182e-10,6.803638351813182e-10,6.803638351813182e-10
slip_envelope,algebraic_envelope,testbed_independent,delta_af_mps2,30523,0.0,0.0,0.0,0.0,0.0
slip_envelope,algebraic_envelope,testbed_independent,delta_ar_mps2,30523,0.0,0.0,0.0,0.0,0.0
slip_envelope,algebraic_envelope,testbed_independent,delta_yaw_accel_radps2,30523,0.0,0.0,0.0,0.0,0.0
slip_envelope,algebraic_envelope,testbed_independent,q_trace,30523,6.813022023943873e-10,6.813022023943872e-10,6.813022023943872e-10,6.813022023943872e-10,6.813022023943872e-10
slip_envelope,algebraic_envelope,testbed_independent,q_frobenius,30523,6.803646521826012e-10,6.803646521826012e-10,6.803646521826012e-10,6.803646521826012e-10,6.803646521826012e-10
slip_envelope,algebraic_envelope,production_correlated,px_m,30523,0.0,0.0,0.0,0.0,0.0
slip_envelope,algebraic_envelope,production_correlated,py_m,30523,9.808830036637235e-15,9.808830036637235e-15,9.808830036637235e-15,9.808830036637235e-15,9.808830036637235e-15
slip_envelope,algebraic_envelope,production_correlated,heading_rad,30523,3.513254094239153e-13,3.513254094239153e-13,3.513254094239153e-13,3.513254094239153e-13,3.513254094239153e-13
slip_envelope,algebraic_envelope,production_correlated,vf_mps,30523,3.8456454265549424e-08,3.8456454265549424e-08,3.8456454265549424e-08,3.8456454265549424e-08,3.8456454265549424e-08
slip_envelope,algebraic_envelope,production_correlated,vr_mps,30523,2.0968887481619216e-49,2.0968887481619216e-49,2.0968887481619216e-49,2.0968887481619216e-49,2.0968887481619216e-49
slip_envelope,algebraic_envelope,production_correlated,yaw_rate_radps,30523,1.3764522071927172e-06,1.3764522071927172e-06,1.3764522071927172e-06,1.3764522071927172e-06,1.3764522071927172e-06
slip_envelope,algebraic_envelope,production_correlated,delta_af_mps2,30523,0.0,0.0,0.0,0.0,0.0
slip_envelope,algebraic_envelope,production_correlated,delta_ar_mps2,30523,0.0,0.0,0.0,0.0,0.0
slip_envelope,algebraic_envelope,production_correlated,delta_yaw_accel_radps2,30523,0.0,0.0,0.0,0.0,0.0
