response_lag_samples,gain_ns_per_m,fit_old_rmse_radps,fit_new_rmse_radps,fit_relative_delta_pct,open_floor_new_rmse_radps,all_new_rmse_radps,in_place_new_rmse_radps,moving_new_rmse_radps,validation_new_rmse_radps,validation_relative_delta_pct,competition_new_rmse_radps,competition_relative_delta_pct
0,-10.683234131,0.150058239,0.126532636,-15.677648,0.137371555,0.184417373,0.316557652,0.229892232,0.069492695,1.219301,0.301022701,-16.771890
0,-10.318330704,0.150058239,0.125852866,-16.130652,0.136373018,0.184225192,0.317019100,0.228838796,0.069407590,1.095342,0.302160508,-16.457304
0,-10.253241002,0.150058239,0.125742867,-16.203957,0.136204585,0.184199912,0.317109236,0.228666151,0.069392820,1.073829,0.302371457,-16.398980
0,-10.183234131,0.150058239,0.125628387,-16.280247,0.136026731,0.184175767,0.317208821,0.228485652,0.069377073,1.050893,0.302601028,-16.335507
0,-10.000000000,0.150058239,0.125347618,-16.467353,0.135577522,0.184127517,0.317482398,0.228038764,0.069336541,0.991855,0.303215037,-16.165743
0,-9.818330704,0.150058239,0.125096342,-16.634806,0.135155621,0.184101047,0.317772071,0.227632355,0.069297330,0.934744,0.303842476,-15.992265
0,-9.753241002,0.150058239,0.125012909,-16.690406,0.135010188,0.184096742,0.317880313,0.227495665,0.069283519,0.914627,0.304071782,-15.928866
0,-9.683234131,0.150058239,0.124927071,-16.747610,0.134857161,0.184095161,0.317999351,0.227353917,0.069268804,0.893193,0.304321053,-15.859947
0,-9.318330704,0.150058239,0.124545345,-17.001995,0.134116884,0.184138098,0.318663664,0.226703859,0.069194448,0.784892,0.305664413,-15.488528
0,-9.253241002,0.150058239,0.124488890,-17.039617,0.133995030,0.184154779,0.318789870,0.226603624,0.069181600,0.766177,0.305911760,-15.420141
0,-9.183234131,0.150058239,0.124432117,-17.077451,0.133867440,0.184175767,0.318928207,0.226501149,0.069167921,0.746253,0.306180387,-15.345870
0,-8.818330704,0.150058239,0.124202612,-17.230395,0.133260987,0.184336247,0.319692720,0.226056733,0.069098977,0.645833,0.307623832,-14.946779
0,-8.753241002,0.150058239,0.124173417,-17.249850,0.133163209,0.184373871,0.319836727,0.225993327,0.069087095,0.628527,0.307888886,-14.873496
0,-8.683234131,0.150058239,0.124145994,-17.268125,0.133061580,0.184417373,0.319994184,0.225930505,0.069074457,0.610119,0.308176509,-14.793973
0,-8.318330704,0.150058239,0.124069867,-17.318857,0.132591469,0.184694977,0.320857916,0.225693397,0.069010947,0.517613,0.309718123,-14.367740
0,-8.253241002,0.150058239,0.124068082,-17.320047,0.132518179,0.184753445,0.321019540,0.225667058,0.069000036,0.501721,0.310000537,-14.289657
0,-8.183234131,0.150058239,0.124070147,-17.318670,0.132442938,0.184819347,0.321195917,0.225644127,0.068988442,0.484834,0.310306780,-14.204986
0,-8.000000000,0.150058239,0.124095111,-17.302034,0.132263645,0.185006619,0.321670010,0.225610602,0.068958791,0.441646,0.311120506,-13.980003
0,-7.818330704,0.150058239,0.124147786,-17.266931,0.132111165,0.185213355,0.322157775,0.225615222,0.068930386,0.400273,0.311944570,-13.752162
0,-7.753241002,0.150058239,0.124173417,-17.249850,0.132062675,0.185292515,0.322336812,0.225626050,0.068920450,0.385800,0.312243984,-13.669379
0,-7.683234131,0.150058239,0.124204962,-17.228829,0.132014146,0.185380648,0.322531888,0.225643097,0.068909905,0.370441,0.312568456,-13.579667
0,-7.318330704,0.150058239,0.124435971,-17.074883,0.131822142,0.185890044,0.323590673,0.225822505,0.068857322,0.293851,0.314300365,-13.100821
0,-7.253241002,0.150058239,0.124488890,-17.039617,0.131798664,0.185989695,0.323786903,0.225870459,0.068848363,0.280802,0.314616406,-13.013441
0,-7.183234131,0.150058239,0.124549754,-16.999057,0.131777057,0.186099832,0.324000437,0.225927419,0.068838870,0.266975,0.314958707,-12.918800
0,-6.818330704,0.150058239,0.124932968,-16.743680,0.131725660,0.186723323,0.325154853,0.226314460,0.068791777,0.198383,0.316782621,-12.414516
0,-6.753241002,0.150058239,0.125012909,-16.690406,0.131727296,0.186843213,0.325368037,0.226399359,0.068783799,0.186762,0.317114909,-12.322644
0,-6.683234131,0.150058239,0.125102786,-16.630511,0.131732706,0.186975078,0.325599769,0.226496017,0.068775361,0.174471,0.317474629,-12.223187
0,-6.318330704,0.150058239,0.125636298,-16.274975,0.131822142,0.187711108,0.326848428,0.227089239,0.068733774,0.113898,0.319388391,-11.694061
