stage,generation,best_score,median_score,drive_scale,longitudinal_mu,longitudinal_k_mps,mu_peak,mu_slide,stribeck_speed_mps,low_speed_gate_mps,lateral_sign_eps_mps,alpha_floor_mps,alpha_knee,corner_mu_front,corner_mu_rear,iteration,max_step
differential_evolution,16,0.026927008981528798,0.028397663192849552,0.18,0.9148208956761367,0.7,5.0,0.4785477712249044,0.02,0.08,0.015446186904068331,0.4822639657906298,0.5450905419613522,0.05,0.05,,
differential_evolution,17,0.026927008981528798,0.028112933888015074,0.18,0.9148208956761367,0.7,5.0,0.4785477712249044,0.02,0.08,0.015446186904068331,0.4822639657906298,0.5450905419613522,0.05,0.05,,
differential_evolution,18,0.02649807004387862,0.027865208915402055,0.17353952667161834,0.4610897579614681,0.5378105458019712,5.0,0.5,0.02,0.08,0.013310026251712077,0.6994553928119532,0.8352415673085298,0.05,1.3822776594691828,,
differential_evolution,19,0.02649807004387862,0.027638615779543796,0.17353952667161834,0.4610897579614681,0.5378105458019712,5.0,0.5,0.02,0.08,0.013310026251712077,0.6994553928119532,0.8352415673085298,0.05,1.3822776594691828,,
differential_evolution,20,0.026330743834695983,0.02755418747820297,0.18,0.6804168208889835,0.7,5.0,0.5,0.02,0.0801387965327656,0.017562237599577608,0.5014535068695969,0.49689970359118585,1.392786271006373,0.13240430139420434,,
differential_evolution,21,0.026330743834695983,0.02722713489822113,0.18,0.6804168208889835,0.7,5.0,0.5,0.02,0.0801387965327656,0.017562237599577608,0.5014535068695969,0.49689970359118585,1.392786271006373,0.13240430139420434,,
differential_evolution,22,0.026330743834695983,0.0270756411677126,0.18,0.6804168208889835,0.7,5.0,0.5,0.02,0.0801387965327656,0.017562237599577608,0.5014535068695969,0.49689970359118585,1.392786271006373,0.13240430139420434,,
differential_evolution,23,0.026330743834695983,0.026889412798541533,0.18,0.6804168208889835,0.7,5.0,0.5,0.02,0.0801387965327656,0.017562237599577608,0.5014535068695969,0.49689970359118585,1.392786271006373,0.13240430139420434,,
differential_evolution,24,0.026204424398354804,0.026774433816568785,0.18,0.36280864771331023,0.6384655591175656,4.84111563324535,0.3381403249861527,0.021924418830828962,0.08059184622677007,0.016130574942362454,0.03,0.6565457725685788,0.14136484667030036,0.05,,
differential_evolution,25,0.026204424398354804,0.026666900861856586,0.18,0.36280864771331023,0.6384655591175656,4.84111563324535,0.3381403249861527,0.021924418830828962,0.08059184622677007,0.016130574942362454,0.03,0.6565457725685788,0.14136484667030036,0.05,,
