vf_mps,yaw_rate_radps,variant,baseline_opposing_yaw_torque_nm,extra_opposing_yaw_torque_nm,total_opposing_yaw_torque_nm,left_command,right_command,lr_delta_command,left_surface_mps,right_surface_mps,nominal_yield_nm,command_outside_unit
0.03,6.0,ForceDomainStribeck_projected_force,0.0887655,0.06655179149778657,0.15531729149778656,1.114791199408153,-1.10745892387092,2.222250123279073,0.28390499999999996,-0.223905,0.11096910450167499,True
0.06,0.2,ForceDomainStribeck_projected_force,0.00295885,0.0007437072032565105,0.00370255720325651,0.19993715827198105,0.15447151669436096,0.04546564157762009,0.0684635,0.0515365,0.11096910450167499,False
0.06,0.844444444,ForceDomainStribeck_projected_force,0.012492922215646997,0.06640006679131497,0.07889298900696196,0.6439173833362962,-0.33661085124343104,0.9805282345797273,0.09573477775896999,0.024265222241029998,0.11096910450167499,False
0.06,1.488888889,ForceDomainStribeck_projected_force,0.022026994446088247,0.06667711709475307,0.08870411154084132,0.7047473625735377,-0.8826742980911415,1.5874216606646792,0.1230060555602575,-0.0030060555602575006,0.11096910450167499,False
0.06,2.133333333,ForceDomainStribeck_projected_force,0.03156106666173525,0.06671429005580799,0.09827535671754324,0.7641715596185733,-0.7495070085441079,1.5136785681626812,0.1502773333192275,-0.030277333319227495,0.11096910450167499,False
0.06,2.777777778,ForceDomainStribeck_projected_force,0.041095138892176496,0.06667192374473828,0.10776706263691477,0.8231296231727279,-0.8084650720982623,1.6315946952709903,0.177548611120515,-0.057548611120515,0.11096910450167499,False
0.06,3.422222222,ForceDomainStribeck_projected_force,0.050629211107823494,0.06659551171917168,0.11722472282699517,0.8818881644310487,-0.867223613356583,1.7491117777876317,0.204819888879485,-0.084819888879485,0.11096910450167499,False
0.06,4.066666667,ForceDomainStribeck_projected_force,0.060163283338264734,0.06650078509025464,0.12666406842851938,0.9405393745038935,-0.925874823429428,1.8664141979333215,0.23209116668077248,-0.11209116668077249,0.11096910450167499,False
0.06,4.711111111,ForceDomainStribeck_projected_force,0.06969735555391174,0.06639009783341596,0.1360874533873277,0.9990970484934328,-0.9844324974189672,1.9835295459124,0.25936244443974255,-0.13936244443974252,0.11096910450167499,False
0.06,5.355555556,ForceDomainStribeck_projected_force,0.07923142778435298,0.06626361049487252,0.1454950382792255,1.057562127451754,-1.0428975763772885,2.1004597038290425,0.28663372224103,-0.16663372224102999,0.11096910450167499,True
0.06,6.0,ForceDomainStribeck_projected_force,0.0887655,0.06612150555439007,0.15488700555439006,1.1159356806032787,-1.1012711295288133,2.217206810132092,0.313905,-0.193905,0.11096910450167499,True
0.09,0.2,ForceDomainStribeck_projected_force,0.00295885,0.000730475292903296,0.0036893252929032956,0.20352575148160337,0.1582151990219714,0.045310552459631975,0.0984635,0.0815365,0.11096910450167499,False
0.09,0.844444444,ForceDomainStribeck_projected_force,0.012492922215646997,0.06564301141132621,0.07813593362697321,0.6431468582188887,-0.32850805057245697,0.9716549087913458,0.12573477775897,0.054265222241029996,0.11096910450167499,False
0.09,1.488888889,ForceDomainStribeck_projected_force,0.022026994446088247,0.06594734745499294,0.08797434190108118,0.7041367433681545,-0.3894979357217832,1.0936346790899376,0.15300605556025748,0.026993944439742498,0.11096910450167499,False
0.09,2.133333333,ForceDomainStribeck_projected_force,0.03156106666173525,0.06599347799477448,0.09755454465650973,0.763613435591397,-1.0172163353559487,1.7808297709473457,0.1802773333192275,-0.00027733331922749627,0.11096910450167499,True
0.09,2.777777778,ForceDomainStribeck_projected_force,0.041095138892176496,0.06595459363349795,0.10704973252567446,0.8225919048355801,-0.8005950782238999,1.62318698305948,0.20754861112051498,-0.027548611120515,0.11096910450167499,False
0.09,3.422222222,ForceDomainStribeck_projected_force,0.050629211107823494,0.06588051284875653,0.11650972395658002,0.8813641081454769,-0.8593672815337786,1.7407313896792556,0.234819888879485,-0.054819888879484996,0.11096910450167499,False
0.09,4.066666667,ForceDomainStribeck_projected_force,0.060163283338264734,0.06578780793880118,0.1259510912770659,0.940027166341617,-0.9180303397299187,1.8580575060715356,0.2620911666807725,-0.08209116668077249,0.11096910450167499,False
0.09,4.711111111,ForceDomainStribeck_projected_force,0.06969735555391174,0.06567947945583508,0.13537683500974682,0.9985986637379684,-0.9766018371262699,1.9752005008642382,0.2893624444397425,-0.10936244443974252,0.11096910450167499,False
0.09,5.355555556,ForceDomainStribeck_projected_force,0.07923142778435298,0.0655556828612831,0.1447871106456361,1.0570795115876,-1.0350826849759016,2.0921621965635016,0.31663372224103,-0.13663372224103,0.11096910450167499,True
0.09,6.0,ForceDomainStribeck_projected_force,0.0887655,0.06541659487242386,0.15418209487242385,1.115470745344334,-1.0934739187326357,2.2089446640769697,0.343905,-0.163905,0.11096910450167499,True
0.12,0.2,ForceDomainStribeck_projected_force,0.00295885,0.0007127684711206084,0.0036716184711206084,0.20708811982844527,0.16198510621236226,0.045103013616083015,0.1284635,0.1115365,0.11096910450167499,False
0.12,0.844444444,ForceDomainStribeck_projected_force,0.012492922215646997,0.06460518639899765,0.07709810861464464,0.6407309049858485,-0.3187598218021837,0.9594907267880322,0.15573477775897,0.08426522224103,0.11096910450167499,False
0.12,1.488888889,ForceDomainStribeck_projected_force,0.022026994446088247,0.0649501279528852,0.08697712239897344,0.701958755500564,-0.3799876723168993,1.0819464278174633,0.1830060555602575,0.0569939444397425,0.11096910450167499,False
