role,activation_source,yield_geometry,equivalent_activation_nm,utilization_activation,stribeck_speed_mps,speed_fade_mps,rel_weight,static_extra_nm,sliding_nm,weighted_train_opposes_rmse_nm,primary_corrected_rmse_nm,open_floor_validation_corrected_rmse_nm,in_place_left_command,in_place_right_command,in_place_extra_opposing_yaw_torque_nm
grid_top,projected_force_moment_utilization,longitudinal_moment_support,0.05,0.45057586275507244,0.025,0.64,1.25,0.0,0.09298815611313915,0.024130504181257263,0.02780534937164806,0.011529501641722515,0.8005252663304038,-0.8005252663304038,0.09193560139596112
grid_top,projected_force_moment_utilization,longitudinal_moment_support,0.05,0.45057586275507244,0.05,0.64,1.25,0.0,0.09298815611313913,0.024130504181257263,0.02780534937164806,0.011529501641722515,0.8005252663304036,-0.8005252663304036,0.09193560139596109
grid_top,projected_force_moment_utilization,full_yaw_moment_support,0.05,0.4254710651239613,0.025,0.64,1.25,0.0,0.09298815611313915,0.024130504181257263,0.02780534937164806,0.011529501641722515,0.8005252663304038,-0.8005252663304038,0.09193560139596112
grid_top,projected_force_moment_utilization,full_yaw_moment_support,0.05,0.4254710651239613,0.05,0.64,1.25,0.0,0.09298815611313915,0.024130504181257263,0.02780534937164806,0.011529501641722515,0.8005252663304038,-0.8005252663304038,0.09193560139596112
grid_top,projected_force_moment_utilization,full_yaw_moment_support,0.05,0.4254710651239613,0.1,0.64,1.25,0.0,0.09298815611313915,0.024130504181257263,0.02780534937164806,0.011529501641722515,0.8005252663304038,-0.8005252663304038,0.09193560139596112
grid_top,projected_force_moment_utilization,longitudinal_moment_support,0.035,0.3154031039285507,0.025,0.64,1.25,0.0,0.06828383709638265,0.024247932085045623,0.028147658601257092,0.011410394366707998,0.6600939613790211,-0.6600939613790211,0.06797293448538956
grid_top,projected_force_moment_utilization,longitudinal_moment_support,0.035,0.3154031039285507,0.05,0.64,1.25,0.0,0.06828383709638265,0.024247932085045623,0.028147658601257092,0.011410394366707998,0.6600939613790211,-0.6600939613790211,0.06797293448538956
grid_top,projected_force_moment_utilization,longitudinal_moment_support,0.035,0.3154031039285507,0.1,0.64,1.25,0.0,0.06828383709638265,0.024247932085045623,0.028147658601257092,0.011410394366707998,0.6600939613790211,-0.6600939613790211,0.06797293448538956
grid_top,projected_force_moment_utilization,full_yaw_moment_support,0.035,0.29782974558677294,0.025,0.64,1.25,0.0,0.06828383709638267,0.024247932085045623,0.028147658601257092,0.011410394366708,0.6600939613790213,-0.6600939613790213,0.06797293448538957
grid_top,projected_force_moment_utilization,full_yaw_moment_support,0.035,0.29782974558677294,0.05,0.64,1.25,0.0,0.06828383709638267,0.024247932085045623,0.028147658601257092,0.011410394366708,0.6600939613790213,-0.6600939613790213,0.06797293448538957
grid_top,projected_force_moment_utilization,full_yaw_moment_support,0.035,0.29782974558677294,0.1,0.64,1.25,0.0,0.06828383709638267,0.024247932085045623,0.028147658601257092,0.011410394366708,0.6600939613790213,-0.6600939613790213,0.06797293448538957
grid_top,projected_force_moment_utilization,longitudinal_moment_support,0.08,0.7209213804081159,0.1,0.64,0.75,0.010511112436854904,0.14542607161485369,0.02433934465043362,0.027773310955043675,0.011847359174147577,1.0412969630648703,-1.0412969630648703,0.13301997337654323
grid_top,projected_force_moment_utilization,full_yaw_moment_support,0.08,0.6807537041983381,0.1,0.64,0.75,0.010511112436854972,0.1454260716148536,0.02433934465043362,0.027773310955043675,0.011847359174147577,1.0690793534460792,-1.0690793534460792,0.13776065542685145
grid_top,request_moment_utilization,longitudinal_moment_support,0.035,0.3154031039285507,0.1,0.64,0.75,0.0028707314261316157,0.06252832523970436,0.0243401682965182,0.028524072603624426,0.011372543472361286,0.6425685451006024,-0.6425685451006024,0.06498246371468605
grid_top,request_moment_utilization,full_yaw_moment_support,0.035,0.29782974558677294,0.1,0.64,0.75,0.002870731426131635,0.06252832523970434,0.0243401682965182,0.028524072603624426,0.011372543472361286,0.6425685451006024,-0.6425685451006024,0.06498246371468605
grid_top,projected_force_moment_utilization,longitudinal_moment_support,0.08,0.7209213804081159,0.05,0.64,0.75,0.011185209019641588,0.1474254846040438,0.0243402900329201,0.027769271079936143,0.011837805858199976,1.052639386564241,-1.052639386564241,0.13495540163713057
grid_top,projected_force_moment_utilization,full_yaw_moment_support,0.08,0.6807537041983381,0.05,0.64,0.75,0.01118520901964166,0.14742548460404373,0.0243402900329201,0.027769271079936143,0.011837805858199976,1.080826008145664,-1.080826008145664,0.13976506017105794
grid_top,request_moment_utilization,longitudinal_moment_support,0.035,0.3154031039285507,0.05,0.64,0.75,0.002986571746716528,0.06313715145771996,0.02434041246290307,0.02853136812752769,0.011374174030445227,0.6463354946271591,-0.6463354946271591,0.06562524173918043
grid_top,request_moment_utilization,full_yaw_moment_support,0.035,0.29782974558677294,0.05,0.64,0.75,0.0029865717467165297,0.06313715145771996,0.02434041246290307,0.02853136812752769,0.011374174030445227,0.6463354946271591,-0.6463354946271591,0.06562524173918043
grid_top,request_moment_utilization,longitudinal_moment_support,0.035,0.3154031039285507,0.025,0.64,0.75,0.0,0.06401216741551555,0.024342430005524995,0.028546461408103824,0.01136149740295035,0.6342750827177316,-0.6342750827177316,0.06356729865099255
grid_top,request_moment_utilization,full_yaw_moment_support,0.035,0.29782974558677294,0.025,0.64,0.75,0.0,0.06401216741551555,0.024342430005524995,0.028546461408103824,0.01136149740295035,0.6342750827177316,-0.6342750827177316,0.06356729865099255
grid_top,projected_force_moment_utilization,longitudinal_moment_support,0.08,0.7209213804081159,0.025,0.64,0.75,0.004440109873583558,0.14996791509470828,0.024344854199805335,0.027767062202133822,0.011850497687247216,1.0303354078825573,-1.0303354078825573,0.1311495350455276
