model,physical_yaw_loss,failure_group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,rmse_delta_nm,rmse_delta_fraction,mae_delta_fraction,worsened_abs_residual_fraction,negative_opposes_target_fraction,mean_abs_forward_mps,mean_abs_yaw_radps,mean_vbar_rel_mps,limiter_activity_fraction,saturation_evidence_fraction
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,slow_forward_turn,12359,49,0.05642986953236439,0.05719761633734499,0.04445143189877822,0.04492740364505093,0.03717947,0.03739536452550619,0.001654582,0.001140230434126502,0.0007677468049806027,0.013605326599953838,0.010707680853938806,0.6323327130026701,0.6118618011165952,0.12177564969779109,2.29736207495833,0.17949930921943524,0.6929363217088761,0.21805971356905898
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,moderate_forward_turn,8848,41,0.06194143265560468,0.06234396886915646,0.04744316832470615,0.04794635717702591,0.034784586,0.03564615999274013,0.011325130999999999,0.011966051678108052,0.0004025362135517824,0.006498658430938997,0.010606139304944362,0.6723553345388789,0.6547242314647378,0.3797461482454792,3.86833349899401,0.20559362397038877,0.7321428571428571,0.07391500904159132
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,high_forward_turn,227,23,0.08577648908685956,0.08666410954578106,0.06309837744493392,0.06415456507743592,0.053159154,0.05320766469943567,-0.001405412,-0.0016548064743562112,0.0008876204589215037,0.01034806236966257,0.016738744723249432,0.788546255506608,0.7797356828193832,0.6844540441674009,1.0906931629867842,0.21212250818502204,0.6475770925110133,0.1277533039647577
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,high_yaw_low_forward_scrub,1837,32,0.04150165975439666,0.041730861762445254,0.030521998525857377,0.0308071205300387,0.023501282,0.023704699432153174,0.007645696,0.007774768360413224,0.0002292020080485943,0.005522719076899385,0.009341524734685303,0.6913445835601524,0.6880783886771911,0.06303092381273816,11.485263307843223,0.3744209698116494,1.0,0.11867174741426238
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,mostly_straight_forward,13657,41,0.0351270082074151,0.03576684740226774,0.019599740141465916,0.020966339994770752,0.009353048,0.011225189706541613,0.001143435,0.0011783794274011416,0.0006398391948526372,0.0182150210765053,0.06972540673708272,0.6082595006223914,0.5433843450245296,0.3759361387480413,0.08155053167767444,0.05534670244878084,0.103683092919382,0.007541919894559566
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,target_negative_over_resisted,66171,49,0.05271785261231283,0.05439038854759634,0.03543559092374303,0.03895030256848507,0.018163241,0.023183066466283004,0.00018061,0.00126509325749059,0.0016725359352835131,0.031726177232281216,0.09918591882115524,1.0,1.0,0.1303048510834958,1.253789042213175,0.09107952327805231,0.3054963654773239,0.046787867797071225
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,low_motion_near_zero_yaw,28208,48,0.0351250667234536,0.03634873929128762,0.024680484821327283,0.025930192414476735,0.016522676,0.01739220469755969,-0.000108301,2.7512059521713774e-05,0.001223672567834018,0.03483758699928541,0.0506354555915991,0.5856140102098696,0.5259855360181509,0.016696150884571753,0.06922834723145917,0.018700418443420304,0.05200652297220647,0.009110890527509926
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,in_place_or_scrub_yaw,18275,49,0.07503820163977237,0.07771970184616409,0.06273816672109439,0.06459643874077829,0.057172988,0.05697487684944518,-0.008537151,-0.00872068918048176,0.0026815002063917126,0.0357351342088994,0.029619482315206058,0.613734610123119,0.6616142270861833,0.018631762308016414,2.7252193897956225,0.17856173123452804,0.653844049247606,0.04930232558139535
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,slow_forward_turn,12359,49,0.05642986953236439,0.06017964810984949,0.04445143189877822,0.04687631831795694,0.03717947,0.03745300065790069,0.001654582,0.0005246407143751422,0.0037497785774851036,0.06645024361317153,0.05455136798968607,0.6237559673112711,0.6118618011165952,0.12177564969779109,2.29736207495833,0.17949930921943524,0.6929363217088761,0.21805971356905898
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,moderate_forward_turn,8848,41,0.06194143265560468,0.06330082313516626,0.04744316832470615,0.04759412184527126,0.034784586,0.03367477894758023,0.011325130999999999,0.00875098302137358,0.00135939047956158,0.021946384209739156,0.003181775709665269,0.5322106690777577,0.6547242314647378,0.3797461482454792,3.86833349899401,0.20559362397038877,0.7321428571428571,0.07391500904159132
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,high_forward_turn,227,23,0.08577648908685956,0.0917738064732211,0.06309837744493392,0.0694950203043657,0.053159154,0.06056106570121357,-0.001405412,-0.0037126234188219597,0.005997317386361542,0.06991796295472641,0.10137571073066254,0.801762114537445,0.7797356828193832,0.6844540441674009,1.0906931629867842,0.21212250818502204,0.6475770925110133,0.1277533039647577
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,high_yaw_low_forward_scrub,1837,32,0.04150165975439666,0.036635068361471824,0.030521998525857377,0.026738737422434995,0.023501282,0.019928388379233733,0.007645696,0.0016446134196702253,-0.004866591392924835,-0.11726257267118745,-0.12395194568328505,0.40446379967338053,0.6880783886771911,0.06303092381273816,11.485263307843223,0.3744209698116494,1.0,0.11867174741426238
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,mostly_straight_forward,13657,41,0.0351270082074151,0.03642016344626823,0.019599740141465916,0.02183773147268071,0.009353048,0.012119756807341295,0.001143435,0.0011638250496187408,0.001293155238853129,0.03681370275593676,0.11418474505588061,0.6304459251665813,0.5433843450245296,0.3759361387480413,0.08155053167767444,0.05534670244878084,0.103683092919382,0.007541919894559566
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,target_negative_over_resisted,66171,49,0.05271785261231283,0.057428592215031334,0.03543559092374303,0.041532816489544856,0.018163241,0.024404864220499672,0.00018061,0.0006217437621913249,0.0047107396027185056,0.08935757754325269,0.17206501731332735,0.9294857263756026,1.0,0.1303048510834958,1.253789042213175,0.09107952327805231,0.3054963654773239,0.046787867797071225
