model,family,physical_yaw_loss,params,feature_count,train_target_r2,train_target_rmse_nm,train_target_mae_nm,primary_baseline_rmse_nm,primary_corrected_rmse_nm,primary_rmse_delta_fraction,validation_baseline_rmse_nm,validation_corrected_rmse_nm,validation_rmse_delta_fraction,validation_worsened_abs_residual_fraction,selected_physical,best_nonzero_physical,selected_signed_diagnostic
E5_contact_faded_loss_nnls_yaw0_0.25_vrel0_0.03,pure_loss_contact_faded,True,loss = gate_vrel(0.03) * [tau_c*tanh(|yaw|/0.25) + k_yaw*|yaw|],2,0.022053557160888193,0.035581628452565725,0.023862948181039362,0.036866176895009706,0.036497732831522904,-0.009994094710066737,0.05023383204822011,0.05175001509598045,0.030182508200945923,0.6981603356580554,False,False,False
E5_contact_faded_loss_nnls_yaw0_0.05_vrel0_0.06,pure_loss_contact_faded,True,loss = gate_vrel(0.06) * [tau_c*tanh(|yaw|/0.05) + k_yaw*|yaw|],2,0.012768296650544686,0.03575014696967275,0.024279023818348677,0.036866176895009706,0.036539004269456214,-0.00887460141270513,0.05023383204822011,0.05175917344982871,0.030364822658649704,0.7181005570913377,False,False,False
E6_forward_contact_faded_loss_nnls_yaw0_0.1_vf0_0.4_vrel0_0.03,pure_loss_forward_contact_faded,True,loss = gate_vf(0.4)*gate_vrel(0.03) * [tau_c*tanh(|yaw|/0.1) + k_yaw*|yaw|],2,0.02114154263977852,0.035598215966026796,0.0240208070623559,0.036866176895009706,0.036487554722569725,-0.010270177282506121,0.05023383204822011,0.05178650474084447,0.03090890400584878,0.7109580006454963,False,False,False
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.03,pure_loss_contact_faded,True,loss = gate_vrel(0.03) * [tau_c*tanh(|yaw|/0.5) + k_yaw*|yaw|],2,0.021952756104342996,0.03558346217942749,0.02377095705034946,0.036866176895009706,0.03648203429737961,-0.010419919557270174,0.05023383204822011,0.0517960408610214,0.031098738621049504,0.6874254521981954,False,False,False
E6_forward_contact_faded_loss_nnls_yaw0_1_vf0_0.2_vrel0_0.03,pure_loss_forward_contact_faded,True,loss = gate_vf(0.2)*gate_vrel(0.03) * [tau_c*tanh(|yaw|/1) + k_yaw*|yaw|],2,0.018712243778386983,0.035642361836318734,0.023771530270335423,0.036866176895009706,0.036429136813362836,-0.011854770916211455,0.05023383204822011,0.05182218372601098,0.03161916208714066,0.6763537880807712,False,False,False
E6_forward_contact_faded_loss_nnls_yaw0_1_vf0_0.4_vrel0_0.03,pure_loss_forward_contact_faded,True,loss = gate_vf(0.4)*gate_vrel(0.03) * [tau_c*tanh(|yaw|/1) + k_yaw*|yaw|],2,0.02153405367695993,0.03559107801182672,0.023700132691242874,0.036866176895009706,0.036448993752957584,-0.011316148762596345,0.05023383204822011,0.05184396860637103,0.03205283157783634,0.6792164236700672,False,False,False
E6_forward_contact_faded_loss_nnls_yaw0_0.25_vf0_0.4_vrel0_0.03,pure_loss_forward_contact_faded,True,loss = gate_vf(0.4)*gate_vrel(0.03) * [tau_c*tanh(|yaw|/0.25) + k_yaw*|yaw|],2,0.025118175504774465,0.03552583313021983,0.023812306271910395,0.036866176895009706,0.03644412714330477,-0.01144815620309314,0.05023383204822011,0.051896204586142046,0.0330926881374729,0.7005037677336065,False,False,False
E6_forward_contact_faded_loss_nnls_yaw0_0.1_vf0_0.2_vrel0_0.03,pure_loss_forward_contact_faded,True,loss = gate_vf(0.2)*gate_vrel(0.03) * [tau_c*tanh(|yaw|/0.1) + k_yaw*|yaw|],2,0.021202444436442702,0.035597108538790126,0.02401447867218721,0.036866176895009706,0.0364315106263945,-0.011790380918886179,0.05023383204822011,0.05190923418116692,0.0333520670160814,0.7075901940698539,False,False,False
E6_forward_contact_faded_loss_nnls_yaw0_0.5_vf0_0.4_vrel0_0.03,pure_loss_forward_contact_faded,True,loss = gate_vf(0.4)*gate_vrel(0.03) * [tau_c*tanh(|yaw|/0.5) + k_yaw*|yaw|],2,0.025096188470700054,0.035526233744571124,0.023707604370208708,0.036866176895009706,0.03642929156906119,-0.011850573147107468,0.05023383204822011,0.051957095642062495,0.03430484045469995,0.6901758275683033,False,False,False
E6_forward_contact_faded_loss_nnls_yaw0_0.5_vf0_0.1_vrel0_0.03,pure_loss_forward_contact_faded,True,loss = gate_vf(0.1)*gate_vrel(0.03) * [tau_c*tanh(|yaw|/0.5) + k_yaw*|yaw|],2,0.015574936892842173,0.03569929304351557,0.02392709477637238,0.036866176895009706,0.036377728702574275,-0.013249222826290596,0.05023383204822011,0.05197055885035965,0.03457285123047016,0.678963838176894,False,False,False
E4_forward_faded_loss_nnls_yaw0_2_vf0_0.8,pure_loss_forward_faded,True,loss = gate_vf(0.8) * [tau_c*tanh(|yaw|/2) + k_yaw*|yaw|],2,-0.01669780102940832,0.03627974508359754,0.024491277499767754,0.036866176895009706,0.036787759560370364,-0.002127080734806386,0.05023383204822011,0.05197604987724262,0.03468216056760576,0.6420863561736104,False,False,False
E6_forward_contact_faded_loss_nnls_yaw0_0.5_vf0_0.2_vrel0_0.03,pure_loss_forward_contact_faded,True,loss = gate_vf(0.2)*gate_vrel(0.03) * [tau_c*tanh(|yaw|/0.5) + k_yaw*|yaw|],2,0.022577346373802598,0.035572098396240814,0.02376793211888785,0.036866176895009706,0.036402993964854045,-0.012563899193419159,0.05023383204822011,0.05197979341173668,0.03475668274402399,0.6866115656090819,False,False,False
E6_forward_contact_faded_loss_nnls_yaw0_0.25_vf0_0.2_vrel0_0.03,pure_loss_forward_contact_faded,True,loss = gate_vf(0.2)*gate_vrel(0.03) * [tau_c*tanh(|yaw|/0.25) + k_yaw*|yaw|],2,0.023514040310992468,0.03555504939725446,0.02385102223152719,0.036866176895009706,0.036408318811448445,-0.012419462014333194,0.05023383204822011,0.0519823097974003,0.03480677618824313,0.6971499936853627,False,False,False
E5_contact_faded_loss_nnls_yaw0_0.1_vrel0_0.06,pure_loss_contact_faded,True,loss = gate_vrel(0.06) * [tau_c*tanh(|yaw|/0.1) + k_yaw*|yaw|],2,0.01762396339998873,0.03566212063500099,0.024081025850115078,0.036866176895009706,0.03651036675893322,-0.009651397732121536,0.05023383204822011,0.05200636999951467,0.03528574028740383,0.7093442599946677,False,False,False
E5_contact_faded_loss_nnls_yaw0_1_vrel0_0.06,pure_loss_contact_faded,True,loss = gate_vrel(0.06) * [tau_c*tanh(|yaw|/1) + k_yaw*|yaw|],2,0.009309460410788728,0.035812718798180335,0.02393356876952527,0.036866176895009706,0.0365757329001106,-0.007878332372956875,0.05023383204822011,0.052034509059317016,0.03584590180913172,0.6667555393401906,False,False,False
E6_forward_contact_faded_loss_nnls_yaw0_0.1_vf0_0.1_vrel0_0.03,pure_loss_forward_contact_faded,True,loss = gate_vf(0.1)*gate_vrel(0.03) * [tau_c*tanh(|yaw|/0.1) + k_yaw*|yaw|],2,0.017094762302990785,0.035671724845466775,0.024084578892091535,0.036866176895009706,0.03636804002578064,-0.013512029485663768,0.05023383204822011,0.05206019153440244,0.03635716033825931,0.70037747498702,False,False,False
