model,physical_yaw_loss,dataset_split,physics_phase,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,rmse_delta_nm,rmse_delta_fraction,mae_delta_fraction,worsened_abs_residual_fraction,negative_opposes_target_fraction,mean_abs_forward_mps,mean_abs_yaw_radps,mean_vbar_rel_mps,limiter_activity_fraction,saturation_evidence_fraction
E1_viscous_yaw_rate_nnls,True,open_floor_validation_only,plateau,10533,9,0.013256838243914581,0.013256838243914581,0.007978205793411184,0.007978205793411184,0.004279471,0.004279471,-0.000330051,-0.000330051,0.0,0.0,0.0,0.0,0.49378144878002467,0.06423224187733789,0.06563382441602583,0.004084449076901167,0.0007595177062565271,0.0005696382796923954
E1_viscous_yaw_rate_nnls,True,open_floor_validation_only,exit,1905,9,0.025901922754757487,0.025901922754757487,0.01860998364776903,0.01860998364776903,0.012153925,0.012153925,-0.004435259,-0.004435259,0.0,0.0,0.0,0.0,0.5013123359580053,0.06023274457900262,0.20174585911391074,0.009140894811023623,0.013648293963254593,0.010498687664041995
E1_viscous_yaw_rate_nnls,True,diag_validation_only,all,11108,3,0.0846209251204878,0.0846209251204878,0.0738060716588945,0.0738060716588945,0.082360023,0.082360023,-0.006359523000000001,-0.006359523000000001,0.0,0.0,0.0,0.0,0.9295102628736046,0.073418089350018,1.7368285434821749,0.14806281778718042,0.4445444724522866,0.0
E1_viscous_yaw_rate_nnls,True,diag_validation_only,entry,3215,3,0.10590823322237675,0.10590823322237675,0.10058718607029549,0.10058718607029549,0.110339143,0.110339143,-0.026745843,-0.026745843,0.0,0.0,0.0,0.0,0.9763608087091757,0.06358588755832037,2.945326919440124,0.25225412633841365,0.7847589424572318,0.0
E1_viscous_yaw_rate_nnls,True,diag_validation_only,plateau,4712,3,0.06448450059620303,0.06448450059620303,0.05078566537882004,0.05078566537882004,0.0456507775,0.0456507775,-0.0027473784999999997,-0.0027473784999999997,0.0,0.0,0.0,0.0,0.8603565365025467,0.08873789165959253,0.8951050120967741,0.07662583680602716,0.1882427843803056,0.0
E1_viscous_yaw_rate_nnls,True,diag_validation_only,exit,3181,3,0.08665455675983384,0.08665455675983384,0.08083872540270355,0.08083872540270355,0.087034652,0.087034652,-0.03620564,-0.03620564,0.0,0.0,0.0,0.0,0.9845960389814524,0.06066223278843132,1.762254196164728,0.14857712064508016,0.4803520905375668,0.0
E1_viscous_yaw_rate_nnls,True,aux_downweighted_validation,all,14448,13,0.05126637392308136,0.05126637392308136,0.03305637759772979,0.03305637759772979,0.016359514999999998,0.016359514999999998,-0.0012553224999999999,-0.0012553224999999999,0.0,0.0,0.0,0.0,0.7105481727574751,0.1271730328765227,0.6327772372646734,0.0716380793941722,0.22605204872646734,0.0
E1_viscous_yaw_rate_nnls,True,aux_downweighted_validation,entry,2710,13,0.07408321980038726,0.07408321980038726,0.05146439698413284,0.05146439698413284,0.027799833,0.027799833,-0.0034258485,-0.0034258485,0.0,0.0,0.0,0.0,0.740590405904059,0.1617310791512915,1.398681233210332,0.14434705150295202,0.4033210332103321,0.0
E1_viscous_yaw_rate_nnls,True,aux_downweighted_validation,plateau,8708,13,0.03722139915039368,0.03722139915039368,0.023270042604501606,0.023270042604501606,0.011437506,0.011437506,-0.000406586,-0.000406586,0.0,0.0,0.0,0.0,0.6801791456132292,0.1165379610702802,0.25403603892971977,0.03341834847622876,0.13700045934772623,0.0
E1_viscous_yaw_rate_nnls,True,aux_downweighted_validation,exit,3030,13,0.06034861345329037,0.06034861345329037,0.04471765567821782,0.04471765567821782,0.030535899,0.030535899,-0.0065930465,-0.0065930465,0.0,0.0,0.0,0.0,0.7709570957095709,0.12682910544554454,1.03623549669967,0.11644867425181518,0.3234323432343234,0.0
E1_viscous_yaw_rate_nnls,True,validation_combined_non_authoritative,all,71263,34,0.05023383204822011,0.05023383204822011,0.032501511564374225,0.032501511564374225,0.014290832,0.014290832,-0.000435785,-0.000435785,0.0,0.0,0.0,0.0,0.6364452801594095,0.11183056650773894,0.8959763518212817,0.08657633391998654,0.2882421452927887,0.05273423796359963
E1_viscous_yaw_rate_nnls,True,validation_combined_non_authoritative,entry,16370,34,0.06915913056008889,0.06915913056008889,0.05135347799211973,0.05135347799211973,0.0361554865,0.0361554865,-0.0009928395,-0.0009928395,0.0,0.0,0.0,0.0,0.6880879657910812,0.12406611745595601,1.7208030379533903,0.1592916696154551,0.5568723274282223,0.10928527794746487
E1_viscous_yaw_rate_nnls,True,validation_combined_non_authoritative,plateau,38604,34,0.03306554251106439,0.03306554251106439,0.01859726271438193,0.01859726271438193,0.0067406424999999996,0.0067406424999999996,-0.0002039155,-0.0002039155,0.0,0.0,0.0,0.0,0.5908973163402756,0.10415632992081132,0.3204655584059165,0.030529080811159466,0.09066417987773288,0.0083929126515387
E1_viscous_yaw_rate_nnls,True,validation_combined_non_authoritative,exit,16289,34,0.06034839025290846,0.06034839025290846,0.04650807625115108,0.04650807625115108,0.036926113,0.036926113,-0.002376234,-0.002376234,0.0,0.0,0.0,0.0,0.6924918656762232,0.11772167462852232,1.4309757880680827,0.14632819798029345,0.4865246485358217,0.10098839707778255
