model,physical_yaw_loss,dataset_split,physics_phase,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,rmse_delta_nm,rmse_delta_fraction,mae_delta_fraction,worsened_abs_residual_fraction,negative_opposes_target_fraction,mean_abs_forward_mps,mean_abs_yaw_radps,mean_vbar_rel_mps,limiter_activity_fraction,saturation_evidence_fraction
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,open_floor_fit_downweighted,plateau,14651,9,0.024365235700422493,0.025488225080733094,0.013101952217527814,0.014707704919462975,0.005601714,0.008247316232580175,0.000276839,0.00026583549556058895,0.0011229893803106003,0.04608982215965707,0.12255827797837515,0.628421268172821,0.5209883284417446,0.130458483794212,0.35834077538243125,0.03299810333397038,0.09637567401542557,0.021705003071462697
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,open_floor_fit_downweighted,exit,8173,9,0.053191308370772995,0.05653375181629807,0.04031268236816346,0.042828893003753275,0.031938671,0.032565022424918995,0.002346486,0.002417066494144325,0.0033424434455250757,0.06283815059081421,0.062417345802247226,0.6410130918879237,0.594273828459562,0.1499530438763,1.7348971732814145,0.18850646133989968,0.6596109139850728,0.19882540070965374
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,open_floor_validation_only,all,14542,9,0.016930709100069437,0.017815674112118478,0.010368821404827396,0.012026156342773979,0.005201232,0.007892463218032457,-0.000858939,-0.000721142583486915,0.0008849650120490403,0.052269813793292874,0.15983831462030773,0.612089121166277,0.49546142208774585,0.06525636914674735,0.1009015616793426,0.005613574213450694,0.0037821482602118004,0.0026818869481501856
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,open_floor_validation_only,entry,2104,9,0.022224834525144614,0.023102953026830266,0.014874971672053231,0.017074690339368724,0.008434416,0.012931336337269502,-0.0029512495,-0.003627607697396642,0.000878118501685652,0.03951068795100232,0.14788052816586372,0.6192965779467681,0.498574144486692,0.07493181464591255,0.18615188961739546,0.010074947466730037,0.009980988593155894,0.006178707224334601
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,open_floor_validation_only,plateau,10533,9,0.013256838243914581,0.01408423150990777,0.007978205793411184,0.009419368285404794,0.004279471,0.0061562873778787325,-0.000330051,-0.00014857958459089417,0.0008273932659931885,0.06241256404957607,0.18063741764894026,0.6131206683755815,0.49378144878002467,0.06423224187733789,0.06563382441602583,0.004084449076901167,0.0007595177062565271,0.0005696382796923954
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,open_floor_validation_only,exit,1905,9,0.025901922754757487,0.027140328764923578,0.01860998364776903,0.020863522788671245,0.012153925,0.015103104465650455,-0.004435259,-0.006357709667395194,0.0012384060101660911,0.047811354465514766,0.12109302101253427,0.5984251968503937,0.5013123359580053,0.06023274457900262,0.20174585911391074,0.009140894811023623,0.013648293963254593,0.010498687664041995
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,diag_validation_only,all,11108,3,0.0846209251204878,0.08999522663465116,0.0738060716588945,0.08007719742215019,0.082360023,0.09006042778135165,-0.006359523000000001,-0.010617090981477973,0.005374301514163363,0.06351031386753503,0.08496761339959424,0.8352538710839035,0.9295102628736046,0.073418089350018,1.7368285434821749,0.14806281778718042,0.4445444724522866,0.0
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,diag_validation_only,entry,3215,3,0.10590823322237675,0.11007967020989318,0.10058718607029549,0.1051260875768215,0.110339143,0.1132338338113301,-0.026745843,-0.03602316432290558,0.00417143698751643,0.03938727765156469,0.045124052912207,0.8049766718506999,0.9763608087091757,0.06358588755832037,2.945326919440124,0.25225412633841365,0.7847589424572318,0.0
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,diag_validation_only,plateau,4712,3,0.06448450059620303,0.07019731684059002,0.05078566537882004,0.057357788418053425,0.0456507775,0.05479568056727474,-0.0027473784999999997,-0.005732014219601169,0.005712816244386992,0.0885920832381133,0.12940901709588037,0.8380730050933786,0.8603565365025467,0.08873789165959253,0.8951050120967741,0.07662583680602716,0.1882427843803056,0.0
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,diag_validation_only,exit,3181,3,0.08665455675983384,0.09346492283778736,0.08083872540270355,0.08841472441996084,0.087034652,0.09327308567005438,-0.03620564,-0.04677917190039638,0.006810366077953517,0.07859212870742249,0.09371744766529844,0.8616787173844703,0.9845960389814524,0.06066223278843132,1.762254196164728,0.14857712064508016,0.4803520905375668,0.0
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,aux_downweighted_validation,all,14448,13,0.05126637392308136,0.05410449359551603,0.03305637759772979,0.036889937834593496,0.016359514999999998,0.021432988665673884,-0.0012553224999999999,-0.002493887607559911,0.0028381196724346705,0.055360257713816585,0.11597036685371687,0.7336655592469546,0.7105481727574751,0.1271730328765227,0.6327772372646734,0.0716380793941722,0.22605204872646734,0.0
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,aux_downweighted_validation,entry,2710,13,0.07408321980038726,0.07610553427856794,0.05146439698413284,0.05516969379843748,0.027799833,0.03464809869761029,-0.0034258485,-0.007123965806219529,0.002022314478180673,0.02729787506036696,0.0719972841700065,0.7022140221402214,0.740590405904059,0.1617310791512915,1.398681233210332,0.14434705150295202,0.4033210332103321,0.0
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,aux_downweighted_validation,plateau,8708,13,0.03722139915039368,0.040512020018747014,0.023270042604501606,0.02686042063887631,0.011437506,0.014801803938875417,-0.000406586,-0.0007711730272929938,0.0032906208683533347,0.08840669462900963,0.15429185478500762,0.7344970142397795,0.6801791456132292,0.1165379610702802,0.25403603892971977,0.03341834847622876,0.13700045934772623,0.0
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,aux_downweighted_validation,exit,3030,13,0.06034861345329037,0.06372728994068379,0.04471765567821782,0.04936482135878096,0.030535899,0.03715693066865425,-0.0065930465,-0.011693674403528545,0.0033786764873934144,0.05598598367149732,0.10392239061017672,0.7594059405940594,0.7709570957095709,0.12682910544554454,1.03623549669967,0.11644867425181518,0.3234323432343234,0.0
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,validation_combined_non_authoritative,all,71263,34,0.05023383204822011,0.053275505841625964,0.032501511564374225,0.035508360321974484,0.014290832,0.016947991106647433,-0.000435785,-0.0006889592861891282,0.0030416737934058566,0.060550303836786945,0.09251412050927965,0.6831455313416499,0.6364452801594095,0.11183056650773894,0.8959763518212817,0.08657633391998654,0.2882421452927887,0.05273423796359963
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,validation_combined_non_authoritative,entry,16370,34,0.06915913056008889,0.07228183961787532,0.05135347799211973,0.054426197203503265,0.0361554865,0.037264925793057437,-0.0009928395,-0.0015707959556290384,0.0031227090577864297,0.04515252046254781,0.05983468562450733,0.6873549175320709,0.6880879657910812,0.12406611745595601,1.7208030379533903,0.1592916696154551,0.5568723274282223,0.10928527794746487
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,validation_combined_non_authoritative,plateau,38604,34,0.03306554251106439,0.03567020705157341,0.01859726271438193,0.021211978884945172,0.0067406424999999996,0.009627057030798351,-0.0002039155,-0.00029371314053806786,0.002604664540509019,0.07877277500096813,0.14059682926031858,0.6737643767485235,0.5908973163402756,0.10415632992081132,0.3204655584059165,0.030529080811159466,0.09066417987773288,0.0083929126515387
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,validation_combined_non_authoritative,exit,16289,34,0.06034839025290846,0.06442948968249777,0.04650807625115108,0.05037805884517749,0.036926113,0.04008970582926357,-0.002376234,-0.0035701939826832483,0.004081099429589313,0.06762565517466523,0.0832109798119336,0.701148013997176,0.6924918656762232,0.11772167462852232,1.4309757880680827,0.14632819798029345,0.4865246485358217,0.10098839707778255
