model,physical_yaw_loss,run_id,present,dataset_split,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,rmse_delta_nm,rmse_delta_fraction,mae_delta_fraction,worsened_abs_residual_fraction,negative_opposes_target_fraction,mean_abs_forward_mps,mean_abs_yaw_radps,mean_vbar_rel_mps,limiter_activity_fraction,saturation_evidence_fraction
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,2026-05-04_16-57-53,True,open_floor_validation_only,1761,1,0.023277853453219116,0.024208490838442256,0.017940518580919933,0.01803791162838458,0.013238941,0.013024951419178763,-0.000686103,-0.0005301882026078489,0.0009306373852231396,0.03997951903483776,0.005428664005745487,0.47189097103918226,0.4190800681431005,0.025699333497444635,0.20357318062521293,0.005339175442362294,0.0,0.0
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,2026-04-22_12-10-34,True,open_floor_fit_downweighted,2187,1,0.016217132966177106,0.016213394236948328,0.013081637973022406,0.013011799747910458,0.011327229,0.01139980092324013,-0.003115615,-0.002446829879664037,-3.738729228777715e-06,-0.00023054193590044125,-0.005338645302367384,0.48879743941472337,0.4170096021947874,0.15626128881801557,0.09586310631961592,0.006166391465020576,0.0004572473708276177,0.0
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,2026-04-22_01-06-32,True,primary_open_floor_fit_authoritative,1031,1,0.04497527944035794,0.041571238627484026,0.033356145290009694,0.027614204425117618,0.026813516,0.017269356842589234,0.009991152,0.005536898275791116,-0.003404040812873911,-0.0756869296918552,-0.17214042015255915,0.22987390882638215,0.20659553831231814,0.15968818493792436,0.1587313461842871,0.06493651432298739,0.09990300678952474,0.0
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,2026-04-21_05-32-06,True,primary_open_floor_fit_authoritative,8880,1,0.04258417382836225,0.04219808585534802,0.036559892826801804,0.03615523346444966,0.034704941,0.03419513124241414,0.0121550075,0.01181342910259146,-0.0003860879730142319,-0.00906646620808893,-0.011068395749111448,0.4166666666666667,0.40146396396396394,0.07913227737105856,0.5092112057031531,0.0579159675902027,0.12376126126126126,0.00990990990990991
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,2026-04-21_00-16-10,True,primary_open_floor_fit_authoritative,3757,1,0.039823975586254654,0.040400126195946524,0.02832533189938781,0.028984541943470936,0.019252263,0.01976243453071546,0.008941154,0.009301137107348097,0.0005761506096918709,0.014467430767779232,0.023272809173945586,0.5727974447697631,0.5411232366249668,0.25208360496433324,3.6858287971903114,0.13220882928134148,0.5373968591961672,0.025552302368911366
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,2026-04-20_12-10-58,True,primary_open_floor_fit_authoritative,2925,1,0.04035482301988178,0.04100095941917236,0.027066004325470086,0.027959336662891573,0.015359407,0.016375436573803137,0.003674954,0.0038830927434446755,0.0006461363992905783,0.01601137982868228,0.03300569698722877,0.5842735042735042,0.534017094017094,0.2219686208728205,2.7550732062851284,0.14066791857777777,0.4379487179487179,0.0423931623931624
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,2026-04-20_08-38-39,True,open_floor_fit_downweighted,7284,1,0.05622535775152191,0.05712101353331504,0.042291618721306976,0.04330348801098708,0.036814327499999994,0.03714987951592394,0.0001673695,0.00011190947103426966,0.0008956557817931324,0.015929748028484347,0.023926000476550913,0.6989291598023064,0.6661175178473366,0.12395488302429984,1.3186069497152664,0.1881613612725151,0.7174629324546952,0.24533223503569468
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,diag003,True,diag_validation_only,5580,1,0.08523812922205401,0.0865898007739946,0.07495094215232975,0.07715880904037406,0.085086003,0.08788803003507273,-0.0124400895,-0.017130224957375283,0.0013516715519405892,0.015857592890375916,0.029457493456947592,0.9489247311827957,0.9362007168458781,0.0724930982078853,1.7445218456989247,0.14853280284623657,0.4528673835125448,0.0
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,2026-05-04_20-35-47,True,open_floor_fit_downweighted,3456,1,0.035845955637305665,0.03300307178482325,0.028876796463541667,0.026165187237918913,0.025485003,0.02199612979864853,0.0093600005,0.007899257601101554,-0.0028428838524824154,-0.079308357161603,-0.09390270243606447,0.359375,0.3347800925925926,0.023725556809027777,0.7376013878932292,0.01790442397048611,0.1640625,0.0
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,2026-05-04_16-57-53,True,open_floor_validation_only,1761,1,0.023277853453219116,0.022929118834703825,0.017940518580919933,0.017598288223649863,0.013238941,0.013167699490802445,-0.000686103,-0.0003498757097470757,-0.0003487346185152909,-0.014981390754784774,-0.019075834164238636,0.47189097103918226,0.4190800681431005,0.025699333497444635,0.20357318062521293,0.005339175442362294,0.0,0.0
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,2026-04-22_12-10-34,True,open_floor_fit_downweighted,2187,1,0.016217132966177106,0.016277339552149647,0.013081637973022406,0.013013190378950113,0.011327229,0.011212496242756798,-0.003115615,-0.002461360515487383,6.020658597254147e-05,0.0037125295881899056,-0.005232341256763751,0.4897119341563786,0.4170096021947874,0.15626128881801557,0.09586310631961592,0.006166391465020576,0.0004572473708276177,0.0
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,2026-04-22_01-06-32,True,primary_open_floor_fit_authoritative,1031,1,0.04497527944035794,0.04193346510221122,0.033356145290009694,0.02782533711069255,0.026813516,0.018163834668502413,0.009991152,0.006135448618633745,-0.003041814338146716,-0.06763302809892469,-0.1658107713355489,0.23860329776915615,0.20659553831231814,0.15968818493792436,0.1587313461842871,0.06493651432298739,0.09990300678952474,0.0
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,2026-04-21_05-32-06,True,primary_open_floor_fit_authoritative,8880,1,0.04258417382836225,0.04142476464838868,0.036559892826801804,0.03565038664713813,0.034704941,0.034229617797600434,0.0121550075,0.012065078872757335,-0.001159409179973571,-0.02722629267498833,-0.024877156614554474,0.43795045045045045,0.40146396396396394,0.07913227737105856,0.5092112057031531,0.0579159675902027,0.12376126126126126,0.00990990990990991
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,2026-04-21_00-16-10,True,primary_open_floor_fit_authoritative,3757,1,0.039823975586254654,0.039255324715188486,0.02832533189938781,0.027195570338173526,0.019252263,0.01717254999210527,0.008941154,0.007246441150605729,-0.0005686508710661675,-0.01427910856952308,-0.039885201177067287,0.4671280276816609,0.5411232366249668,0.25208360496433324,3.6858287971903114,0.13220882928134148,0.5373968591961672,0.025552302368911366
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,2026-04-20_12-10-58,True,primary_open_floor_fit_authoritative,2925,1,0.04035482301988178,0.04003849140533851,0.027066004325470086,0.026603777792068614,0.015359407,0.015231162923584843,0.003674954,0.002657511862780167,-0.00031633161454327346,-0.007838756085918774,-0.017077752883032704,0.5035897435897436,0.534017094017094,0.2219686208728205,2.7550732062851284,0.14066791857777777,0.4379487179487179,0.0423931623931624
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,2026-04-20_08-38-39,True,open_floor_fit_downweighted,7284,1,0.05622535775152191,0.06085319573045702,0.042291618721306976,0.046018998772418516,0.036814327499999994,0.037385247780379965,0.0001673695,0.00015368629715751983,0.004627837978935109,0.08230873335456623,0.08813519472201348,0.7192476661175179,0.6661175178473366,0.12395488302429984,1.3186069497152664,0.1881613612725151,0.7174629324546952,0.24533223503569468
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,diag003,True,diag_validation_only,5580,1,0.08523812922205401,0.09071153741882765,0.07495094215232975,0.0813560846321245,0.085086003,0.09253204286509129,-0.0124400895,-0.01928584649427762,0.005473408196773638,0.06421314318753812,0.08545779807246423,0.8349462365591398,0.9362007168458781,0.0724930982078853,1.7445218456989247,0.14853280284623657,0.4528673835125448,0.0
