rel_speed_scale_mps,forward_speed_scale_mps,q_tanh_scale_m2ps,ridge_lambda,train_count,train_baseline_rmse_nm,train_corrected_rmse_nm,train_r2_vs_zero_correction,holdout_count,holdout_baseline_rmse_nm,holdout_corrected_rmse_nm,holdout_r2_vs_zero_correction
0.12,0.18,0.0008,0.001,65646,0.0389325863,0.0326269408,0.297694288,12836,0.0422858618,0.0319311644,0.42978434
0.12,0.18,0.0025,1e-07,65646,0.0389325863,0.0326121262,0.298331922,12836,0.0422858618,0.0309550915,0.464112273
0.12,0.18,0.0025,1e-05,65646,0.0389325863,0.0326125117,0.298315334,12836,0.0422858618,0.030955105,0.464111804
0.12,0.18,0.0025,0.001,65646,0.0389325863,0.0326639589,0.296099731,12836,0.0422858618,0.0309910687,0.462865888
0.12,0.18,0.008,1e-07,65646,0.0389325863,0.0326629501,0.296143208,12836,0.0422858618,0.0310822256,0.459701397
0.12,0.18,0.008,1e-05,65646,0.0389325863,0.032661872,0.296189675,12836,0.0422858618,0.0310889557,0.459467396
0.12,0.18,0.008,0.001,65646,0.0389325863,0.0326606685,0.296241538,12836,0.0422858618,0.0314000086,0.448596951
0.12,0.45,0.0008,1e-07,65646,0.0389325863,0.0324655034,0.304627082,12836,0.0422858618,0.0318862436,0.431387572
0.12,0.45,0.0008,1e-05,65646,0.0389325863,0.032465701,0.304618618,12836,0.0422858618,0.0318835123,0.431484982
0.12,0.45,0.0008,0.001,65646,0.0389325863,0.0324972055,0.303268376,12836,0.0422858618,0.0316955813,0.438167225
0.12,0.45,0.0025,1e-07,65646,0.0389325863,0.0325020415,0.303060997,12836,0.0422858618,0.0306823572,0.473513703
0.12,0.45,0.0025,1e-05,65646,0.0389325863,0.0325020618,0.303060125,12836,0.0422858618,0.0306838012,0.473464147
0.12,0.45,0.0025,0.001,65646,0.0389325863,0.0325198954,0.302295106,12836,0.0422858618,0.0308248433,0.468612442
0.12,0.45,0.008,1e-07,65646,0.0389325863,0.0324959907,0.303320465,12836,0.0422858618,0.0309289528,0.465016903
0.12,0.45,0.008,1e-05,65646,0.0389325863,0.0324907807,0.303543842,12836,0.0422858618,0.0309603343,0.463930732
0.12,0.45,0.008,0.001,65646,0.0389325863,0.0325008802,0.303110796,12836,0.0422858618,0.031443687,0.447061849
