run_id,family,recommendation,samples,old_rmse_radps,new_rmse_radps,delta_rmse_radps
2026-04-21_01-09-34,open_floor,fit_authoritative,85605,0.123748904,0.117829940,-0.005918963
2026-04-21_02-46-49,open_floor,fit_authoritative,69670,0.126578555,0.120337769,-0.006240786
2026-04-21_04-14-05,open_floor,fit_authoritative,63652,0.110390037,0.106187981,-0.004202057
2026-04-21_05-32-06,open_floor,fit_authoritative,220266,0.172914847,0.160003416,-0.012911432
2026-04-21_05-59-46,open_floor,fit_authoritative,85122,0.145070738,0.135705093,-0.009365645
2026-04-21_23-39-12,open_floor,fit_authoritative,26423,0.183083834,0.171814223,-0.011269611
2026-04-22_01-06-32,open_floor,fit_authoritative,26423,0.183083834,0.171814223,-0.011269611
2026-04-22_12-10-34,open_floor,fit_downweighted,53853,0.066866681,0.066351402,-0.000515279
2026-05-04_16-57-53,open_floor,validation_only,44152,0.094020399,0.093994485,-0.000025914
2026-05-04_20-35-47,open_floor,fit_downweighted,88784,0.145587437,0.146639200,0.001051763
diag000,competition_diag,validation_only,66528,0.521205424,0.509225929,-0.011979495
diag001,competition_diag,validation_only,69508,0.523589305,0.512695528,-0.010893777
diag002,competition_diag,exclude,659,0.016301524,0.014484441,-0.001817083
diag003,competition_diag,validation_only,136780,0.256950649,0.252007311,-0.004943339
aux000,competition_aux,validation_only_downweighted,15020,0.469244603,0.429051470,-0.040193134
aux001,competition_aux,validation_only_downweighted,36846,0.334323785,0.323192440,-0.011131345
aux002,competition_aux,validation_only_downweighted,49201,0.259720334,0.250632007,-0.009088326
aux003,competition_aux,validation_only_downweighted,34895,0.306254529,0.283386609,-0.022867921
aux004,competition_aux,validation_only_downweighted,39898,0.297684085,0.280713557,-0.016970528
aux005,competition_aux,validation_only_downweighted,25510,0.362948297,0.352223818,-0.010724479
aux006,competition_aux,validation_only_downweighted,26162,0.239248633,0.234165775,-0.005082858
aux007,competition_aux,validation_only_downweighted,18923,0.370920003,0.358873435,-0.012046568
aux008,competition_aux,validation_only_downweighted,33677,0.261266919,0.254263533,-0.007003387
aux009,competition_aux,validation_only_downweighted,35227,0.331732755,0.319565705,-0.012167049
aux010,competition_aux,validation_only_downweighted,29134,0.327531720,0.318448414,-0.009083305
aux011,competition_aux,validation_only_downweighted,1656,0.959475932,0.827643634,-0.131832298
aux012,competition_aux,validation_only_downweighted,12334,0.233274762,0.226222238,-0.007052523
