rank,family,dyn_k_mps,static_k_mps,static_fwd_k_mps,coefficients,train_rmse_nm,train_run_balanced_rmse_nm,launch_opposing_nm,launch_left_command,launch_right_command,launch_gate_pass,score
45,yaw_static_yield_patch,0.02,0.08,0.2,0.121466810621;0.237952769704;0.113807989018;0.117159923823,0.016707244473656756,0.01625232594954428,0.0060177007386721555,0.46538002269181156,-0.46538002269181156,False,0.027222292004579703
46,yaw_static_yield_patch,0.02,0.02,0.05,0.120578105905;0.276176110785;0.144555717915;0.121315565866,0.016812273825688444,0.016335690869402543,0.006011650005046745,0.4672258273826117,-0.4672258273826117,False,0.02722907781314212
47,yaw_static_yield_patch,0.003,0.08,0.1,0.129250826473;0.105919284708;0.142488378753;0.0577616486856,0.016800641335123392,0.016455032720054844,0.006438330304010037,0.46696671808018353,-0.46696671808018353,False,0.027250893158320605
48,yaw_static_yield_patch,0.16,0.02,0.1,0.106303266801;0.752733655279;0.178240815282;0.27964230674,0.016459044213540226,0.016030811734714514,0.005102948112706399,0.4563652123147297,-0.4563652123147297,False,0.02748175323486362
49,yaw_static_yield_patch,0.08,0.02,0.1,0.110341947875;0.516693762241;0.164205289471;0.208935918162,0.016566657169233234,0.016099734986904476,0.005325582704884791,0.45789285867622376,-0.45789285867622376,False,0.027508045896695477
50,yaw_static_yield_patch,0.16,0.03,0.2,0.107231696944;0.740598512874;0.143202723988;0.277741489608,0.016425628962280493,0.015996221711903888,0.005070228287839418,0.4521412790412913,-0.4521412790412913,False,0.027696585476588594
51,yaw_static_yield_patch,0.02,0.05,0.2,0.121260129237;0.252819030961;0.106445874281;0.118194238254,0.01673516761317978,0.016271299943412726,0.005851420379847693,0.4578386678415396,-0.4578386678415396,False,0.02770554253419931
52,yaw_static_yield_patch,0.04,0.02,0.1,0.115503317267;0.368846336477;0.146969742756;0.158621905437,0.016689455448043136,0.016201686568542848,0.005547133548460904,0.456494551259674,-0.456494551259674,False,0.027730035357744123
53,yaw_static_yield_patch,0.005,0.05,0.1,0.128404164805;0.146199865277;0.118476356676;0.0694231839132,0.016823712083032575,0.01643968196319162,0.006220432298496835,0.4589466222533348,-0.4589466222533348,False,0.027752867042311228
54,yaw_static_yield_patch,0.08,0.03,0.2,0.111039899319;0.506865392483;0.131180936499;0.207323060342,0.016535969404866412,0.016068805204965765,0.005261608153837128,0.4527385589588765,-0.4527385589588765,False,0.027781976648078688
55,yaw_static_yield_patch,0.01,0.03,0.1,0.125446877183;0.201003521279;0.114008440305;0.0910267456927,0.016831021738105755,0.016395042120039845,0.006032977016243554,0.45688213514870696,-0.45688213514870696,False,0.027877349947189312
56,yaw_static_yield_patch,0.16,0.08,0.4,0.109058161532;0.689647680458;0.123115801907;0.273754086444,0.016366371004802028,0.01594548466618527,0.0050543480230669105,0.4466471978582062,-0.4466471978582062,False,0.027959361833237446
57,yaw_static_yield_patch,0.04,0.03,0.2,0.115928518405;0.360353914307;0.116982075703;0.157243552097,0.01666188841216359,0.01617490601121062,0.005453821720124207,0.4507451473201591,-0.4507451473201591,False,0.02804341547463564
58,yaw_static_yield_patch,0.01,0.08,0.2,0.125224067939;0.17429582384;0.107669692919;0.0887931730641,0.016772267461928548,0.016350330658458777,0.005930322277987798,0.4525794185809077,-0.4525794185809077,False,0.028070051945842903
59,yaw_static_yield_patch,0.005,0.03,0.05,0.12879583496;0.164157461719;0.114804454987;0.0710384047834,0.01687349239977878,0.016473460419777604,0.006131330008049225,0.45402896874656634,-0.45402896874656634,False,0.02810277333795144
60,yaw_static_yield_patch,0.08,0.08,0.4,0.112273380333;0.469448676512;0.112525975188;0.204109643659,0.01648119143403512,0.016023955781024612,0.005186299270510791,0.44575673154841083,-0.44575673154841083,False,0.02813938090828416
61,yaw_static_yield_patch,0.001,0.08,0.1,0.129533046126;0.0702890063781;0.153588233;0.0439134348099,0.016806158536978533,0.016498036589256443,0.006111703032892225,0.45155320234172436,-0.45155320234172436,False,0.028187671884863534
62,yaw_static_yield_patch,0.02,0.02,0.1,0.12077585279;0.271712891013;0.128461997702;0.120549706867,0.016791905171806624,0.016313581928805373,0.005660440919112203,0.4497056771190358,-0.4497056771190358,False,0.02825660183398528
63,yaw_static_yield_patch,0.16,0.05,0.4,0.108131146325;0.718316123676;0.121517921173;0.275473177915,0.016392291134374074,0.01596600285925835,0.004915816097289558,0.44146761214483726,-0.44146761214483726,False,0.028299134834572588
64,yaw_static_yield_patch,0.01,0.02,0.05,0.125318607657;0.211848013864;0.124039774006;0.092420925886,0.01687012026498616,0.016424750209201422,0.0058901569439892415,0.4504917484079046,-0.4504917484079046,False,0.028304327891892096
65,yaw_static_yield_patch,0.08,0.05,0.4,0.111641571078;0.490185216142;0.110812622561;0.205477979563,0.01650578664427526,0.01604251508836047,0.005082029668732807,0.44181532732012385,-0.44181532732012385,False,0.028403244268321894
66,yaw_static_yield_patch,0.04,0.08,0.4,0.116590026919;0.330736702382;0.101427341269;0.154602560532,0.016610951046761798,0.016135254741437146,0.005337076332345918,0.4433126412463223,-0.4433126412463223,False,0.02843248078319803
67,yaw_static_yield_patch,0.001,0.05,0.05,0.1310992075;0.099336908745;0.13167437777;0.0452821949442,0.01684261134440693,0.01651947244577643,0.006105932535438941,0.44799195710848544,-0.44799195710848544,False,0.028441014784764268
68,yaw_static_yield_patch,0.02,0.03,0.2,0.120924318074;0.263979861211;0.102560035707;0.11938926222,0.016767605476710724,0.016290842672476782,0.005549416537422016,0.4439878249883621,-0.4439878249883621,False,0.028571962378280514
69,yaw_static_yield_patch,0.003,0.05,0.1,0.129499426914;0.122772224822;0.116668794302;0.0586577968313,0.016829038460904947,0.01646841088132657,0.005968736585089758,0.44515512410448943,-0.44515512410448943,False,0.028589992646834567
70,yaw_static_yield_patch,0.01,0.05,0.2,0.125243032906;0.188837049799;0.0968710811723;0.0897599837128,0.016800691248160617,0.01636896330074734,0.005749332632328548,0.44406845498069547,-0.44406845498069547,False,0.028611928444430987
71,yaw_static_yield_patch,0.04,0.05,0.4,0.116229291824;0.346997157585;0.0989041902384;0.155726827113,0.016634697369452476,0.01615234755896996,0.005259356970171586,0.440226551421352,-0.440226551421352,False,0.02864395641801685
72,yaw_static_yield_patch,0.02,0.08,0.4,0.121107151821;0.238438500828;0.0921783404393;0.117155182486,0.01671889024006996,0.016254399834216966,0.005427175985442548,0.43766653731081684,-0.43766653731081684,False,0.02889705797655349
73,yaw_static_yield_patch,0.005,0.08,0.2,0.127611694547;0.129494299108;0.106435667049;0.0683529485201,0.01680018896498578,0.01641570611406853,0.005692092532735986,0.4364462675612307,-0.4364462675612307,False,0.029075768828422215
74,yaw_static_yield_patch,0.02,0.05,0.4,0.120964007303;0.252475290783;0.0878368140263;0.118128152354,0.016742664295706675,0.016270986216720715,0.0053591779965898294,0.434682974159636,-0.434682974159636,False,0.029102333778636618
75,yaw_static_yield_patch,0.003,0.03,0.05,0.130223932363;0.141593609766;0.107731260934;0.0601217110634,0.016873962769832617,0.016497188383514598,0.005828188827569376,0.4373273283963668,-0.4373273283963668,False,0.029108901323577796
76,yaw_static_yield_patch,0.005,0.03,0.1,0.128415968773;0.157820362117;0.10253054635;0.0704065851891,0.0168566055938053,0.01645663643328184,0.005714581653717277,0.43583541020823274,-0.43583541020823274,False,0.02917497644630361
77,yaw_static_yield_patch,0.01,0.02,0.1,0.1252605433;0.207080268974;0.110895678696;0.0917780843716,0.01685313470716126,0.016406747879321414,0.005566419992777901,0.43547312486196943,-0.43547312486196943,False,0.029185759397341304
78,yaw_static_yield_patch,0.08,0.03,0.4,0.110804842244;0.505612665481;0.110805322062;0.207178811944,0.016537903174402565,0.01606340499224203,0.004788216279352703,0.4282901575815481,-0.4282901575815481,False,0.029250004468345983
79,yaw_static_yield_patch,0.04,0.03,0.4,0.115699277602;0.359391101089;0.0985375813891;0.157107070472,0.01666461162565087,0.01617110562848152,0.0050229337896345195,0.42946599636442195,-0.42946599636442195,False,0.02932231768805778
80,yaw_static_yield_patch,0.16,0.03,0.4,0.106989393906;0.738859489523;0.121180375849;0.27759715568,0.01642665040637704,0.01598921972627988,0.00456040188477963,0.4248427276185997,-0.4248427276185997,False,0.02933446970820304
