dataset_split,motion_slice,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,rmse_improvement_pct,mae_improvement_pct
diag_validation_only,low_speed_low_yaw_breakaway,2407,3,0.056182579748491175,0.05508782948530763,0.04994792717532198,0.048234946209034325,0.049758906,0.04878368,-0.004168902,-0.003301695,1.9485581973706774,3.429533642657343
diag_validation_only,low_speed_turn_scrub,1491,3,0.08917714027290183,0.08904230760307066,0.08356413558618375,0.08333754336196503,0.089085504,0.089023145,-0.043372394,-0.041693659,0.15119644946961328,0.27115965794324415
diag_validation_only,mid_speed_turn,811,3,0.06436112793529807,0.06436112793529807,0.0604453414808878,0.0604453414808878,0.060614173,0.060614173,-0.01605221,-0.01605221,0.0,0.0
diag_validation_only,straight_or_near_straight,446,3,0.011800030992787385,0.010931749612324296,0.00878301649103139,0.008020514115367949,0.006248691000000001,0.005796795,0.00016043950000000002,0.0001979841872242154,7.358297456962733,8.681554639480138
open_floor_fit_downweighted,force_limited_or_saturated_contact,11234,8,0.06400829867371463,0.06367399634416639,0.05146492487377604,0.05139080781412429,0.043215263000000004,0.0444205425,0.003987036,0.0020188711479527523,0.522279667598051,0.1440147048373789
open_floor_fit_downweighted,general,8397,9,0.015548576944005164,0.014087043617877614,0.008994528901274263,0.008096834989175414,0.005203005,0.0049278713202712985,0.000435285,0.0003017427037739664,9.399788362568135,9.980443911539071
open_floor_fit_downweighted,high_forward_turn,353,8,0.0539608257986952,0.04948442421397248,0.04200524791784702,0.0368783826236237,0.033494628,0.02577188699761839,3.8992e-05,0.000711295,8.295650628888191,12.205297072047605
open_floor_fit_downweighted,low_speed_low_yaw_breakaway,3646,8,0.028890502180163317,0.019493370266260208,0.02051263017718047,0.012101189123939756,0.013685946000000001,0.0075170803158115945,0.001046892,-0.0006134200321288757,32.526717103433846,41.00615562502621
open_floor_fit_downweighted,low_speed_turn_scrub,1514,9,0.04781695803978021,0.04220373429965744,0.04072198361492735,0.031978395396922,0.039690174499999994,0.026130845814787036,-0.0003458755,0.0008750199432148115,11.738981253163319,21.471420205572286
open_floor_fit_downweighted,mid_speed_turn,706,9,0.05155713224696043,0.0519774298052507,0.037804478453257795,0.03799338922662514,0.025436962,0.0249706735,0.001846812,0.0009968762956702082,-0.8152074019110072,-0.4997047468884298
open_floor_fit_downweighted,straight_or_near_straight,5315,9,0.011307655875727452,0.01057618816150486,0.006828120016180621,0.006529504585046578,0.004572147,0.004380059,7.3153e-05,1.1402000000006958e-05,6.468782940173573,4.3733184306428825
open_floor_validation_only,force_limited_or_saturated_contact,42,4,0.06387621046048875,0.05201450536072292,0.05067090576190477,0.04224029100164847,0.049422297500000004,0.03799694614514243,0.001711273,0.007521369423169907,18.569832202401862,16.637979198300762
open_floor_validation_only,general,5270,9,0.013260300444288341,0.007417436715792856,0.007194063546489563,0.00501936115342539,0.0038590755,0.0036382693742988206,-0.000543311,-0.000139574,44.06283065035833,30.22912404110396
open_floor_validation_only,high_forward_turn,1,1,0.000810716,0.000810716,0.000810716,0.000810716,0.000810716,0.000810716,0.000810716,0.000810716,0.0,0.0
open_floor_validation_only,low_speed_low_yaw_breakaway,5964,9,0.01806699853635895,0.011394958809172191,0.01208210132880617,0.007721376690255567,0.0070793,0.004998090999999996,-0.0008893015000000001,5.6469999999963835e-05,36.929430828034924,36.0924355778556
open_floor_validation_only,low_speed_turn_scrub,1011,6,0.029809681486446877,0.022744281252279213,0.025392967098911968,0.017746383906390106,0.024298449,0.013652825,-0.018429523,-0.00757458398623178,23.701696502124598,30.11299610138707
open_floor_validation_only,mid_speed_turn,97,9,0.03787619849652137,0.03142972365976983,0.025683852958762885,0.019447434517564036,0.014244624,0.009423985,-0.000293304,-9.600399099515822e-07,17.0198570412065,24.2814754126331
open_floor_validation_only,straight_or_near_straight,2157,9,0.006319086844191818,0.006232047856055238,0.0048773395558646265,0.004807725523994244,0.003934223,0.003866257155520899,-4.8459e-05,-6.68719999999933e-05,1.377398195066452,1.4272951692829472
primary_open_floor_fit_authoritative,force_limited_or_saturated_contact,9508,15,0.05654529450341774,0.046965388842220394,0.04444520719036601,0.035462324890845186,0.03508413,0.026779700751171927,0.0126760595,0.008261318801005066,16.94200330076681,20.211138314747156
primary_open_floor_fit_authoritative,general,19559,15,0.028514670419004216,0.019802311921595414,0.020157531154353498,0.013366059743644883,0.012682539,0.008837957,0.001222332,0.0008317140000000068,30.553951244697757,33.69198022666499
primary_open_floor_fit_authoritative,high_forward_turn,1294,12,0.03773617683063138,0.0305098790680206,0.02925945800695518,0.021970507023700212,0.023057238,0.015484788022181232,-0.002282312,-0.0010443110890637495,19.14952273793941,24.911435411832763
primary_open_floor_fit_authoritative,low_speed_low_yaw_breakaway,4489,15,0.03131879694833226,0.020207741632568253,0.022803385180663847,0.013370363209647977,0.016579048,0.008831221,0.001329335,0.000846331,35.47727370912208,41.36676154124086
primary_open_floor_fit_authoritative,low_speed_turn_scrub,2723,15,0.04889664810584162,0.03197191168298354,0.03965529261953728,0.022580180137006352,0.034934222,0.015891772,5.01e-06,0.00028620143433814166,34.61328552873975,43.058848780549404
primary_open_floor_fit_authoritative,mid_speed_turn,1909,15,0.0379541603710032,0.033721129668296025,0.028874364614981666,0.022527947711216433,0.022051065,0.012986494000002397,0.004850455,0.0003793602519798298,11.153008422078521,21.97941664999392
primary_open_floor_fit_authoritative,straight_or_near_straight,7835,14,0.017860608275144393,0.015468613414964465,0.010908944640331843,0.009922488466855237,0.006961675,0.006663842607128748,0.000348674,0.000302705,13.392572208801722,9.042636166926217
